,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,2130321,2409,1724,685,378,359,156,343,488,296,389,0.0,6.0,1120,418,841,24.0,1352,796,41.0,343.0,476.0,564.0,494.0,232.0,47793284,29738043,18055241,6523334,4561690,2658084,6569763,9425172,8038093,10017148,0.0,127681.0,21496820,8670695,16598518,899570.0,24555359,17997203,632601.0,3673728.0,10133220.0,13191759.0,10603319.0,4317936.0,2.0,177811,82931,94881,35135,20030,25433,30462,28371,38382,35499,37073,26945,25966,32181,20148,25983,26052,26111,26444,25884,23494,23845,433.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10650,188740,80951,95183,165789,60391,0
1,2130315,2163,1677,486,268,283,368,364,394,243,243,0.0,0.0,1065,213,642,0.0,1238,414,0.0,358.0,374.0,363.0,323.0,233.0,33564764,24883654,8681110,4098009,3749350,4709426,5760457,6566412,4340555,4340555,0.0,0.0,14992344,2491145,11740720,0.0,18804857,5583601,0.0,4866070.0,5752877.0,4623525.0,4951971.0,4194017.0,1.0,615949,294453,321495,88721,94332,121922,99174,90938,120863,139357,127736,85488,85959,106920,70490,91569,92299,91426,91370,90550,80337,78399,1372.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68855,1627894,501112,632169,1460801,364726,0
2,2130314,2133,1383,750,265,199,302,302,315,316,434,0.0,0.0,796,404,617,14.0,1433,286,0.0,243.0,272.0,676.0,220.0,308.0,45574830,31326432,14248398,3901555,3434545,9307101,9307101,5376130,6614441,7633957,0.0,0.0,11822337,8115675,12442871,3886846.0,24136505,4181026,0.0,4176429.0,4942215.0,9972683.0,2353436.0,6872767.0,4.0,1262187,580028,682157,165203,139494,197548,193257,206539,360145,335919,253940,141102,142421,217998,170807,178975,177295,174166,173576,176761,190521,190892,202.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35119,226555,103519,123327,177929,83162,0
3,2130313,10313,7942,2371,1698,1575,1499,1614,1556,1673,698,0.0,38.0,4909,2022,3144,200.0,5993,2964,19.0,1194.0,2112.0,2027.0,2059.0,1543.0,253068012,194343582,58724430,35793916,38447947,40856594,37633656,41611469,44957042,13767388,0.0,12617953.0,93717027,38531830,95305577,12895625.0,119598618,81034506,200182.0,21199962.0,43477048.0,49341684.0,45170204.0,41244044.0,2.0,1005440,461317,544124,129842,145818,211261,169613,141820,207087,302866,210272,107906,104222,149792,130382,144550,142114,141533,141113,141654,145775,148700,3469.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42814,574960,307184,354183,625664,239566,0
4,2130312,16282,10377,5905,2032,1451,2290,2033,2571,3246,2659,1298.0,1392.0,5247,2405,4986,954.0,7965,5143,462.0,1211.0,2716.0,3447.0,3330.0,1940.0,427886396,254377430,173508966,47427195,33828697,52943876,55102379,65075283,97649432,75859534,37339096.0,30219128.0,133092708,56956283,141319593,28959588.0,219668848,119189082,5384439.0,28129138.0,71347281.0,94140137.0,91656438.0,48200498.0,4.0,330670,158705,171965,56946,38251,65977,58384,45694,65417,66026,62709,45929,47776,66649,41579,46928,46708,47250,47201,47469,48324,46786,619.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82734,1016617,494866,605682,921519,338368,0
5,2130311,7495,5059,2436,1009,1112,889,1070,979,1329,1107,10.0,67.0,2849,1620,2498,451.0,4759,2407,79.0,1016.0,1539.0,1435.0,1571.0,1525.0,175942872,113036421,62906451,23166195,23614452,16072254,25402827,24780693,38738036,24168415,393432.0,1491326.0,46965591,24171207,77472871,25448445.0,98766663,64810260,790347.0,28384510.0,44247756.0,34414518.0,28740133.0,26999658.0,4.0,874348,411780,462568,147333,135019,155051,152428,120792,163723,205645,161387,103740,113468,173337,116772,121896,122300,122189,122267,126214,134924,124558,377.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94533,1450397,817635,995644,1613087,648871,0
6,2130310,4927,3324,1603,51,861,839,829,744,859,744,0.0,30.0,2712,804,1381,0.0,3080,1255,193.0,587.0,516.0,940.0,1183.0,916.0,87647984,59222802,28425182,1097576,15015795,13610443,15829873,13669115,14207786,14217396,0.0,293361.0,52435534,12060181,22858908,0.0,51269424,18316614,2496100.0,8764419.0,9812427.0,16595141.0,18590249.0,13327703.0,2.0,211859,95107,116752,48064,22368,22914,36559,32639,49312,25412,42559,37800,41098,46461,18531,29824,30279,30862,30706,31362,30257,28566,298.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17411,415944,203793,280706,363368,143706,0
7,2130306,5288,4612,676,730,990,957,945,990,338,338,0.0,7.0,3613,326,938,66.0,2742,1003,13.0,664.0,1030.0,1029.0,645.0,365.0,172054213,142665309,29388904,27325369,24084845,31695814,23661562,35897719,14694452,14694452,0.0,309323.0,83561098,18267103,47655226,7567011.0,67696084,30455266,117217.0,14518634.0,22035175.0,28675834.0,20871145.0,11933347.0,3.0,149667,75406,74261,5544,31329,45931,32210,18529,16124,35176,32961,22792,21356,21770,15612,22305,23599,23415,23558,22104,17810,16877,235.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43256,274794,128597,142209,227917,91780,0
8,2130303,2730,2098,632,261,408,361,443,625,479,153,505.0,0.0,18,13,991,1203.0,1644,856,22.0,725.0,1082.0,470.0,117.0,83.0,200831338,153965003,46866335,15596524,26266719,27494497,33842384,50764879,37271784,9594551,38912851.0,0.0,352520,643317,66825158,94097492.0,125939074,51827613,1391825.0,46558326.0,81428408.0,35947943.0,6858976.0,5581210.0,4.0,426825,215586,211238,21939,101165,108163,83008,53137,59411,74478,78995,61610,63236,93769,54739,59799,64287,64806,65848,67493,56924,47670,242.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132325,1565828,604423,744144,1544932,573589,0
9,2130302,5210,4448,762,762,812,1290,704,880,557,205,0.0,0.0,3322,1027,831,30.0,3949,753,0.0,850.0,1143.0,1456.0,1006.0,244.0,59653306,51217841,8435465,8557648,11822359,13668778,6656491,10512565,5512865,2922600,0.0,0.0,33639230,10370833,14489842,1153401.0,38444415,9112844,0.0,10007219.0,10414819.0,14806539.0,9352322.0,2976361.0,2.0,57132,27438,29695,4257,14315,13936,10751,7187,6685,7354,10173,9903,10422,13087,6193,7971,8517,8589,8732,8991,8030,6303,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96238,1815192,1002938,1255248,2200302,768982,0
