,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,3275467837,2143589485,1131878352,387588378,365445972,431185921,441714981,517654233,605549798,526328554,815950.0,201124861,962982969,862126042,1117475478,130942537.0,1257508618,1574727122,67489781.0,739791567.0,876824293.0,647022128.0,350255694.0,150852276.0,16.0
1,관광특구,1001495,잠실 관광특구,2858595699,1789743768,1068851931,386141855,319262443,276704101,368565960,439069409,635757791,433094140,,210310747,836541105,916677351,872939081,22127415.0,1211986194,1358090887,5205591.0,321174234.0,729396614.0,688322881.0,460321623.0,365656140.0,40.0
2,관광특구,1001494,종로?청계 관광특구,519025478,367447874,151577604,62434483,66883828,83529158,72767111,81833294,94840814,56736790,,32200568,89406714,120512495,205607427,71298274.0,207251194,245106602,8388460.0,128371573.0,96562513.0,74974057.0,86260313.0,57800880.0,20.0
3,관광특구,1001493,동대문패션타운 관광특구,629835350,379267419,250567931,64158342,64311031,75310060,79041185,96446801,150570871,99997060,24657.0,12155206,194648200,180023891,198359261,44624135.0,242187417,342126498,11081847.0,173413873.0,169973102.0,122902355.0,76998876.0,29943863.0,22.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,6091045518,4763012965,1328032553,819381279,961800006,976890520,958311637,1046629523,823082179,504950374,2213287.0,1028668832,1941739587,1551524379,1398140388,168759045.0,1866720026,2996817267,56627580.0,1078857387.0,1347689710.0,1084061275.0,818739236.0,477562107.0,71.0
5,관광특구,1001491,이태원 관광특구,851810122,531189729,320620393,103565878,96084755,93632420,105557424,132349252,196533196,124087197,14935515.0,89024055,206658386,232855100,243990501,64346565.0,303739642,412109520,6476454.0,221022392.0,204845297.0,112722634.0,107440103.0,63342289.0,20.0
6,전통시장,2130326,고덕 골목형상점가,474056473,328949356,145107117,68736734,65435783,62821535,67325998,64629306,87760282,57346835,,74480409,110277496,109375318,148556920,31366330.0,186296152,276561922,2687680.0,44525580.0,117773626.0,145414327.0,84371779.0,68085081.0,2.0
7,전통시장,2130325,명일전통시장,30228668,17325372,12903296,3630689,5619642,303977,3103971,4667093,4516415,8386881,,6753006,9015142,8164792,6295728,,9178268,12727067,85166.0,488722.0,1472717.0,5854176.0,5206259.0,8798296.0,1.0
8,전통시장,2130324,길동복조리시장,45252751,31101514,14151237,6826604,6927471,5416052,4503525,7427862,7051191,7100046,,3979494,9390816,11646126,16239486,3996829.0,24414659,18538654,174153.0,3506558.0,7632276.0,10321345.0,11210725.0,10108256.0,1.0
9,전통시장,2130323,둔촌역전통시장,154509262,88986721,65522541,20000969,20673701,9675181,13735895,24900975,30123978,35398563,,12875565,39118134,42713603,54893873,4908087.0,75723096,75356095,,11022548.0,28638044.0,29363399.0,48634634.0,33420567.0,3.0
