,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001496,강남 마이스 관광특구,164049,110128,53921,21399,20445,21318,21918,25048,29084,24837,,208.0,54813,38131,68259,2638.0,56150,84820,1571.0,37044.0,45148.0,28570.0,18675.0,9960.0
1,관광특구,1001495,잠실 관광특구,22806,15278,7528,2975,2940,3325,2811,3227,3992,3536,166.0,80.0,9971,4954,7004,631.0,12806,8263,263.0,5079.0,6970.0,5154.0,2397.0,1203.0
2,관광특구,1001494,종로?청계 관광특구,112809,88860,23949,15234,18169,18284,18316,18857,15030,8919,2023.0,727.0,50221,15507,33978,10353.0,66493,32769,1041.0,20228.0,23394.0,19667.0,17164.0,17766.0
3,관광특구,1001493,동대문패션타운 관광특구,39746,32019,7727,6025,6295,6571,6707,6421,4828,2899,3687.0,1885.0,14812,6582,9989,2791.0,19288,17455,681.0,10380.0,11699.0,6763.0,5090.0,2124.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,187480,155406,32074,26455,30827,31492,32213,34419,19274,12800,605.0,265.0,106504,22081,51483,6542.0,89650,63518,963.0,29887.0,45588.0,37299.0,23539.0,15889.0
5,관광특구,1001491,이태원 관광특구,46264,32532,13732,4916,5924,7603,5754,8335,9141,4591,856.0,,19498,6094,16056,3760.0,23957,17520,288.0,13802.0,14197.0,6028.0,5066.0,2094.0
6,전통시장,2130321,장신구 특화거리 상점가,2409,1724,685,378,359,156,343,488,296,389,,6.0,1120,418,841,24.0,1352,796,41.0,343.0,476.0,564.0,494.0,232.0
7,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),2163,1677,486,268,283,368,364,394,243,243,,,1065,213,642,,1238,414,,358.0,374.0,363.0,323.0,233.0
8,전통시장,2130314,풍납시장,2133,1383,750,265,199,302,302,315,316,434,,,796,404,617,14.0,1433,286,,243.0,272.0,676.0,220.0,308.0
9,전통시장,2130313,방이시장,10313,7942,2371,1698,1575,1499,1614,1556,1673,698,,38.0,4909,2022,3144,200.0,5993,2964,19.0,1194.0,2112.0,2027.0,2059.0,1543.0
10,전통시장,2130312,석촌시장,16282,10377,5905,2032,1451,2290,2033,2571,3246,2659,1298.0,1392.0,5247,2405,4986,954.0,7965,5143,462.0,1211.0,2716.0,3447.0,3330.0,1940.0
11,전통시장,2130311,새마을시장,7495,5059,2436,1009,1112,889,1070,979,1329,1107,10.0,67.0,2849,1620,2498,451.0,4759,2407,79.0,1016.0,1539.0,1435.0,1571.0,1525.0
12,전통시장,2130310,강남개포시장,4927,3324,1603,51,861,839,829,744,859,744,,30.0,2712,804,1381,,3080,1255,193.0,587.0,516.0,940.0,1183.0,916.0
13,전통시장,2130306,강남언주로,5288,4612,676,730,990,957,945,990,338,338,,7.0,3613,326,938,66.0,2742,1003,13.0,664.0,1030.0,1029.0,645.0,365.0
14,전통시장,2130303,영동전통시장,2730,2098,632,261,408,361,443,625,479,153,505.0,,18,13,991,1203.0,1644,856,22.0,725.0,1082.0,470.0,117.0,83.0
