,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,14274980349,8578265868,5696714481,1015979610,1013778549,2122925717,2015020337,2410561655,3159974459,2536740022,357900.0,73190667.0,4110656692,3309886746,5782888633,997999711.0,5594261620,6529033111,122896219.0,2805234357.0,4598825649.0,2432622265.0,1540498716.0,623217527.0,30.0
1,관광특구,1001495,잠실 관광특구,4888583175,3171141099,1717442076,599684296,573373759,565638799,678650467,753793778,882489422,834952654,430151809.0,311891028.0,1116754526,920702721,1320391464,788691627.0,2205128097,2275676063,46677507.0,1253637128.0,1420726069.0,922814732.0,541565765.0,295382955.0,88.0
2,관광특구,1001494,종로?청계 관광특구,5497094070,3970115279,1526978791,662807843,807472655,753635072,803206541,942993168,894019655,632959136,28018363.0,277201288.0,1922389457,1206657815,1669221959,393605188.0,2613378025,2277236725,24090944.0,963421698.0,1168774909.0,1201779648.0,923722674.0,608824872.0,139.0
3,관광특구,1001493,동대문패션타운 관광특구,4396011005,3150087238,1245923767,603317957,567409536,647666534,647734924,683958287,689363190,556560577,191486788.0,397083395.0,1191376981,871275189,1358216531,386572121.0,1826567134,2359801208,59583274.0,1191912041.0,1128389031.0,817105166.0,656002632.0,333376196.0,107.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,13370487415,10507968688,2862518727,1845778369,2041091801,2098241324,2188491335,2334365859,1606905426,1255613301,404783368.0,926406494.0,5765408095,1895562357,3196555286,1181771815.0,5465666903,5372739925,63257575.0,2237113651.0,3203735336.0,2599788271.0,1793346767.0,941165226.0,234.0
5,관광특구,1001491,이태원 관광특구,2476457107,1587093990,889363117,246420746,276591203,297972223,329085220,437024598,497386006,391977111,178027961.0,55794285.0,303248649,344566800,865257060,729562352.0,938121394,1257751609,17173553.0,932659014.0,737960438.0,262193476.0,186421838.0,59464687.0,94.0
6,전통시장,2130326,고덕 골목형상점가,594760644,424581042,170179602,86119290,68714009,87935443,85109354,96702946,101748105,68431497,,34508830.0,219839571,121249360,214632110,4530773.0,279702916,315057728,6492782.0,69387532.0,149379999.0,181656789.0,122587819.0,65255723.0,5.0
7,전통시장,2130325,명일전통시장,3000000,2113854,886146,240153,500423,559009,152371,661898,353127,533019,,,1159351,384561,1456088,,1330899,1669101,,687801.0,1187819.0,530963.0,521781.0,71636.0,4.0
8,전통시장,2130324,길동복조리시장,59734721,40638147,19096574,6429233,5426943,9292920,10008201,9480850,9735258,9361316,329196.0,1879295.0,24800297,13726520,17783624,1215789.0,33322717,26412004,124429.0,4403390.0,8435580.0,19471098.0,16354848.0,10945376.0,14.0
9,전통시장,2130323,둔촌역전통시장,89561935,70200440,19361495,4244344,12485075,13376070,13751517,26343434,10892424,8469071,,535610.0,7747986,17522026,47636636,16119677.0,54012190,30133569,841673.0,4102970.0,9355304.0,24629733.0,24183981.0,21032096.0,10.0
10,전통시장,2130322,고분다리전통시장,23563465,17451671,6111794,2756630,3318011,3146087,3218728,5012215,2895299,3216495,533613.0,95346.0,7039499,5217934,9103996,1573077.0,8808500,12172303,165908.0,4423192.0,4932942.0,3590886.0,5626438.0,2241438.0,14.0
11,전통시장,2130320,암사종합시장,949174476,682203558,266970918,104301607,84540435,113378762,155241678,224741076,137402617,129568301,2721244.0,62076331.0,200672764,221997610,407278877,54427650.0,476103898,468362286,2423363.0,65481687.0,164413850.0,257084449.0,270901442.0,184161392.0,18.0
12,전통시장,2130319,성내전통시장,60135675,41974023,18161652,4957218,4735058,6216060,8788392,17277295,8269669,9891983,,3238428.0,11997719,9967862,28892182,6039484.0,27446422,22426163,35672.0,6910990.0,10024509.0,10781675.0,12361666.0,9758073.0,5.0
13,전통시장,2130318,로데오거리상점가,1912160339,1237177138,674983201,236725981,201567549,233653088,243622879,321607641,351551818,323431383,229537050.0,126649811.0,435748060,291164357,559990545,269070516.0,1100382725,807296048,39690238.0,495865106.0,469207739.0,371676861.0,314104270.0,217134559.0,24.0
14,전통시장,2130316,마천시장,14783403,12454289,2329114,4561181,1293952,2717300,2652601,1229255,1908580,420534,,,6469760,4884669,3428974,,9672292,4334740,,841069.0,2264416.0,873417.0,4658229.0,5369901.0,1.0
15,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),118971427,89790415,29181012,17342810,22314681,18593924,18974283,12564717,15898997,13282015,395552.0,8353690.0,29839778,25893386,45660197,8828824.0,68108394,29978314,796389.0,15843532.0,35486156.0,18546938.0,18969134.0,8444555.0,9.0
16,전통시장,2130314,풍납시장,290653453,205229348,85424105,42946350,41985542,32949104,44875276,42473076,43669229,41754876,619825.0,53089716.0,76483075,54027057,80217693,26216087.0,138875339,142137584,184255.0,22808654.0,57196342.0,80254401.0,67107874.0,53461397.0,9.0
17,전통시장,2130313,방이시장,322287914,240896352,81391562,38284041,47459070,50293234,50179295,54680712,33909661,47481901,1637552.0,22056492.0,107990060,70556421,105603883,14443506.0,134831189,147151948,1826837.0,43865227.0,73973198.0,65853552.0,64955221.0,31509099.0,16.0
