,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,골목상권,2110005,세검정,7047,5111,1936,897,926,854,1082,1352,968,968,14.0,1452.0,2877,882,854,,1936,3729,14.0,242.0,812.0,1865.0,1395.0,1339.0
1,골목상권,2110003,세검정초등학교,4291,3487,804,759,606,818,747,557,402,402,,24.0,2181,771,913,,1718,2029,142.0,287.0,538.0,1490.0,954.0,335.0
2,골목상권,2110001,이북5도청사,13516,8103,5413,2063,1029,1809,1565,1637,2857,2556,35.0,6475.0,5356,1474,176,,7071,5191,11.0,496.0,1060.0,2405.0,5001.0,3286.0
3,관광특구,1001496,강남 마이스 관광특구,264625,204550,60075,34423,38625,42330,45421,43751,33390,26685,,6722.0,124000,45371,81699,6833.0,87694,132589,2141.0,59148.0,77732.0,43130.0,26001.0,12132.0
4,관광특구,1001495,잠실 관광특구,359328,229678,129650,41374,43637,47486,46474,50707,69085,60565,10572.0,28450.0,93753,93949,110239,22365.0,155028,186895,3326.0,82778.0,111447.0,76929.0,46393.0,21046.0
5,관광특구,1001494,종로?청계 관광특구,390301,288404,101897,53366,55549,57012,58709,63768,62236,39661,2117.0,35559.0,152846,84968,96677,18134.0,177801,177567,1784.0,75196.0,92886.0,79350.0,68091.0,38059.0
6,관광특구,1001493,동대문패션타운 관광특구,386089,280368,105721,50222,56365,57000,58494,58287,57711,48010,13580.0,41360.0,105183,83361,112635,29970.0,147815,224323,4989.0,99038.0,104438.0,74751.0,58401.0,30519.0
7,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,713359,616914,96445,119062,128025,123624,123364,122839,57982,38463,3529.0,82253.0,380863,96143,137028,13543.0,319703,320513,2261.0,118234.0,193175.0,162197.0,108869.0,55478.0
8,관광특구,1001491,이태원 관광특구,73066,45452,27614,6426,8407,8884,9300,12435,15903,11711,2778.0,1852.0,13266,18360,23769,13041.0,23849,45518,737.0,31776.0,22194.0,6703.0,6119.0,1841.0
9,전통시장,2130326,고덕 골목형상점가,60913,44442,16471,7524,8570,9062,9638,9648,9619,6852,,3508.0,20545,13674,22763,423.0,27450,32905,546.0,7173.0,15870.0,16798.0,12150.0,7818.0
10,전통시장,2130325,명일전통시장,183,107,76,23,22,15,15,32,15,61,,,85,30,53,,77,91,,,67.0,62.0,32.0,7.0
11,전통시장,2130324,길동복조리시장,9285,6458,2827,1045,1369,1248,1311,1485,1662,1165,18.0,298.0,2837,2166,3354,612.0,4662,4623,49.0,1071.0,1614.0,2696.0,2440.0,1415.0
