,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,2860593323,1964904589,895688734,320239454,344086532,414050908,436302957,450224738,485884699,409804035,,21638191.0,1094063968.0,480448415.0,1121949830.0,142492919.0,960204460,1306357078,17276849.0,554755981.0,810806282.0,509412763.0,260005735.0,114303927.0,35
1,관광특구,1001495,잠실 관광특구,3554454905,1926502029,1627952876,312166336,344295241,377651835,405517916,486870701,890029346,737923530,75566352.0,24488729.0,905237272.0,737450997.0,1431039700.0,380671855.0,1497957043,1778085257,26917473.0,840012365.0,1024259848.0,670355637.0,400086693.0,314410293.0,73
2,관광특구,1001494,종로?청계 관광특구,2244437128,1674611123,569826005,277674312,332724968,355142013,329454288,379615542,349471854,220354151,22472549.0,36153899.0,852117344.0,246690999.0,703940193.0,383062144.0,902590371,827323982,9022799.0,441949519.0,613585112.0,351732490.0,217007943.0,96616488.0,40
3,관광특구,1001493,동대문패션타운 관광특구,2195372659,1290340609,905032050,292557233,263680190,241737972,223088461,269276753,480327833,424704217,4833801.0,30610499.0,633427860.0,485267326.0,855042735.0,186190438.0,1039553150,841445968,12444683.0,525511049.0,620000887.0,361800562.0,252489226.0,108752713.0,44
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,5824221360,4299296903,1524924457,738723436,789424293,848839353,918130222,1004179599,859061234,665863223,8423170.0,19402905.0,2575875062.0,759777222.0,2045902946.0,414840055.0,1892486566,2030034351,12556176.0,706647301.0,1339107422.0,953047062.0,577319537.0,333843425.0,83
5,관광특구,1001491,이태원 관광특구,21870536013,11105788633,10764747380,1542619546,1757229864,2039089469,2212063610,3554786144,6451695567,4313051813,2304667087.0,212672433.0,2129895755.0,2882993668.0,8108478033.0,6231829037.0,10754819807,9090967180,122412209.0,7498361270.0,7401045743.0,2466019067.0,1550684657.0,807264047.0,203
6,전통시장,2130318,로데오거리상점가,3496880376,2071424810,1425455566,350435876,361985503,416733206,417236624,525033601,802004737,623450829,263607173.0,,565713748.0,565822837.0,1332612446.0,769124172.0,1578898053,1917982323,95488298.0,1506571216.0,776862153.0,544152204.0,432298818.0,141507687.0,8
7,전통시장,2130312,석촌시장,43397885,21658262,14876502,2991903,2745401,3691596,2465016,9764346,6584389,8292113,6686888.0,6863121.0,4879207.0,1490021.0,10393729.0,13084919.0,20014918,15706644,,1584895.0,9577986.0,9162916.0,10076074.0,5319691.0,4
8,전통시장,2130311,새마을시장,12000000,8974817,3025183,2498666,1784370,1480301,1603684,1607796,1085137,1940046,,235657.0,2550525.0,1828281.0,7284388.0,101149.0,5397177,6388562,,1147858.0,3068669.0,4150417.0,2376667.0,1042128.0,4
9,전통시장,2130310,강남개포시장,48957581,39533906,9389425,9713199,7488341,9393764,6073147,6865455,9389425,9389425,,,15126469.0,8198679.0,25598183.0,34250.0,20088365,27090974,3548814.0,8744288.0,7621553.0,14611986.0,10020592.0,2632106.0,2
10,전통시장,2130306,강남언주로,381568293,322223308,56446810,55370650,55872965,61099947,63861739,86018007,32020310,24426500,5315251.0,2898175.0,183410000.0,23458022.0,110902102.0,55584743.0,143417679,140635353,619695.0,62290340.0,121700428.0,64437900.0,27464031.0,7540635.0,9
11,전통시장,2130303,영동전통시장,136632960,118265764,18367196,20204903,28684143,24178803,19856489,25341426,18367196,18367196,,124945.0,73602503.0,16537256.0,45477922.0,890334.0,53807930,49045745,163195.0,25061700.0,36634525.0,25901776.0,13388431.0,1704049.0,4
12,전통시장,2130302,강남시장(강남구 강남시장),86017005,53902943,32114062,9249100,6523657,12027519,9844137,16258530,19846258,12267804,8754812.0,,810254.0,1775653.0,19597458.0,55078828.0,45844392,31474089,981482.0,27184898.0,25369986.0,13860879.0,7347155.0,2574081.0,2
13,전통시장,2130299,엔터식스 강남점,2586937053,1584486440,1002450613,285411693,276104697,316545685,331882500,374541865,528470903,473979710,,38979354.0,750406431.0,475408639.0,1025190695.0,296951934.0,1167952294,1093866313,11674849.0,639937092.0,781812351.0,391016224.0,278475717.0,158902376.0,14
14,전통시장,2130291,봉천제일종합시장,74192243,43930761,30261482,1650973,10424292,9280780,9622580,12952136,15878792,14382690,,889142.0,28552527.0,6505212.0,38073055.0,172307.0,35803139,36965146,403694.0,21656574.0,22279702.0,14361003.0,10152791.0,3914522.0,2
15,전통시장,2130290,영림시장,397018138,273988687,123029451,59213681,61202784,55342816,56507804,41721602,65708185,57321266,,638641.0,142277371.0,98554108.0,150196122.0,5351896.0,234298975,145810694,6245115.0,119503783.0,123461628.0,59066588.0,46830369.0,25002186.0,6
16,전통시장,2130285,서원동상점가,237602573,169994195,67608378,19427394,55004593,45042851,23403659,27115698,44661191,22947187,38413251.0,124351.0,19103303.0,19427447.0,56918598.0,103615623.0,156757838,48602549,283371.0,56657943.0,43555637.0,84042633.0,18990215.0,1830589.0,6
17,전통시장,2130273,남성사계시장(남성시장),28066280,17023153,11043127,392446,4129791,4712086,1491022,6297808,6128899,4914228,,,6911971.0,6020088.0,13220704.0,1913517.0,12688487,12830989,144777.0,3917178.0,8686629.0,7297588.0,3901244.0,1572062.0,3
18,전통시장,2130271,남성역골목시장,32695131,16262888,11450169,3453292,3078342,3420434,2838686,3472134,9340603,2109566,2139523.0,116930.0,3973192.0,4102202.0,10180130.0,2842551.0,7007793,10987780,,1671052.0,3312517.0,5246827.0,5441658.0,2323519.0,2
19,전통시장,2130270,흑석시장,58028160,39927918,17944804,8901048,8469267,7162180,7128033,8267390,7454754,10490050,,1846047.0,18854208.0,10828467.0,15745388.0,108562.0,23194842,21666724,155438.0,4655406.0,6900634.0,9995628.0,15280291.0,8029606.0,2
20,전통시장,2130266,만양로상점가,293759125,176565277,117193848,20637016,45137710,38567942,30300631,41921978,48987999,68205849,,,74835865.0,38770029.0,99405017.0,60111198.0,159003435,109559054,2184200.0,52871896.0,57397051.0,73949700.0,53717346.0,28442295.0,3
21,전통시장,2130241,선유도역 골목형상점가,380784225,369390727,11393498,74174285,99020372,58139855,67039676,71016539,4923053,6470445,,3582889.0,325577001.0,15059195.0,32518307.0,4046833.0,184240109,102178979,1223123.0,99277975.0,93342231.0,53467183.0,31357827.0,7750749.0,8
22,전통시장,2130213,방신전통시장,5493624,3815978,1677646,908059,639103,463350,474001,1331465,945340,732306,,234338.0,1422004.0,1174352.0,2354030.0,308900.0,2683005,2810619,,289276.0,429495.0,441822.0,1459341.0,2873690.0,3
23,전통시장,2130210,목2동시장,64934510,45172151,19762359,4463987,8404956,8704099,8304213,15294896,14692366,5069993,1725380.0,,8937238.0,4645403.0,31965466.0,17661023.0,32112265,29844325,167863.0,19637400.0,26227385.0,9026182.0,4841427.0,2056333.0,3
24,전통시장,2130194,용강동 상점가,128932555,91312436,37620119,9975951,19742591,19049995,20223341,22320558,14513347,23106772,15374678.0,,10506996.0,2931617.0,35160734.0,64958530.0,71591091,31223662,,11032705.0,34154957.0,40125863.0,15447226.0,2053999.0,2
25,전통시장,2130192,동진시장,31086649,11430763,19655886,582843,793873,2190687,3200613,4662747,12199513,7456373,1763603.0,,4002023.0,7272979.0,10408275.0,7639769.0,12326768,18759881,257341.0,16546225.0,9130675.0,2588683.0,1995955.0,567770.0,4
26,전통시장,2130191,홍대 걷고싶은 거리,1005454552,589122675,415258285,111433082,89461107,123803562,119583039,144841885,231999340,183258945,124028295.0,1073592.0,143379537.0,171178149.0,338045901.0,227749078.0,435482095,554801923,50762931.0,518780672.0,208429715.0,106559776.0,87112930.0,18637997.0,14
27,전통시장,2130190,홍대소상공인상점가,1379038247,717930025,661108222,122380907,111526118,134597213,147282548,202143239,392326191,268782031,97983124.0,2800513.0,197775032.0,263873333.0,594627248.0,221978997.0,638377972,710300944,81500608.0,689886201.0,299649083.0,163506294.0,94724500.0,19412232.0,24
28,전통시장,2130186,망원시장,93334530,56671744,33328256,11817891,11124816,10527542,11425960,11775535,18159342,15168914,,,38086435.0,14541320.0,37372245.0,2767609.0,35963601,54036399,566921.0,25847035.0,27990336.0,20888814.0,12022780.0,3251035.0,5
29,전통시장,2130183,상암동상점가,502392327,388528249,113864078,71652276,70445945,75540047,79399886,91490095,67651354,46212724,18041189.0,2343401.0,221847027.0,46563795.0,151589921.0,62006994.0,232923286,169485178,2918175.0,60683170.0,142097328.0,120809284.0,60800376.0,15100130.0,15
30,전통시장,2130179,"이화여대 3,5,7길 상점가",733050173,582213096,150837077,113146277,123271933,121448129,109416468,114930289,87662800,63174277,,2479012.0,321041838.0,112274958.0,288576822.0,8677543.0,127389598,503925106,26858103.0,334361441.0,101651305.0,67979879.0,81927425.0,18536553.0,16
31,전통시장,2130178,이대 앞 스타트업 상점가,64130170,60061464,4068706,11363073,11825031,12921990,12156555,11794815,4068706,4068706,,86957.0,19522660.0,10027417.0,19986576.0,14506560.0,6154289,57975881,1335224.0,48829821.0,6183345.0,1894351.0,4506987.0,1380442.0,4
32,전통시장,2130177,인왕시장(홍제골목형상점가),12260121,8416728,3843393,1750165,1843275,1162628,1531084,2129576,1920950,1922443,,58256.0,4663954.0,2242104.0,5020959.0,274848.0,7006799,5026772,300443.0,1522491.0,1957542.0,3145440.0,3133760.0,1973895.0,1
33,전통시장,2130170,제일시장,1513943879,943271168,570672711,75870621,202633116,234042006,210727455,219997970,313871096,256801615,,4684502.0,568579836.0,269150516.0,637077103.0,34451922.0,567916372,918564457,19339558.0,343981273.0,313019963.0,299349565.0,324261790.0,186528680.0,2
34,전통시장,2130167,연신내상점가(연빛거리),983515719,631197276,352318443,136841108,84300577,130796930,121344259,157914402,235783190,116535253,23517329.0,4744104.0,196390983.0,142778006.0,479060554.0,137024743.0,407520516,572159656,53452685.0,392272859.0,232773725.0,152899437.0,106260217.0,42021250.0,15
35,전통시장,2130152,오!도봉거리 상점가,22344656,15561923,6782733,3497924,3479738,3384262,2290273,2909726,3543389,3239344,,,6059847.0,4904481.0,9416831.0,1963497.0,12734412,9610244,47301.0,1367405.0,6593378.0,6108023.0,3795791.0,4432758.0,1
36,전통시장,2130146,쌍문시장(쌍문역골목시장),24728467,17494415,7234052,3407752,4122780,3533615,2824043,3606225,4344292,2889760,,48255.0,7971658.0,3528559.0,9537864.0,234379.0,9523794,11433863,1968960.0,5650066.0,2733248.0,5436226.0,3900844.0,1268312.0,3
37,전통시장,2130140,숭인시장,104381158,78346135,26035023,14514653,10518048,16608112,7422265,29283057,21835416,4199607,6737134.0,,1078449.0,444067.0,41222120.0,54899388.0,57018223,42199068,,17090242.0,22660113.0,48517508.0,9020908.0,1928520.0,2
38,전통시장,2130137,"수유전통시장(수유시장, 수유골목시장)",12226708,6844721,5381987,1400621,1273292,1229814,1121118,1819876,3077639,2304348,,782608.0,2791926.0,3611802.0,5040372.0,,3993093,8233615,,555250.0,1216498.0,4017389.0,4035014.0,2402557.0,1
39,전통시장,2130118,정릉골 골목형상점가,53882732,29131210,24438920,4607375,8183632,8183632,8707123,7633080,12536728,11902192,,,17333063.0,9978526.0,26258541.0,312602.0,19944515,32375208,610740.0,15525525.0,10307733.0,13238027.0,9711543.0,2926155.0,2
40,전통시장,2130117,정릉시장,7803458,4361872,3441586,1108393,300295,625896,985239,1342049,2312949,1128637,,,1398566.0,1413750.0,4334035.0,657107.0,3885024,3918434,773463.0,1244665.0,2420714.0,1169121.0,879334.0,1316161.0,1
41,전통시장,2130113,신아타운,76108481,57141643,18966838,20507711,10160343,9495769,8825314,8152506,9941564,9025274,585767.0,6859821.0,16394405.0,18919788.0,23662379.0,9686321.0,25322086,50786395,7126413.0,23833977.0,2015799.0,18569961.0,23039429.0,1522902.0,2
42,전통시장,2130110,면목골목시장(면목시장),44061080,30658086,13402994,4836662,7044047,5260905,6236525,7279947,7081716,6321278,,113006.0,19997843.0,7360935.0,16167878.0,421418.0,20642352,22525980,948860.0,10540296.0,13451215.0,9393494.0,6393056.0,2441411.0,4
43,전통시장,2130106,중랑동부시장,52431739,32839886,19591853,3254125,9890555,4395440,5266404,10033362,14422082,5169771,10218913.0,,6337624.0,4172420.0,15839182.0,15863600.0,27391123,24095166,868611.0,16752471.0,19066799.0,6538005.0,7237483.0,1022919.0,5
44,전통시장,2130100,답십리시장,39571822,26637305,12934517,5834973,8133629,5939279,5834973,6729424,7215066,5719451,,,10819794.0,8405613.0,20099670.0,246745.0,18745934,16983387,365072.0,5616827.0,9235575.0,9920855.0,7060288.0,3530705.0,2
45,전통시장,2130098,회기시장,98391166,61664210,36726956,5192907,16078766,13619352,11125418,15647767,17745226,18981730,,172609.0,42423044.0,8805137.0,46247635.0,742741.0,43060988,52374906,445565.0,47056443.0,20602457.0,10444589.0,14501579.0,2385262.0,2
46,전통시장,2130079,한아름시장,124524519,72116712,52407807,13682293,10786825,15490113,16761101,15396380,26789739,25618068,,,24688014.0,33001747.0,60463481.0,6371277.0,53238721,71285798,11216971.0,67472906.0,18957994.0,11902544.0,12705834.0,2268270.0,2
47,전통시장,2130078,화양제일골목시장,84511075,45066713,39444362,9431787,4533354,8576044,7332980,15192548,26113844,13330518,1967097.0,,1037132.0,5506965.0,41563175.0,34436706.0,55135918,27507401,2195304.0,52230232.0,20456674.0,4315058.0,2793930.0,652122.0,5
48,전통시장,2130070,뚝섬역상점가,97772759,91436784,6196005,18457372,19511815,20383362,17295622,15788613,6196005,6196005,,139970.0,66830063.0,5472826.0,25329900.0,,36891419,34641635,158633.0,12942557.0,22282287.0,17104330.0,12975217.0,6070031.0,3
49,전통시장,2130067,왕십리도선동상점가,45345008,36124254,9220754,6706522,6599696,6074612,6398684,10344740,7878044,1342710,6685513.0,,5046093.0,1915352.0,7690353.0,24007697.0,25087233,16031245,166437.0,15142378.0,11896996.0,6252277.0,5655078.0,2005313.0,5
50,전통시장,2130066,행당시장상점가,34557501,25307453,9250048,1629436,3463649,6359774,3124304,10730290,3820545,5429503,3659649.0,,,555822.0,16060331.0,14281699.0,24407524,10149977,,9198569.0,6525353.0,7121817.0,7784400.0,3927362.0,8
51,전통시장,2130061,이태원시장,630695076,335269448,295425628,50073723,57718545,48715428,73350057,105411695,174087703,121337925,15509768.0,2450469.0,92076937.0,94246163.0,346601604.0,79810135.0,346572192,198228137,2056617.0,229059384.0,184862938.0,73915827.0,42571289.0,12334276.0,9
52,전통시장,2130058,이촌종합시장,512141196,356797632,155343564,65787054,68952886,74638722,72082342,75336628,90501742,64841822,57823250.0,,154455315.0,52705094.0,162866284.0,84291253.0,196468965,236837336,6180476.0,101140157.0,116361950.0,95888956.0,78303393.0,35431368.0,2
53,전통시장,2130047,테크노상가(엘리시움),5569553,5191065,52568,1135463,1506066,804287,799030,946219,52568,52568,325920.0,31541.0,4896686.0,105135.0,210271.0,,1553377,2470685,,115649.0,735949.0,1019814.0,922564.0,1230085.0,1
54,전통시장,2130038,"평화시장(통일상가, 동화상가)",706773539,378027221,328746318,59202816,62838054,74621604,93376101,87988646,162671401,166074917,,,168738117.0,181026065.0,316772563.0,40236794.0,286500163,348430042,3857617.0,107858531.0,213987526.0,177708510.0,94380332.0,37137690.0,6
55,전통시장,2130024,남대문시장(자유상가),19268040,12725706,6542334,2593775,2640091,3045370,1864275,2582195,3902242,2640092,,,6310747.0,3578020.0,9240321.0,138952.0,11266707,7445523,,7028665.0,4469630.0,3230639.0,2142180.0,1841117.0,3
56,전통시장,2130015,창신골목시장,39700938,15449329,24233652,2482486,3342155,2199672,3286041,4138975,12845635,11388017,448912.0,17957.0,8632591.0,10868175.0,14052314.0,5680989.0,25215349,14467632,391078.0,15270275.0,14846115.0,3722600.0,4869250.0,583663.0,7
57,전통시장,2130012,"동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가)",85998723,80017978,5980745,16059547,13239297,18743699,15900767,16074668,5874891,105854,,4718058.0,61977452.0,19076383.0,226830.0,,34689831,43158142,347806.0,10010753.0,13806371.0,27091035.0,14940520.0,11651489.0,2
58,전통시장,2130002,세종마을음식문화거리(금천교시장),123597613,76825139,46730501,16715924,10422290,15926655,18449961,15310309,25684515,21045986,7503625.0,41973.0,27400267.0,23404001.0,38229755.0,27017992.0,53996262,50191057,318849.0,26830138.0,30714331.0,19217846.0,18842566.0,8263590.0,7
59,발달상권,2120249,고덕역,1588841185,981667027,574609987,178849995,186527794,186497588,207214714,222576936,322423213,252186774,,32564171.0,535132412.0,212185250.0,790991468.0,17967884.0,750955432,769194468,93566343.0,198909534.0,258009820.0,563742086.0,272853845.0,133068274.0,14
60,발달상권,2120248,명일역,152343756,88741199,63565411,23121480,17863853,20525847,4220328,23009691,31676562,31888849,,37146.0,49117923.0,31765309.0,70223188.0,1200190.0,59263153,93043457,5055375.0,34084673.0,34505124.0,39358287.0,26686232.0,12616919.0,7
61,발달상권,2120246,길동역,19186766,10484923,8611354,2647699,2676202,188216,2539565,2433241,4223558,4387796,,90489.0,7708278.0,4105471.0,6764933.0,517595.0,9624910,8785010,266739.0,4316183.0,5178737.0,3217651.0,3124289.0,2306321.0,8
62,발달상권,2120245,둔촌역,276022234,163585797,112436437,13827262,35625150,27270113,41271198,45592074,46343133,66093304,17342150.0,2693473.0,113734362.0,32911003.0,94360235.0,14981011.0,132462321,117831260,2408212.0,50564201.0,71004858.0,67517319.0,43106027.0,15692965.0,12
63,발달상권,2120243,천호역,777417060,424308747,352871386,84583242,52852550,91917511,89693385,105262059,177287588,175583798,17243078.0,236927.0,163440908.0,172717122.0,311323325.0,112455700.0,365530618,359463970,3691915.0,139970908.0,242597606.0,200186213.0,104023263.0,34524681.0,18
64,발달상권,2120242,강동구청역,258464188,159772169,98692019,31585037,26747318,31815544,37024247,32600023,47443522,51248497,,360729.0,100942896.0,43380949.0,97147992.0,16631622.0,103599408,106897023,108794.0,29991719.0,55630599.0,71794900.0,35076759.0,17893661.0,5
65,발달상권,2120239,오금역,641984443,441829069,200155374,72682109,92476212,72668469,88128608,115873671,106792763,93362611,1074950.0,5640800.0,157571847.0,69195774.0,276979686.0,131521386.0,341676955,247759297,2139157.0,81694456.0,139448531.0,149487386.0,125919566.0,90747154.0,8
66,발달상권,2120236,장지역(가든파이브),823332730,464701065,358631665,84243697,74607164,110323790,95318620,100207794,138193428,220438237,,19610716.0,317694969.0,215616594.0,270410451.0,,343517871,479814859,3438337.0,156530103.0,198754101.0,285125963.0,114865614.0,64618612.0,4
67,발달상권,2120235,문정역,320971827,263379252,57592575,46279271,62396178,54790929,51766668,48146206,37530296,20062279,19868473.0,8529114.0,108609508.0,15826728.0,89735740.0,78402264.0,150609897,106497073,389238.0,78793535.0,97200667.0,42789295.0,27855289.0,10078946.0,36
68,발달상권,2120234,가락시장역,63444257,46005054,17112466,9906159,8389095,8752024,10564660,8393116,11061300,6051166,11980184.0,,,326737.0,7403355.0,43733981.0,48077157,11103434,74202.0,10301466.0,25145153.0,12341089.0,8563939.0,2754742.0,5
69,발달상권,2120231,가락시장,65098935,45612121,19486814,8676139,7410685,10608085,8579248,10337964,8403084,11083730,,,30846536.0,7704294.0,14137263.0,1327112.0,20881455,21107534,184974.0,5425890.0,8908090.0,13943480.0,7648508.0,5878047.0,2
