,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001496,강남 마이스 관광특구,79787,55963.0,23527.0,9763.0,10735.0,11410.0,11993.0,12062.0,12540.0,10987.0,297.0,2821.0,30929.0,16403.0,26850.0,2487.0,26384.0,41489.0,833.0,17194.0,24515.0,15467.0,6941.0,2921.0
1,관광특구,1001495,잠실 관광특구,81143,43010.0,38133.0,6072.0,7679.0,8629.0,8732.0,11898.0,20822.0,17311.0,1443.0,1075.0,22491.0,20421.0,28361.0,7352.0,33796.0,42128.0,1095.0,19416.0,21623.0,15684.0,10072.0,8034.0
2,관광특구,1001494,종로?청계 관광특구,71551,57902.0,13649.0,9212.0,11762.0,11734.0,12480.0,12714.0,9291.0,4358.0,359.0,814.0,39041.0,8464.0,18526.0,4347.0,33055.0,30510.0,810.0,16963.0,18228.0,12603.0,8971.0,5992.0
3,관광특구,1001493,동대문패션타운 관광특구,50373,28531.0,21842.0,5913.0,4678.0,5813.0,5538.0,6589.0,11065.0,10777.0,23.0,491.0,13604.0,12118.0,20806.0,3331.0,28119.0,19391.0,444.0,15605.0,16522.0,7317.0,5671.0,1956.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,107511,80540.0,26971.0,12887.0,15706.0,16566.0,16916.0,18465.0,15687.0,11284.0,276.0,908.0,51016.0,14763.0,33953.0,6595.0,38671.0,47078.0,811.0,19215.0,27379.0,19823.0,11901.0,6614.0
5,관광특구,1001491,이태원 관광특구,372185,166381.0,205804.0,29357.0,23688.0,27420.0,31769.0,54147.0,125828.0,79976.0,53914.0,7647.0,43283.0,55930.0,126457.0,84954.0,193183.0,163055.0,4808.0,156651.0,115904.0,40148.0,27383.0,11345.0
6,전통시장,2130318,로데오거리상점가,88617,52927.0,35690.0,9925.0,8750.0,9537.0,10158.0,14557.0,19113.0,16577.0,5038.0,,17233.0,14740.0,35364.0,16242.0,38059.0,48335.0,3224.0,34988.0,18377.0,14371.0,11948.0,3486.0
7,전통시장,2130312,석촌시장,847,475.0,246.0,128.0,111.0,67.0,33.0,136.0,162.0,84.0,67.0,126.0,118.0,67.0,255.0,214.0,407.0,229.0,,76.0,263.0,101.0,126.0,67.0
8,전통시장,2130311,새마을시장,942,647.0,282.0,186.0,90.0,101.0,138.0,132.0,158.0,124.0,,32.0,190.0,255.0,452.0,13.0,449.0,480.0,15.0,180.0,209.0,284.0,174.0,67.0
9,전통시장,2130310,강남개포시장,3397,2685.0,707.0,547.0,539.0,617.0,526.0,456.0,707.0,707.0,,,1164.0,695.0,1533.0,5.0,1575.0,1694.0,228.0,617.0,488.0,859.0,836.0,242.0
10,전통시장,2130306,강남언주로,6496,5587.0,909.0,918.0,1278.0,1111.0,1031.0,1249.0,536.0,373.0,27.0,,4213.0,484.0,1320.0,452.0,2440.0,2574.0,43.0,1126.0,2135.0,1150.0,399.0,160.0
11,전통시장,2130303,영동전통시장,7425,6748.0,677.0,1298.0,1504.0,1217.0,1380.0,1349.0,677.0,677.0,,35.0,4925.0,718.0,1731.0,16.0,3172.0,3225.0,6.0,1660.0,2224.0,1472.0,909.0,125.0
12,전통시장,2130299,엔터식스 강남점,41257,26549.0,14708.0,5058.0,5053.0,5032.0,5094.0,6312.0,8001.0,6707.0,,1352.0,13958.0,8629.0,15252.0,2066.0,16396.0,21328.0,445.0,9429.0,11550.0,7556.0,5727.0,3018.0
13,전통시장,2130291,봉천제일종합시장,4443,2807.0,1601.0,251.0,706.0,680.0,526.0,644.0,844.0,757.0,,20.0,1600.0,608.0,1929.0,35.0,1970.0,2187.0,10.0,1350.0,1065.0,677.0,698.0,357.0
14,전통시장,2130290,영림시장,24716,16830.0,7886.0,3471.0,3844.0,3669.0,3733.0,2113.0,4541.0,3345.0,,37.0,8709.0,5768.0,10015.0,187.0,15307.0,8939.0,285.0,7775.0,8110.0,3424.0,3009.0,1642.0
15,전통시장,2130285,서원동상점가,2144,1085.0,1059.0,219.0,99.0,264.0,225.0,278.0,544.0,515.0,103.0,9.0,463.0,480.0,925.0,164.0,1079.0,1020.0,38.0,690.0,633.0,360.0,338.0,40.0
16,전통시장,2130273,남성사계시장(남성시장),532,299.0,233.0,72.0,54.0,45.0,64.0,64.0,129.0,104.0,,,155.0,101.0,253.0,23.0,301.0,195.0,10.0,132.0,123.0,114.0,95.0,23.0
17,전통시장,2130270,흑석시장,4647,3148.0,1499.0,563.0,647.0,656.0,675.0,607.0,631.0,868.0,,94.0,1495.0,991.0,1194.0,5.0,1988.0,1791.0,25.0,453.0,515.0,880.0,1138.0,768.0
18,전통시장,2130266,만양로상점가,13338,8424.0,4914.0,657.0,1465.0,1831.0,2072.0,2399.0,2463.0,2451.0,,165.0,4647.0,2034.0,4900.0,1592.0,7866.0,4904.0,280.0,2883.0,3496.0,2314.0,2592.0,1207.0
19,전통시장,2130241,선유도역 골목형상점가,15288,15129.0,159.0,2814.0,3477.0,2777.0,3320.0,2741.0,5.0,154.0,5.0,14.0,14502.0,249.0,498.0,20.0,7611.0,5304.0,374.0,4580.0,4320.0,2509.0,916.0,221.0
20,전통시장,2130213,방신전통시장,356,282.0,74.0,53.0,32.0,74.0,70.0,53.0,52.0,22.0,,5.0,85.0,117.0,112.0,37.0,180.0,171.0,,27.0,42.0,43.0,111.0,129.0
21,전통시장,2130210,목2동시장,2111,1420.0,687.0,219.0,286.0,329.0,243.0,343.0,363.0,324.0,27.0,4.0,552.0,293.0,1049.0,186.0,1220.0,857.0,27.0,708.0,778.0,300.0,185.0,79.0
22,전통시장,2130194,용강동 상점가,391,254.0,137.0,3.0,58.0,95.0,25.0,73.0,109.0,28.0,34.0,,43.0,14.0,244.0,56.0,253.0,90.0,,42.0,150.0,84.0,51.0,18.0
23,전통시장,2130192,동진시장,891,110.0,301.0,25.0,25.0,15.0,10.0,35.0,60.0,241.0,25.0,,180.0,180.0,20.0,125.0,70.0,100.0,50.0,100.0,60.0,50.0,10.0,20.0
24,전통시장,2130191,홍대 걷고싶은 거리,21620,12440.0,9180.0,2587.0,1986.0,2241.0,2469.0,3157.0,5173.0,4007.0,2761.0,13.0,3669.0,3786.0,7412.0,3979.0,8311.0,13110.0,1467.0,10701.0,4240.0,2607.0,1984.0,423.0
25,전통시장,2130190,홍대소상공인상점가,46045,20594.0,25451.0,3529.0,2924.0,3128.0,3835.0,7178.0,14270.0,11181.0,8925.0,43.0,7405.0,8351.0,14527.0,6794.0,21309.0,24298.0,4239.0,20890.0,9776.0,6367.0,3526.0,810.0
26,전통시장,2130186,망원시장,2900,1814.0,1083.0,333.0,387.0,351.0,399.0,344.0,624.0,459.0,,3.0,1293.0,555.0,1045.0,4.0,1054.0,1667.0,26.0,779.0,770.0,634.0,406.0,105.0
27,전통시장,2130183,상암동상점가,22460,16986.0,5474.0,3142.0,3328.0,3702.0,3191.0,3623.0,2998.0,2476.0,97.0,491.0,12934.0,3311.0,5139.0,488.0,10423.0,10188.0,107.0,3482.0,6251.0,5651.0,3772.0,1349.0
28,전통시장,2130179,"이화여대 3,5,7길 상점가",52406,43869.0,8537.0,8359.0,9938.0,9607.0,8759.0,7206.0,4352.0,4185.0,,960.0,23189.0,9267.0,18734.0,256.0,8311.0,41789.0,4259.0,28447.0,6005.0,4794.0,5487.0,1106.0
29,전통시장,2130178,이대 앞 스타트업 상점가,7970,7853.0,69.0,1331.0,1791.0,1865.0,1643.0,1223.0,65.0,4.0,48.0,82.0,3179.0,2087.0,2261.0,313.0,576.0,7325.0,479.0,6003.0,402.0,209.0,755.0,52.0
30,전통시장,2130177,인왕시장(홍제골목형상점가),1409,1006.0,383.0,238.0,175.0,164.0,214.0,215.0,140.0,243.0,,5.0,587.0,290.0,507.0,20.0,785.0,545.0,20.0,241.0,260.0,281.0,315.0,216.0
31,전통시장,2130170,제일시장,73235,40845.0,32390.0,4357.0,8207.0,9469.0,8901.0,9911.0,17363.0,15027.0,,252.0,29736.0,15783.0,26516.0,948.0,30142.0,42209.0,1676.0,10724.0,17102.0,16855.0,14574.0,11419.0
32,전통시장,2130167,연신내상점가(연빛거리),27426,17890.0,9536.0,3278.0,3083.0,3623.0,3397.0,4509.0,6309.0,3227.0,1411.0,249.0,6101.0,3678.0,11421.0,4566.0,11417.0,15975.0,1953.0,10904.0,5897.0,3930.0,3346.0,1361.0
33,전통시장,2130152,오!도봉거리 상점가,961,694.0,250.0,177.0,119.0,136.0,108.0,154.0,142.0,108.0,17.0,,324.0,182.0,353.0,85.0,536.0,351.0,,69.0,288.0,322.0,150.0,58.0
34,전통시장,2130146,쌍문시장(쌍문역골목시장),1272,873.0,377.0,5.0,267.0,188.0,183.0,230.0,211.0,166.0,,5.0,463.0,276.0,506.0,22.0,531.0,719.0,143.0,369.0,176.0,287.0,188.0,87.0
35,전통시장,2130140,숭인시장,1776,1345.0,431.0,101.0,153.0,75.0,330.0,686.0,406.0,25.0,102.0,,,76.0,709.0,864.0,1239.0,512.0,,230.0,570.0,669.0,232.0,50.0
36,전통시장,2130137,"수유전통시장(수유시장, 수유골목시장)",1553,1037.0,504.0,223.0,249.0,143.0,199.0,223.0,211.0,293.0,,118.0,403.0,659.0,361.0,12.0,630.0,911.0,,76.0,113.0,289.0,508.0,555.0
37,전통시장,2130118,정릉골 골목형상점가,1680,1101.0,579.0,290.0,56.0,326.0,261.0,168.0,280.0,299.0,,,570.0,326.0,765.0,19.0,526.0,1089.0,65.0,545.0,310.0,386.0,244.0,65.0
