,상권코드,상권코드명,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
0,2110753,시흥동 은행나무사거리,18322,167356,92092,112780,149740,56561
1,2110427,노원 을지대학교병원,1704660,34610308,15742513,17659811,29316575,11662351
2,2110755,동일여자고등학교,13870,133515,72571,88487,109651,41314
3,2110739,시흥3동 우편취급국,10013,94009,36854,49547,82165,29341
4,2111017,송파나루역 3번,166790,3886146,2074504,2335065,4550169,1574317
5,2110249,중화역 1번,1428309,21345144,8331022,9439804,18360869,7175035
6,2110963,역삼월드메르디앙아파트,9475,151754,65946,81047,138004,52504
7,2110332,돌곶이역 3번,1060116,17490632,7080913,7810355,14129055,5262924
8,2110245,KB국민은행 중화동지점,826642,10800378,4700014,5364849,9484757,3378151
9,2110719,영서중학교,11630,77387,42766,48417,65733,20862
10,2110932,서울시인재개발원,3498,66750,24716,33558,53392,17335
11,2110933,한국상담대학원대학교,3990,83337,33153,43775,67693,22606
12,2110868,남부초등학교,46683,439462,182464,218378,371200,176674
13,2110395,신한은행 방학동지점,20674,174323,88662,103328,145601,53257
14,2110393,국민은행방학지점,26002,221186,116979,137613,197487,76011
15,2110114,왕십리파출소,1070707,24786997,9859493,11096317,21152606,7751463
16,2110760,선유도역 6번,483677,14291422,4700044,5578351,12769185,3519608
17,2111068,강동성심병원,2761010,50159955,20643909,22846024,42258426,14665966
18,2110619,목4동주민센터,22459,186386,93907,113392,185052,80650
19,2110093,우사단길,9085,81403,55480,71548,89625,33498
20,2110734,금천파출소,1456875,23143570,8749833,9803784,19103417,6327780
21,2111030,방이역 2번,1382724,33346871,12774021,14656440,27950054,10445449
22,2110573,신촌역 6번,3161631,59290817,44733269,50441955,85035707,39413059
23,2110053,청구역 1번,642541,15230036,5910258,6591272,12832282,4528581
24,2110972,강남세브란스병원미래의학연구센터,12668,214404,95902,115366,179388,68938
25,2110911,방배배수지체육공원,3826,33263,14846,26359,21716,8297
26,2110969,베르사이유1아파트,1925285,99972830,32800234,38897364,87160635,23107983
27,2111002,한국교통안전공단 강남자동차검사소,669,5356,2513,3451,3781,734
28,2110863,난우초등학교,25145,209735,114955,141547,202865,81707
29,2110751,난곡중학교,37450,204599,93199,113334,180431,69217
30,2110993,개포지하차도 북측,1726,29005,13181,18335,27271,11872
31,2110725,가산동주민센터,39530,313270,149210,179943,292086,97224
32,2110723,가산디지털단지역 1번 출입구,5453590,160968922,39673182,47773371,144422725,33791189
33,2110938,바우뫼공원,8687,137815,57430,67592,119436,36298
34,2110999,윗방죽마을공원,4790,91145,33382,45943,70066,28530
35,2110941,언남고등학교,9450,157091,64942,78116,143174,44080
36,2110087,이태원엔틱가구거리,2171806,15771474,11716262,15769414,30174918,16091917
37,2110094,오산중학교,5855,74529,43292,51715,67852,26672
38,2110262,상봉역 3번,731258,8840558,3933026,4324833,8452628,3601954
39,2110279,신내역 2번,123845,2560963,862107,1105744,1818064,498032
40,2110107,금호사거리,7261,112901,70546,84532,113937,41759
41,2110576,대흥역 3번,147432,3580688,1707482,1815274,3078378,1268153
42,2111010,석촌역 7번,919364,21813029,10444630,11710042,21220355,7852121
43,2110098,서울독일학교,27024,276290,149712,170674,270429,117972
44,2110669,화곡보람2차아파트,22880,197136,98092,113418,176156,75372
45,2111081,둔촌푸르지오아파트,5863,66265,29539,35680,48256,19540
46,2110331,돌곶이역 8번,1061454,17492872,7086943,7815591,14135259,5266221
47,2110786,당산역 8번,3464565,68659020,29272750,32097496,69861509,28205299
48,2110956,언주역 8번,370168,15436594,6427789,7448670,15146868,4017129
49,2111003,삼전역 4번,328738,5816070,2395293,2694568,5589385,2132390
50,2110565,홍익대,8109473,84099120,71366847,92096108,163753547,82931739
51,2110149,세종대학교,20437,94734,58372,68176,96792,44382
52,2110110,상왕십리역 6번,1075799,24795604,9876035,11116324,21183623,7770818
53,2110539,미근동,968791,44859825,15213520,17244187,36731247,9740502
54,2110505,홍남교남측,10705,135856,73399,84345,116746,51633
55,2110055,황학동벼룩시장,3959188,63991726,44758419,52211600,64429925,22371740
56,2110122,마장역 2번,636240,14396491,6285015,6741883,12018380,4179719
57,2111065,천일초등학교,2082,37023,18394,20810,31958,13314
58,2110305,보문역 5번,860659,16587928,6735357,7334095,13415591,5596804
59,2110499,연가초등학교,8713,90788,46309,57290,81004,35162
60,2110150,중곡1동 마을마당,23069,103823,53076,62044,104365,45751
61,2110236,신묵초등학교,1213075,18822868,8074474,9068226,17278712,6626196
62,2111023,문정역 1번,677820,33652669,9089706,11161337,28196301,7032966
63,2110925,서초중학교,10405,162363,65816,89846,116483,44097
64,2110910,내방역 5번,845512,28138594,10134268,11722095,24642722,7414118
65,2110775,대동초등학교,1518606,16056658,8022011,8489266,15152076,7011761
66,2110854,조원동주민센터,69503,581634,212801,231322,424987,165336
67,2110853,KT구로지사,6648725,118687257,38465137,44449072,109628584,40977777
68,2110918,방배역 3번,1162993,34016165,15867651,18490752,32339044,11683120
69,2110243,중랑노인종합복지관,24655,148905,67526,80343,126913,48433
70,2110935,한전아트센터,7066,91772,41179,52109,80616,32560
71,2110585,마포경찰서,628439,13836355,5167984,5802530,11293361,3535066
72,2110871,신원동주민센터,8043616,117660812,47303064,54597086,114894897,54408441
73,2110811,보라매역 4번,1064055,19282411,7533267,8569280,16533515,5582306
74,2110992,도곡초등학교,13566,200849,141010,201336,287352,164818
75,2111043,마천공원,7724,74118,38562,46793,61666,24682
76,2111039,벌말어린이공원,8766,98817,46990,59346,81594,34293
77,2110771,대림역 11번,1522777,16117230,8049418,8519251,15203292,7034755
78,2110700,고척초등학교,12813,135419,77006,91298,127690,48332
79,2110903,방배아이파크아파트,9538,160536,72858,92710,131435,53989
80,2110709,구로119안전센터,21588,164000,101802,115907,140409,48119
81,2110986,삼성중앙역 7번,214025,10268283,3727882,4412800,10325173,2707670
82,2110949,한남IC,1266955,46154118,25894602,32303328,60944287,21331075
83,2111026,문정역 2번,681502,33707227,9121888,11205517,28249903,7059303
84,2110621,목동역 5번,1609421,32498563,13538202,15829416,32562469,12791120
85,2110684,서울공연예술고등학교,4914,80546,31516,48704,54573,19452
86,2110757,양평역 2번,792673,19998467,8031218,8659385,16719903,5161483
87,2110878,미림여고,8352,81641,35907,46544,61355,29789
88,2110866,난우중학교,17011,113454,49370,54883,72985,30397
89,2110379,KT&G 북부지사,18051,165619,85988,97238,135676,48546
90,2110882,신성초등학교,162164,1932519,974241,1116691,1871313,751969
91,2110724,금천구립가산도서관,10961,165249,51167,59982,123546,43207
92,2110926,신중초등학교,9445,153021,70331,100622,137440,52361
93,2111016,송파역 2번,491217,13489898,5541742,6732366,11095900,3577018
94,2110223,군자초등학교,1288660,35777437,13220807,14964812,32489592,9611750
95,2110648,양천향교역 7번,848131,16127637,6061403,6884543,14130215,5201052
96,2110629,송정역 4번,2845654,56906942,36851212,41473815,62975558,21266531
97,2110023,서울대병원,1631388,48706270,38006793,46490987,68897027,30625375
98,2110946,청계산원터골,229,5965,4610,6360,5905,1509
99,2110160,광진경찰서,6414,89910,39143,54859,66827,26400
100,2110923,방배역 1번,1164488,34027405,15873828,18502228,32348751,11685552
101,2110788,영등포시장역 3번,554038,16206258,8807643,9940322,16314223,4598428
102,2111011,잠실나루역,953447,30009875,14122988,15029245,23893967,8250456
103,2110950,논현역 7번,2349631,84541898,38519600,47454907,96869932,34611860
104,2110991,삼성중앙역 5번,644071,33985427,16093294,18755262,36566876,9675890
105,2110774,당산반도유보라팰리스아파트,1753295,48534307,18832569,21211224,44143581,13712480
106,2110796,한림대학교한강성심병원,535374,16097988,8729141,9846433,16180973,4549474
107,2110601,신월1동우편취급국,10576,71103,30656,35448,57355,25225
108,2110687,"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",1086863,18836094,6531303,7507357,14689968,5219793
109,2110618,강서고등학교,24349,208936,96693,116933,167365,74192
110,2110545,마포구청역 1번,1300196,25619878,10400225,11483908,21285856,7895097
111,2110460,구산역 4번,778970,14354924,5929433,6584581,10041649,3635464
112,2110483,연천초등학교,26049,193606,112533,140843,192633,82201
113,2110906,서문여고,17678,236958,137087,176079,235256,93151
114,2110626,양화초등학교,1848970,30707036,11082331,12109662,27311770,11613937
115,2110745,독산동정훈단지,24113,161573,88272,103936,158185,67426
116,2110790,대림1동주민센터,1730518,22073944,8617300,9566489,18085073,6826792
117,2110795,도림초등학교,19384,139036,68586,79883,115243,46519
118,2110501,연희어린이공원,25129,179809,102228,125782,188787,80702
119,2110514,서대문우체국,93926,532326,364934,423774,593922,288405
120,2110838,상도1동주민센터앞,336172,6406298,2945363,3217359,5583048,2746132
121,2110488,우리은행응암동지점,1410672,27805223,9846463,10769842,21243016,8114358
