,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,3611753716,2426792050.0,1184961666.0,448494707.0,451493008.0,492251233.0,515605565.0,518947537.0,629786789.0,555174877.0,,3326082.0,1479308313.0,678514226.0,1413414257.0,37190838.0,1328065847.0,1444875862.0,26122305.0,781123594.0,894031273.0,532527272.0,321616114.0,217521150.0,20.0
1,관광특구,1001495,잠실 관광특구,1080289903,722437020.0,357852883.0,154107824.0,114378646.0,141014826.0,136910946.0,176024778.0,216343468.0,141509415.0,,174857.0,178617055.0,105457524.0,623375874.0,172664593.0,508666927.0,362685285.0,2903456.0,302051069.0,290950493.0,107884289.0,98583923.0,68978980.0,43.0
2,관광특구,1001494,종로?청계 관광특구,2002345811,1774894295.0,227451516.0,333797207.0,358417616.0,352834855.0,387875889.0,341968728.0,158419837.0,69031679.0,3735794.0,3453953.0,649800635.0,85172498.0,903895928.0,356287003.0,861569474.0,408728262.0,3014462.0,259971815.0,440090750.0,262511457.0,189027805.0,115681447.0,36.0
3,관광특구,1001493,동대문패션타운 관광특구,746959084,563862799.0,183096285.0,108352554.0,107439027.0,110411766.0,122328189.0,115331263.0,142085364.0,41010921.0,,1964848.0,297412390.0,165774227.0,266207503.0,15600116.0,354457180.0,359246771.0,6046730.0,216794543.0,236603731.0,123143772.0,96895086.0,34220088.0,11.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,6269494540,5442252618.0,827241922.0,1033590663.0,1056140244.0,1040243900.0,1204784275.0,1107493536.0,489819299.0,337422623.0,,11161742.0,2714851002.0,484196774.0,2247273958.0,812011064.0,2286649602.0,1693261636.0,32231345.0,1018753083.0,1290955853.0,848156067.0,589746001.0,200068886.0,79.0
5,관광특구,1001491,이태원 관광특구,767029765,543335091.0,223694674.0,77028718.0,98673741.0,136320917.0,108948619.0,122363096.0,168500832.0,55193842.0,568307.0,503016.0,108375836.0,34907763.0,378781927.0,243892916.0,285683849.0,253533942.0,3599755.0,162011275.0,204793139.0,81294832.0,58267254.0,29251539.0,22.0
6,전통시장,2130324,길동복조리시장,59803727,39289001.0,19493197.0,2652118.0,12338647.0,7985909.0,8673353.0,7638974.0,9933236.0,9559961.0,417606.0,186317.0,3461631.0,5159039.0,39451545.0,10709983.0,39313228.0,17271721.0,417606.0,1885162.0,8393715.0,11989372.0,22451061.0,11865640.0,4.0
7,전통시장,2130318,로데오거리상점가,761672674,480123191.0,281549483.0,89663831.0,95408256.0,83371426.0,103439625.0,108240053.0,158896569.0,122652914.0,681772.0,728801.0,141196046.0,92778791.0,391364793.0,134922471.0,427591551.0,294962016.0,3525716.0,258329761.0,234676447.0,104360561.0,83758731.0,37902351.0,8.0
8,전통시장,2130313,방이시장,91507199,81110693.0,10069712.0,13309013.0,15113972.0,18029578.0,13409886.0,21248244.0,10069712.0,10069712.0,326794.0,,30833969.0,4112529.0,38654291.0,17579616.0,49817124.0,28094030.0,47747.0,8628720.0,22384523.0,19288739.0,16385622.0,11175805.0,6.0
9,전통시장,2130310,강남개포시장,161169991,130580228.0,30589763.0,19544090.0,19211768.0,27678356.0,27068892.0,37077122.0,27999677.0,2590086.0,,46114.0,27150627.0,16540085.0,97478896.0,19954269.0,99987466.0,35158565.0,1419826.0,15324368.0,32977969.0,33433885.0,33932194.0,18057789.0,4.0
10,전통시장,2130306,강남언주로,304058741,282964890.0,17901187.0,50644229.0,53720619.0,45898456.0,60306043.0,72395543.0,13571685.0,4329502.0,3192664.0,,88567148.0,5486807.0,119388584.0,87423538.0,130966833.0,70241673.0,441519.0,46843988.0,79095462.0,50982975.0,18687966.0,5156596.0,13.0
11,전통시장,2130304,신사상가,2234478,1700765.0,533713.0,167230.0,772104.0,772104.0,772104.0,761431.0,533713.0,533713.0,,320228.0,925102.0,640455.0,348693.0,,946450.0,878848.0,,,302437.0,,370040.0,1152820.0,1.0
12,전통시장,2130303,영동전통시장,795106940,635629809.0,159024052.0,131980254.0,123026897.0,120290467.0,122175441.0,138156750.0,88463896.0,70560156.0,453079.0,4013491.0,279873437.0,78829732.0,319771111.0,112166090.0,362870539.0,166399363.0,1236750.0,109623499.0,149387510.0,91161557.0,106810488.0,71050099.0,7.0
13,전통시장,2130302,강남시장(강남구 강남시장),102972932,97780007.0,4520604.0,21238308.0,11936200.0,12603504.0,27389541.0,24612454.0,4520604.0,4520604.0,672321.0,587026.0,61329191.0,4149321.0,25583306.0,10651767.0,63609561.0,15972633.0,130451.0,5870262.0,31403394.0,17517967.0,8441638.0,16218481.0,3.0
14,전통시장,2130301,양재시장,55947570,44598104.0,11349466.0,8954375.0,8192300.0,10206354.0,10206355.0,7038720.0,5301024.0,6048442.0,,224017.0,27074578.0,10738132.0,17753822.0,157021.0,21063821.0,15050971.0,3098545.0,9115583.0,9230732.0,4566166.0,6839828.0,3263939.0,2.0
15,전통시장,2130299,엔터식스 강남점,557189765,372606130.0,184583635.0,69010027.0,69979707.0,74999594.0,74244261.0,84372541.0,94282191.0,90301444.0,,1351940.0,206011344.0,125441117.0,224123556.0,261808.0,238521278.0,275971251.0,8468330.0,165495578.0,133025905.0,80569891.0,82358380.0,44574443.0,8.0
16,전통시장,2130298,강남터미널지하도상점가2구역,21016133,14124424.0,6891709.0,3201096.0,1853556.0,3729111.0,2321070.0,3019591.0,2970090.0,3921619.0,,770024.0,9113774.0,6110684.0,5021651.0,,9659837.0,11356296.0,2283184.0,4463824.0,2697577.0,4155074.0,5185327.0,2231147.0,1.0
17,전통시장,2130295,인헌시장(원당종합시장),213719443,126919436.0,86800007.0,9239677.0,27745510.0,28716860.0,24917862.0,36299527.0,53436830.0,33363177.0,,4403828.0,35549762.0,46928640.0,112804889.0,14032324.0,108420079.0,105299364.0,,26455531.0,51087954.0,33133128.0,50011029.0,53031801.0,2.0
18,전통시장,2130285,서원동상점가,521381974,317737013.0,203644961.0,61154011.0,54318158.0,64690683.0,59438314.0,78135847.0,109233531.0,94411430.0,599958.0,466057.0,82924239.0,80042424.0,289181730.0,68167566.0,306408274.0,192269685.0,10459043.0,217478397.0,123877844.0,60804398.0,62016562.0,24041714.0,8.0
19,전통시장,2130284,관악종합시장(신원시장),45141657,36037227.0,9017538.0,6260324.0,5961692.0,6599203.0,7680777.0,9535231.0,7576964.0,1440574.0,,580803.0,896358.0,9654136.0,29450828.0,4472640.0,23427104.0,21627661.0,86892.0,8755206.0,9642144.0,9423150.0,10569575.0,6664690.0,2.0
20,전통시장,2130283,신원시장,28810624,20677097.0,8133527.0,4871095.0,4199565.0,4014143.0,4670639.0,2921655.0,5642854.0,2490673.0,,2956735.0,9341277.0,11816916.0,4695696.0,,8930976.0,19879648.0,,592051.0,1194209.0,3643833.0,6026437.0,17354094.0,5.0
21,전통시장,2130274,사당1동먹자골목상점가(사당1동먹자골목),313608726,236087138.0,75734190.0,30538995.0,42755892.0,46595980.0,55666728.0,60529543.0,66646728.0,9087462.0,1294510.0,64726.0,13835077.0,10400537.0,161014150.0,126571564.0,193176703.0,61757806.0,428162.0,38443031.0,95038200.0,69152240.0,28943607.0,23357432.0,6.0
22,전통시장,2130273,남성사계시장(남성시장),564692972,392213028.0,172479944.0,65568730.0,82398994.0,80925343.0,75919306.0,87400655.0,96794088.0,75685856.0,,824369.0,175252159.0,79381657.0,274636081.0,34598706.0,302372144.0,240220435.0,32032840.0,182618072.0,128587727.0,95949797.0,79777656.0,23626488.0,6.0
23,전통시장,2130271,남성역골목시장,40116356,29034324.0,11082032.0,5965468.0,5019724.0,3366235.0,5246645.0,9436252.0,9580788.0,1501244.0,,,12679633.0,3630254.0,23004778.0,801691.0,19303866.0,18071130.0,266219.0,9053709.0,7585284.0,5944144.0,8929413.0,5596227.0,2.0
24,전통시장,2130261,성대전통시장(성대시장),18399927,10403622.0,7715569.0,252663.0,4257836.0,1422397.0,2091486.0,2379240.0,3846087.0,3869482.0,,,2285661.0,2891584.0,9877241.0,3064705.0,11908869.0,5648849.0,280736.0,5699425.0,3517405.0,3240405.0,3529369.0,1571114.0,1.0
25,전통시장,2130241,선유도역 골목형상점가,257806786,245696920.0,12109866.0,49403281.0,44003688.0,45271514.0,49526088.0,57492349.0,11669343.0,440523.0,,,144651814.0,10136788.0,94487336.0,8530848.0,80353064.0,56985403.0,668755.0,27912064.0,45670861.0,31007386.0,21021761.0,11057636.0,7.0
26,전통시장,2130235,대명여울빛거리시장(대명시장),56780578,37193373.0,19539096.0,7376917.0,7550825.0,7101493.0,5277345.0,9886793.0,13897919.0,5641177.0,,,5343361.0,3020778.0,33972563.0,14395767.0,38569959.0,14216096.0,48109.0,10977033.0,14807868.0,11177560.0,8640779.0,7182816.0,2.0
27,전통시장,2130208,목동깨비시장(목3동시장),114807084,75770937.0,39036147.0,8004149.0,15503497.0,11787755.0,17761995.0,22713541.0,21638465.0,17397682.0,357169.0,,190490.0,3797893.0,55646867.0,54814665.0,67801443.0,47005641.0,1052818.0,33122938.0,40515694.0,22356343.0,13872316.0,3886975.0,8.0
28,전통시장,2130202,신영시장,11408918,9583204.0,1667789.0,1430901.0,1508427.0,2519628.0,2158315.0,1965933.0,1667789.0,1667789.0,,,,,4166840.0,7084153.0,8066162.0,2892908.0,,2338733.0,3551887.0,3314521.0,1753929.0,157925.0,5.0
29,전통시장,2130196,공덕시장,229706750,212530399.0,17126044.0,45517331.0,42617474.0,33957431.0,44227310.0,46210853.0,15875548.0,1250496.0,,50307.0,24485283.0,7488602.0,134108497.0,63574061.0,92461234.0,19706091.0,,984586.0,18347793.0,38082631.0,41083101.0,13669214.0,2.0
30,전통시장,2130195,도화동 상점가,1061170419,888759425.0,172410994.0,174740817.0,156960177.0,161239804.0,204138748.0,191679879.0,109483960.0,62927034.0,77181.0,1160194.0,251047667.0,70331601.0,492320106.0,246233670.0,458153902.0,222427486.0,5255049.0,84923400.0,212103601.0,151684587.0,135743285.0,90871467.0,16.0
31,전통시장,2130192,동진시장,124313293,66741556.0,57404073.0,16824910.0,12406707.0,4876647.0,14881915.0,17751377.0,30119762.0,27284311.0,,47904.0,43703473.0,26046468.0,54395688.0,119760.0,47913294.0,66816767.0,347305.0,53748502.0,34939401.0,10249581.0,9634491.0,5810779.0,3.0
32,전통시장,2130191,홍대 걷고싶은 거리,1142684360,662969276.0,479715084.0,128863508.0,90738775.0,134677177.0,144738662.0,163951154.0,259044067.0,220671017.0,1551334.0,573907.0,296573864.0,220931676.0,512722460.0,110331119.0,569262125.0,527244855.0,37592464.0,536801020.0,294964940.0,109233444.0,92112703.0,25802412.0,15.0
33,전통시장,2130190,홍대소상공인상점가,834801180,508977668.0,325823512.0,102228682.0,95376927.0,107056644.0,93762433.0,110552982.0,172081586.0,153741926.0,,553057.0,214403371.0,209541877.0,388899222.0,21403653.0,421739587.0,402638339.0,55990125.0,465753046.0,141993472.0,67575961.0,78817910.0,14247413.0,11.0
34,전통시장,2130183,상암동상점가,1698853962,1500506361.0,198347601.0,241347004.0,293032347.0,299125817.0,332958613.0,334042580.0,166356008.0,31991593.0,,939749.0,521559267.0,68831015.0,805081087.0,302442844.0,620770592.0,368738585.0,1451737.0,191776044.0,313211475.0,252701822.0,176735269.0,53632829.0,30.0
35,전통시장,2130180,포방터시장,64141451,57590342.0,6551109.0,3795939.0,42213524.0,3493304.0,3387963.0,4699612.0,5587865.0,963244.0,,37985677.0,18168407.0,3711581.0,4275786.0,,10778703.0,40262641.0,,,430385.0,41810934.0,3538763.0,5261261.0,2.0
36,전통시장,2130179,"이화여대 3,5,7길 상점가",346276179,309233653.0,37042526.0,67262737.0,53200654.0,63090697.0,76641357.0,49038208.0,30286107.0,6756419.0,,398106.0,179336146.0,51273786.0,114189936.0,1078205.0,52212440.0,243954993.0,10587114.0,194384593.0,30296896.0,19652228.0,32397851.0,8848748.0,15.0
37,전통시장,2130178,이대 앞 스타트업 상점가,153552711,132267352.0,20993638.0,27901256.0,28741441.0,25176464.0,26738244.0,23709947.0,14640953.0,6352685.0,,291721.0,61782820.0,25484515.0,60787112.0,5206543.0,26564319.0,96984723.0,3182313.0,72289910.0,18141188.0,13101951.0,11633293.0,5200387.0,4.0
38,전통시장,2130170,제일시장,88564782,57571201.0,30993581.0,5477944.0,12839968.0,10851564.0,14812751.0,13588974.0,16584384.0,14409197.0,,721522.0,27168578.0,18660242.0,36717032.0,5297408.0,44158723.0,44406059.0,841778.0,7835727.0,7887958.0,16824710.0,26155202.0,29019407.0,4.0
39,전통시장,2130167,연신내상점가(연빛거리),475549338,328464681.0,147084657.0,59471493.0,69043675.0,74318049.0,57836304.0,67795160.0,77019423.0,70065234.0,1872334.0,3706846.0,74619831.0,62993460.0,259913345.0,72443522.0,292744078.0,177282891.0,7794265.0,140787468.0,110286001.0,81092268.0,73146056.0,56920912.0,18.0
40,전통시장,2130163,응암오거리상점가,33929560,17206186.0,16723374.0,689733.0,2758932.0,3947395.0,5210137.0,4599989.0,9704014.0,7019360.0,,,,275893.0,23647232.0,10006435.0,24368799.0,8924084.0,626065.0,4414291.0,6329627.0,7762150.0,8977141.0,5183609.0,4.0
41,전통시장,2130153,창동역상점가,129888492,88129026.0,41759466.0,18203073.0,15004436.0,14839475.0,17444092.0,22637950.0,26357760.0,15401706.0,,,806372.0,7736666.0,106475375.0,14870079.0,96895864.0,20895017.0,,6219220.0,22855226.0,34535725.0,28844766.0,25335947.0,3.0
42,전통시장,2130147,쌍문역동측상점가,109863664,76112158.0,33751506.0,14561768.0,12031405.0,14529606.0,13825053.0,21164326.0,26442729.0,7308777.0,,532527.0,10651237.0,9223802.0,77319531.0,12136567.0,66369403.0,36702072.0,543400.0,21278934.0,30122493.0,18501339.0,18649030.0,13976280.0,4.0
43,전통시장,2130146,쌍문시장(쌍문역골목시장),153178987,115330417.0,37848570.0,28699479.0,23049012.0,20606183.0,20628008.0,22347735.0,29977395.0,7871175.0,,,44336104.0,12124423.0,84520321.0,4326964.0,77516703.0,67791109.0,1786960.0,16819495.0,24834363.0,34683045.0,40577009.0,26606940.0,4.0
44,전통시장,2130145,쌍문역둘리상점가,133209892,101701528.0,30938854.0,18394603.0,22114939.0,21368562.0,21650492.0,18172932.0,19495404.0,11443450.0,569510.0,,38999916.0,13334898.0,66522533.0,13783035.0,72490041.0,44493307.0,1576423.0,29483226.0,22103130.0,18364388.0,32959851.0,12496330.0,5.0
45,전통시장,2130139,강북종합전통시장(강북종합골목시장),184067801,107222881.0,76844920.0,29916695.0,17305773.0,10860048.0,18937447.0,30202918.0,43310852.0,33534068.0,,,6764863.0,5029416.0,135008390.0,37265132.0,111389939.0,56690117.0,194047.0,20604670.0,36093658.0,39554021.0,45939300.0,25694356.0,8.0
46,전통시장,2130132,삼양골목시장(삼양시장),43439894,29558408.0,13881486.0,7989671.0,5770150.0,6137501.0,6432693.0,3228393.0,6980796.0,6900690.0,,132508.0,16609961.0,3749393.0,20520774.0,2427258.0,25565077.0,10144140.0,433665.0,4598654.0,6345298.0,11118681.0,10064635.0,3148286.0,2.0
47,전통시장,2130111,"동원전통종합시장(동원시장, 동원전통시장 상점가)",91913572,55952994.0,35960578.0,5686558.0,10630527.0,12930530.0,13356780.0,13348599.0,28239417.0,7721161.0,,143104.0,4214386.0,10708207.0,62156240.0,14691635.0,58953371.0,31384485.0,,9581078.0,20596096.0,16228322.0,28321942.0,15610420.0,8.0
48,전통시장,2130105,장미제일시장(중화동제일시장),14273974,9075110.0,5198864.0,3349489.0,57256.0,921825.0,1643253.0,3103287.0,3171995.0,2026869.0,,618368.0,2971597.0,5536676.0,5090077.0,57256.0,5124430.0,9149544.0,,45805.0,721428.0,2129931.0,2879987.0,8496823.0,1.0
49,전통시장,2130101,답십리현대시장,34935593,25418956.0,9516637.0,9510525.0,9510525.0,3945401.0,5436769.0,6526261.0,6417770.0,3098867.0,,,12879854.0,2098000.0,18406778.0,1550961.0,18767980.0,12958728.0,213926.0,4245620.0,4643405.0,7146903.0,12278618.0,3198237.0,2.0
50,전통시장,2130098,회기시장,124142056,75200033.0,48942023.0,14192327.0,10311619.0,11744375.0,19327684.0,19624028.0,20275779.0,28666244.0,,,42779812.0,19473660.0,59462838.0,2425746.0,58215335.0,55857116.0,1536398.0,50700821.0,24758592.0,12547865.0,19345076.0,5183696.0,4.0
51,전통시장,2130095,청량리전통시장,15716430,12834385.0,2882045.0,2222950.0,928720.0,772939.0,4961192.0,3948584.0,2294851.0,587194.0,,,,,14895556.0,820874.0,7100252.0,3523166.0,,6555007.0,904752.0,317564.0,904758.0,1941337.0,1.0
52,전통시장,2130083,"중곡제일시장(중곡제일골목시장, 광성시장)",134728954,86991523.0,45091368.0,16128137.0,14898767.0,14743153.0,23203644.0,18017822.0,26492779.0,18598589.0,246730.0,9165281.0,29985521.0,37025796.0,49378071.0,6528222.0,56382588.0,75700303.0,2399333.0,11265774.0,21461282.0,14679059.0,37237547.0,47439229.0,6.0
53,전통시장,2130072,성동용답상가시장,420231339,314643069.0,105588270.0,53767491.0,52789636.0,66958962.0,60136128.0,80990852.0,72733444.0,32854826.0,3480088.0,222039.0,42609604.0,24162859.0,267653412.0,82103337.0,251045101.0,99531321.0,500939.0,57768883.0,64966965.0,67926537.0,107319552.0,52093550.0,9.0
54,전통시장,2130070,뚝섬역상점가,141757674,124706671.0,16968972.0,21846637.0,19153510.0,27880300.0,26600623.0,29225601.0,16968972.0,16968972.0,,82031.0,56313361.0,8971622.0,55384522.0,21006138.0,51161210.0,44257391.0,1217839.0,23987634.0,23771831.0,18184917.0,13785554.0,14470825.0,2.0
55,전통시장,2130069,"한양대앞상점가(한양시장, 왕십리맛골목)",244488277,173460920.0,71027357.0,19748254.0,37868293.0,36567093.0,40800119.0,38477161.0,37065577.0,33961780.0,442835.0,2465968.0,84007955.0,22817463.0,100381358.0,34372698.0,125741274.0,94256421.0,10537190.0,135506096.0,30169692.0,15219013.0,22221090.0,6344612.0,7.0
56,전통시장,2130067,왕십리도선동상점가,38131052,24903385.0,12069440.0,4060016.0,4131587.0,6773200.0,4430883.0,5507699.0,8445355.0,3624085.0,130129.0,,425073.0,733154.0,17163979.0,19678717.0,22021519.0,13344216.0,,10944814.0,20249070.0,2244419.0,1154892.0,772540.0,4.0
57,전통시장,2130066,행당시장상점가,210060251,175681077.0,34379174.0,36631426.0,25367162.0,31394674.0,34928443.0,47359372.0,25347430.0,9031744.0,2737143.0,,65113398.0,19560637.0,89698314.0,32950759.0,116138182.0,41284571.0,43154.0,29827065.0,22156698.0,22771910.0,56864381.0,25759546.0,6.0
58,전통시장,2130063,신금호역 골목형상점가,66197376,47875719.0,17168355.0,7154848.0,6023410.0,9056978.0,12812042.0,12828441.0,15943996.0,1224359.0,,,,1153302.0,30483260.0,33336455.0,32062902.0,6815963.0,,2754808.0,10920845.0,3142886.0,10871653.0,11188675.0,3.0
59,전통시장,2130058,이촌종합시장,1151018144,851931676.0,299086468.0,166266933.0,165158408.0,142865401.0,198958306.0,178682628.0,212957741.0,86128727.0,2887769.0,20126932.0,117954097.0,93414077.0,630756296.0,285878973.0,489952994.0,399302874.0,7372008.0,117420842.0,241188472.0,148038840.0,217309460.0,157926246.0,11.0
60,전통시장,2130054,황학동주방가구거리상점가,13968756,8798064.0,5170692.0,1746094.0,321056.0,2990891.0,2016458.0,1723565.0,3863937.0,1306755.0,,,1436304.0,2061518.0,7941914.0,2207964.0,7322332.0,6325368.0,,225303.0,2928933.0,3148603.0,3390803.0,3954058.0,3.0
61,전통시장,2130052,서울중앙시장(신중앙시장),26580890,18302274.0,8278616.0,3568654.0,3494221.0,4155848.0,2332237.0,4751314.0,6281327.0,1997289.0,,,124055.0,1480392.0,20899163.0,4077280.0,19704099.0,4730637.0,,1397689.0,2357048.0,3506627.0,12620547.0,4552826.0,6.0
62,전통시장,2130038,"평화시장(통일상가, 동화상가)",347661336,247342015.0,100319321.0,47216675.0,47977229.0,41299053.0,60002030.0,50847028.0,59308400.0,41010921.0,,1964848.0,181731927.0,88590894.0,75373667.0,,147953477.0,192286933.0,5636286.0,119847399.0,117249012.0,56025674.0,31466676.0,10015363.0,3.0
63,전통시장,2130010,종로신진시장,75526189,62109644.0,13416545.0,7818808.0,16515752.0,11191250.0,12743383.0,13840451.0,12062653.0,1353892.0,,83574.0,25128375.0,10936348.0,32811368.0,6566524.0,43831247.0,22625533.0,66859.0,7905726.0,9202795.0,14314021.0,17481233.0,17486149.0,2.0
64,전통시장,2130002,세종마을음식문화거리(금천교시장),181005323,126286564.0,53994003.0,18999863.0,25851122.0,27823505.0,26666719.0,26945355.0,40174527.0,13819476.0,,979620.0,33287487.0,9882216.0,88124641.0,48006603.0,80715402.0,69882526.0,724756.0,32184741.0,46991176.0,26309908.0,29974754.0,15137348.0,2.0
65,발달상권,2120249,고덕역,276297025,195259527.0,81037498.0,43876650.0,46603386.0,28364643.0,33651794.0,42763054.0,47601350.0,33436148.0,,475440.0,113456488.0,39089486.0,119113660.0,4161951.0,142434869.0,122417499.0,21763357.0,38113902.0,32593653.0,78310916.0,59686211.0,34384332.0,7.0
66,발달상권,2120248,명일역,398150605,270990883.0,127159722.0,29812438.0,56148757.0,50826481.0,66227356.0,67975851.0,71492830.0,55666892.0,,836431.0,143806489.0,35213481.0,194314073.0,23980131.0,190334010.0,175720622.0,4699598.0,47645505.0,61194319.0,98236177.0,96250545.0,58028492.0,15.0
67,발달상권,2120246,길동역,406720503,296557367.0,108804517.0,69883378.0,50272078.0,58954996.0,56427253.0,61019662.0,67691977.0,41112540.0,1358619.0,938394.0,162105163.0,59102729.0,159117210.0,24098388.0,216866218.0,123402041.0,1788525.0,41118587.0,69675136.0,78103767.0,80754621.0,68827625.0,12.0
68,발달상권,2120245,둔촌역,247367496,170900156.0,76467340.0,17671123.0,44252761.0,33295521.0,36599121.0,39081630.0,36107993.0,40359347.0,,930161.0,74817915.0,22532000.0,134160927.0,14926493.0,137225754.0,82794088.0,3633820.0,35717094.0,42085669.0,39313220.0,66116805.0,33153234.0,9.0
69,발달상권,2120244,암사역,257312225,180204366.0,74462835.0,35525884.0,28013002.0,39954629.0,40197423.0,36513428.0,41063727.0,33399108.0,2645024.0,701166.0,52273633.0,28474257.0,147043037.0,26175108.0,142083445.0,83753417.0,1309146.0,24991292.0,44803753.0,58039816.0,61893922.0,34798934.0,8.0
70,발달상권,2120243,천호역,601466672,442723251.0,158743421.0,79813368.0,71215254.0,99750114.0,81167058.0,110777457.0,137358077.0,21385344.0,,,62538129.0,23381859.0,344129614.0,171417070.0,396441764.0,174743588.0,260492.0,189610166.0,207095144.0,61261984.0,59734774.0,53222791.0,13.0
71,발달상권,2120242,강동구청역,478898068,412322097.0,66575971.0,77299537.0,81052376.0,65617040.0,102272055.0,86081089.0,63924327.0,2651644.0,,1855360.0,145257972.0,15784121.0,261112840.0,54887775.0,252415843.0,135896324.0,1374521.0,73477435.0,102613835.0,75809800.0,77861125.0,57175447.0,21.0
72,발달상권,2120241,거여역,124475685,96461123.0,28014562.0,17675726.0,17515664.0,19237920.0,20887541.0,21144272.0,21054372.0,6960190.0,,,31101418.0,15370132.0,60354116.0,17650019.0,73984789.0,39287465.0,2999758.0,18057594.0,19340991.0,26622011.0,31470703.0,14781195.0,7.0
73,발달상권,2120240,개롱역,210497246,147530800.0,62966446.0,13034269.0,28530622.0,27344196.0,36247971.0,42373742.0,38312793.0,24653653.0,,570301.0,57455361.0,16098839.0,118922361.0,17450384.0,108057894.0,80316297.0,2929917.0,27599576.0,47405929.0,40012376.0,39874427.0,30551963.0,8.0
74,발달상권,2120239,오금역,187347968,153693882.0,33524599.0,43448530.0,25820644.0,22800330.0,38461709.0,23162669.0,28134000.0,5390599.0,,,79036889.0,22609806.0,62807785.0,22764001.0,100373844.0,27654285.0,129487.0,4288982.0,3573188.0,25840605.0,38099652.0,56225702.0,7.0
75,발달상권,2120237,경찰병원역,182159312,140950314.0,41208998.0,8496360.0,11240320.0,34349097.0,46531621.0,40332916.0,41208998.0,41208998.0,,,60598552.0,9438564.0,108816219.0,3305977.0,69491629.0,25538670.0,,4562248.0,10165877.0,14761186.0,28761997.0,36778990.0,9.0
