,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001496,강남 마이스 관광특구,111768,80144,31624,13712,13970,16274,17917,18271,17174,14450,,251.0,47676.0,20283.0,41903.0,1655.0,38409,54115,1798.0,26358.0,31178.0,16625.0,10488.0,6079.0
1,관광특구,1001495,잠실 관광특구,29189,18579,10598,3660,3259,3551,3606,4503,5559,5039,1469.0,12.0,6344.0,3253.0,12076.0,6035.0,13429,13338,236.0,11375.0,8194.0,2433.0,2802.0,1727.0
2,관광특구,1001494,종로?청계 관광특구,62817,53002,9815,7982,10457,11490,11508,11565,7384,2431,3261.0,101.0,25502.0,2562.0,17460.0,13931.0,28557,21453,293.0,14041.0,16895.0,9692.0,6237.0,2846.0
3,관광특구,1001493,동대문패션타운 관광특구,47758,34906,12852,6873,6415,7579,6925,7114,8764,4088,13.0,429.0,21260.0,11076.0,14755.0,225.0,19369,25753,785.0,14266.0,14173.0,7549.0,6177.0,2175.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,200916,171190,29726,28796,35391,35212,35596,36195,16516,13210,12.0,7229.0,115959.0,21132.0,44936.0,11648.0,74478,92632,2786.0,46096.0,54146.0,36493.0,19428.0,8169.0
5,관광특구,1001491,이태원 관광특구,11964,7716,4243,1092,1167,1520,1753,2184,2773,1470,1036.0,5.0,3052.0,625.0,3992.0,3254.0,4786,5324,170.0,3749.0,3362.0,1294.0,1105.0,431.0
6,전통시장,2130324,길동복조리시장,1554,919,629,45,167,206,174,327,404,225,6.0,6.0,91.0,206.0,937.0,302.0,944,508,6.0,19.0,187.0,347.0,624.0,276.0
7,전통시장,2130318,로데오거리상점가,29222,19628,9594,3405,3725,3671,4135,4692,5129,4465,1373.0,,9289.0,3850.0,10369.0,4341.0,15614,12164,282.0,9492.0,7667.0,4514.0,3937.0,1886.0
8,전통시장,2130313,방이시장,2959,2642,317,503,579,536,482,542,300,17,64.0,,1595.0,247.0,722.0,331.0,1475,1166,16.0,618.0,624.0,557.0,371.0,456.0
9,전통시장,2130310,강남개포시장,3909,2821,1088,576,518,602,618,507,673,415,6.0,,1561.0,649.0,1485.0,208.0,1893,1544,144.0,579.0,544.0,735.0,867.0,570.0
10,전통시장,2130306,강남언주로,7369,6955,414,979,1221,1620,1501,1634,396,18,12.0,,4372.0,297.0,1681.0,1007.0,2573,2998,88.0,1595.0,2148.0,1060.0,544.0,137.0
11,전통시장,2130304,신사상가,61,53,8,10,8,7,14,14,8,8,,17.0,24.0,12.0,8.0,,18,43,,,,,21.0,40.0
12,전통시장,2130303,영동전통시장,1832,1343,322,273,274,261,261,274,191,131,107.0,72.0,261.0,416.0,560.0,356.0,631,689,60.0,84.0,261.0,179.0,392.0,404.0
13,전통시장,2130302,강남시장(강남구 강남시장),7797,7089,708,1365,1371,1419,1525,1409,533,175,5.0,20.0,5177.0,578.0,1184.0,833.0,5062,1716,5.0,1134.0,1852.0,1531.0,1073.0,1184.0
14,전통시장,2130301,양재시장,4347,3278,1069,619,658,649,708,644,482,587,,16.0,1927.0,1051.0,1349.0,4.0,1788,1901,180.0,951.0,788.0,557.0,808.0,406.0
15,전통시장,2130299,엔터식스 강남점,42088,27821,14239,5270,5104,5033,5324,7090,7858,6381,,282.0,16581.0,8829.0,16368.0,28.0,15995,23349,1096.0,11545.0,9268.0,7123.0,6865.0,3449.0
16,전통시장,2130298,강남터미널지하도상점가2구역,4033,2659,1374,534,534,545,496,550,741,633,,106.0,1621.0,974.0,1332.0,,1909,2124,160.0,595.0,509.0,1030.0,1217.0,522.0
17,전통시장,2130295,인헌시장(원당종합시장),6578,4084,2452,251,865,921,934,1113,1198,1254,28.0,42.0,585.0,1547.0,4111.0,251.0,3297,3239,14.0,1029.0,1351.0,1197.0,1495.0,1464.0
18,전통시장,2130285,서원동상점가,17409,10419,6990,1718,2060,1813,2163,2665,4175,2815,1574.0,82.0,2369.0,2149.0,6992.0,4243.0,8652,8273,684.0,8570.0,3994.0,1620.0,1560.0,497.0
19,전통시장,2130284,관악종합시장(신원시장),2035,1501,534,247,201,343,353,357,333,201,,23.0,60.0,475.0,1249.0,228.0,1202,833,5.0,542.0,609.0,359.0,360.0,160.0
20,전통시장,2130283,신원시장,3454,2601,853,546,365,485,511,694,628,225,,565.0,1230.0,1274.0,385.0,,1222,2232,,60.0,258.0,540.0,605.0,1991.0
21,전통시장,2130274,사당1동먹자골목상점가(사당1동먹자골목),4776,4033,743,674,642,892,882,943,647,96,,,1542.0,386.0,1991.0,857.0,2693,1547,37.0,1368.0,1593.0,548.0,498.0,197.0
22,전통시장,2130273,남성사계시장(남성시장),27182,18982,8200,3633,3765,3852,3384,4348,4815,3385,205.0,30.0,9002.0,4873.0,11233.0,1839.0,14203,12177,2721.0,7068.0,6087.0,5488.0,3942.0,1075.0
23,전통시장,2130271,남성역골목시장,1677,1267,410,251,256,231,207,322,309,101,,,599.0,202.0,728.0,47.0,631,824,20.0,405.0,323.0,279.0,246.0,183.0
24,전통시장,2130268,상도전통시장,1403,1084,319,217,197,207,288,175,319,319,,5.0,446.0,133.0,734.0,85.0,542,765,16.0,346.0,202.0,394.0,265.0,85.0
25,전통시장,2130261,성대전통시장(성대시장),557,327,230,18,80,75,75,79,103,127,,,131.0,70.0,263.0,93.0,281,262,5.0,158.0,128.0,85.0,114.0,53.0
26,전통시장,2130241,선유도역 골목형상점가,9919,9413,506,1741,1915,1884,1921,1952,474,32,,,6788.0,384.0,2385.0,330.0,3731,3778,81.0,2299.0,2505.0,1449.0,814.0,360.0
27,전통시장,2130235,대명여울빛거리시장(대명시장),638,431,203,37,141,59,71,123,146,57,20.0,,128.0,28.0,325.0,133.0,352,175,4.0,35.0,112.0,145.0,151.0,82.0
28,전통시장,2130216,화곡중앙시장,1210,671,539,204,86,46,125,210,297,242,487.0,,,,237.0,486.0,875,335,7.0,227.0,815.0,114.0,34.0,13.0
29,전통시장,2130208,목동깨비시장(목3동시장),8235,5035,2593,816,900,970,1090,1259,1443,1150,1063.0,,36.0,571.0,2567.0,3998.0,4065,3495,71.0,2440.0,3123.0,1046.0,635.0,246.0
30,전통시장,2130206,신정3동 골목시장,2787,1730,1057,347,326,88,370,599,539,518,83.0,22.0,788.0,529.0,1183.0,182.0,1223,1477,133.0,627.0,496.0,789.0,389.0,267.0
31,전통시장,2130202,신영시장,445,315,130,62,61,67,49,76,96,34,91.0,,,,57.0,297.0,244,177,5.0,95.0,143.0,148.0,20.0,10.0
32,전통시장,2130196,공덕시장,2034,1617,417,252,324,374,352,315,345,72,280.0,14.0,431.0,86.0,691.0,532.0,1143,295,7.0,136.0,295.0,474.0,323.0,200.0
33,전통시장,2130195,도화동 상점가,31241,25057,6184,4541,4808,5007,5215,5486,4271,1913,991.0,152.0,12825.0,2805.0,10374.0,4094.0,15407,11473,553.0,6234.0,8475.0,5168.0,3970.0,2483.0
