,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,3346059700,2158190650,1187869050,396706558,410802286,427994605,447001350,475685851,630089443,557779607,,137810474,963102174,892696238,1272127487,80323327.0,1249628961,1664973153,56189204.0,872637951.0,893563248.0,587481404.0,375745177.0,128985135.0,16.0
1,관광특구,1001495,잠실 관광특구,2562764665,1496405070,1066359595,293312518,296349128,280226612,255115160,371401652,609844033,456515562,,168377457,733910392,792873123,860582661,7021032.0,1058990483,1205298196,2482772.0,266365337.0,802788411.0,576411760.0,301759081.0,314481319.0,39.0
2,관광특구,1001494,종로?청계 관광특구,401062203,300553404,100508799,52687914,53130137,66892146,61317888,66525319,62480763,38028036,66528.0,27910142,67262333,99473869,162035594,44313737.0,170238113,195845627,5281803.0,106709470.0,84586851.0,62270792.0,61354942.0,45879883.0,19.0
3,관광특구,1001493,동대문패션타운 관광특구,630673095,370556964,260116131,63814857,72435010,72423543,76791214,85092340,147098236,113017895,,10390358,195916128,189735414,219160686,15470509.0,254204494,363202852,9231608.0,212917531.0,188983840.0,116681760.0,64679987.0,24912618.0,24.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,4576832570,3519573662,1057258908,645783324,642295161,751664020,782134403,697696754,588111910,469146998,,689457783,1407866790,1208726222,1174448937,96332838.0,1573719759,2358358242,37036044.0,973331341.0,1152580538.0,839930417.0,585747988.0,343451674.0,69.0
5,관광특구,1001491,이태원 관광특구,754042317,473450307,280592010,86747022,86732497,98300813,96453762,105216213,148892506,131699504,1852097.0,53928546,164603241,227094921,263084150,43479362.0,300629016,398877388,5714146.0,228168264.0,217144324.0,109184596.0,86882793.0,52412281.0,20.0
6,전통시장,2130326,고덕 골목형상점가,506386586,357030858,149355728,67966479,72453616,72526764,71543504,72540495,80646455,68709273,,76056035,116620461,122107869,160577820,31024401.0,199617949,298205799,4770997.0,54409607.0,122047171.0,158730757.0,88298907.0,69566308.0,2.0
7,전통시장,2130325,명일전통시장,22507392,14226642,8280750,2507809,4354600,835937,3174724,3353572,4081414,4199336,,2439021,6933162,7530634,5579680,24895.0,7782856,10700773,193261.0,781561.0,1134018.0,4671680.0,4705090.0,6998019.0,1.0
8,전통시장,2130324,길동복조리시장,42974590,29904516,13070074,6280902,6329759,5551984,5836460,5905411,5793906,7276168,,2581548,8820685,14108290,14592527,2871540.0,20541381,22433209,260369.0,2583164.0,4993777.0,12844099.0,11807103.0,10486078.0,3.0
9,전통시장,2130323,둔촌역전통시장,141871572,77504336,64367236,14559778,8855423,13078716,13641896,27368523,38973419,25393817,,9818036,34438779,36155725,56292132,5166900.0,69414954,69279585,227717.0,10154787.0,16368223.0,35396454.0,42148418.0,34398941.0,3.0
10,전통시장,2130322,고분다리전통시장,125907951,86975628,38932323,14631153,18076179,15225610,20016392,19026294,21096516,17835807,,16108836,31787464,28759107,37779263,11473281.0,48660450,66341951,262999.0,14942663.0,22336952.0,24026762.0,31152039.0,22280986.0,3.0
11,전통시장,2130319,성내전통시장,75724010,50599174,25124836,7391130,14598883,8332713,12001921,8274527,11697279,13427557,,3749190,14606967,16786867,25800055,14780931.0,35503369,32737598,12999.0,9405530.0,6902261.0,20396009.0,22830767.0,8693402.0,3.0
12,전통시장,2130318,로데오거리상점가,223365024,161087344,62277680,34258319,28430834,35315991,32625560,30456640,36596856,25680824,,29458809,39452970,49194995,85990363,19267887.0,86842426,136111903,2396257.0,55798379.0,57939791.0,39994573.0,36290933.0,30534397.0,7.0
13,전통시장,2130317,마천중앙시장,146682220,87760810,58921410,21689669,14947846,17201712,15403321,18518262,28133555,30787855,,3074841,21376241,36011539,62774384,23445215.0,66752374,73688759,4458936.0,27258884.0,32529762.0,40750315.0,21758696.0,13684539.0,3.0
14,전통시장,2130316,마천시장,10543794,6016396,4527398,2053789,785273,1253416,1603768,320150,3168273,1359125,,211419,2950814,2817920,4563641,,7001007,3316266,,395657.0,887962.0,2703149.0,3527686.0,2802820.0,1.0
15,전통시장,2130314,풍납시장,194020672,134652205,59368467,28585324,24847234,24131077,24644782,32443788,32896400,26472067,,36105598,33745496,39792213,59337916,25039449.0,75630259,109632301,1011095.0,19863512.0,39805550.0,38586174.0,44503667.0,41492562.0,4.0
16,전통시장,2130313,방이시장,387742633,280920834,106821799,58167119,51627131,59807240,55329433,55989911,59025827,47795972,772649.0,62706164,93450020,83451312,113171591,34190897.0,147588757,204967435,1821178.0,45978527.0,89998471.0,75964571.0,78506778.0,60286666.0,6.0
17,전통시장,2130311,새마을시장,152362420,106364865,45997555,19321967,19557954,22175009,19857849,25452086,23434073,22563482,67005.0,13090888,39612709,50742821,41388488,7460509.0,64984227,78632515,793227.0,16146549.0,19671250.0,31921766.0,38224229.0,36859720.0,7.0
18,전통시장,2130310,강남개포시장,692185779,464637114,227548665,105317307,77780850,93598041,91307458,96633458,129254382,98294283,,90740730,144031956,178645128,226554389,52213576.0,297051661,339880479,12086620.0,61737075.0,96454500.0,169744027.0,182594910.0,114315009.0,4.0
19,전통시장,2130301,양재시장,407150117,346459413,60690704,69951046,61080117,69414629,73677963,72335658,29636762,31053942,,88875912,104437003,84496106,101698747,27642349.0,129270592,113531323,1144265.0,39047751.0,62160517.0,52859275.0,38884725.0,48705382.0,2.0
20,전통시장,2130299,엔터식스 강남점,696510524,481940471,214570053,89107966,94517198,96626226,88642743,113046338,117019068,97550985,3592975.0,171202801,149158340,138602213,194212208,39741987.0,225625620,407240173,4976008.0,154114155.0,155377352.0,113503744.0,120921621.0,83972913.0,6.0
21,전통시장,2130295,인헌시장(원당종합시장),130477219,87483172,42994047,19738092,16248140,16409515,17536458,17550967,23310714,19683333,34277.0,13065382,28046199,36359774,42943687,10027900.0,59600400,70876819,265986.0,16142109.0,26801195.0,28218236.0,32034251.0,27015442.0,2.0
