,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001496,강남 마이스 관광특구,268493,179715,88778,32365,32230,35837,37658,41625,47437,41341,172.0,26846,70453,69820,89284,11918.0,101873,145541,6831.0,69501.0,75761.0,53747.0,29364.0,12209.0
1,관광특구,1001495,잠실 관광특구,81588,49368,32220,9835,9219,9388,8947,11979,18231,13989,,5219,24840,27060,23581,888.0,35279,42234,141.0,9838.0,21264.0,20250.0,12602.0,13420.0
2,관광특구,1001494,종로?청계 관광특구,51203,36341,14862,5955,6851,7908,7440,8187,9349,5513,,4619,9934,10476,19058,7116.0,20953,28206,845.0,15335.0,11687.0,7987.0,8003.0,5299.0
3,관광특구,1001493,동대문패션타운 관광특구,38870,23961,14909,4286,4015,4769,4990,5901,9033,5876,1.0,998,10655,11861,12366,2989.0,15134,22020,826.0,11385.0,11028.0,7225.0,4713.0,1980.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,553185,435526,117659,78032,85036,93217,88561,90680,69814,47845,32.0,129300,162050,123101,122954,15748.0,198044,320106,8571.0,126635.0,147459.0,115151.0,79455.0,40883.0
5,관광특구,1001491,이태원 관광특구,67281,43759,23522,8688,8193,8555,8201,10122,13486,10036,1592.0,10725,14564,15929,19052,5419.0,27139,35693,639.0,19128.0,18431.0,10125.0,8753.0,5758.0
6,전통시장,2130326,고덕 골목형상점가,49990,35541,14449,7861,6999,6914,6999,6768,8604,5845,,7947,10741,12029,15798,3475.0,18472,31154,565.0,5292.0,12552.0,15072.0,8783.0,7361.0
7,전통시장,2130325,명일전통시장,3348,2057,1291,459,590,59,412,537,616,675,,294,1116,1041,897,,1585,1533,20.0,130.0,242.0,707.0,760.0,1258.0
8,전통시장,2130324,길동복조리시장,6682,4751,1931,1119,1040,851,709,1032,977,954,,519,1308,1749,2547,559.0,3813,2687,56.0,601.0,1215.0,1446.0,1714.0,1469.0
9,전통시장,2130323,둔촌역전통시장,19072,11713,7359,2695,2674,1475,1871,2998,3377,3982,,1382,4425,5305,7471,489.0,9500,9290,,1529.0,3384.0,3419.0,5437.0,5022.0
10,전통시장,2130322,고분다리전통시장,13709,9418,4291,1806,2013,2135,1536,1928,2334,1957,,2041,3292,2698,4289,1389.0,5629,7936,105.0,1675.0,2785.0,2815.0,3310.0,2874.0
11,전통시장,2130319,성내전통시장,6176,3998,2178,746,751,951,959,591,1215,963,,402,1101,1204,2540,929.0,4337,1541,,545.0,1154.0,1457.0,1262.0,1462.0
12,전통시장,2130318,로데오거리상점가,29113,21618,7495,3737,4044,4600,4482,4755,4698,2797,,4293,5277,6703,10848,1992.0,10996,17951,520.0,7563.0,6807.0,5668.0,4746.0,3643.0
13,전통시장,2130317,마천중앙시장,11535,6315,5220,1482,792,1351,1329,1361,2901,2319,,286,1780,3242,4964,1263.0,4904,6499,447.0,2232.0,2740.0,3423.0,1892.0,670.0
14,전통시장,2130316,마천시장,2356,1419,937,393,180,272,211,363,545,392,,90,423,726,1117,,1239,1117,,272.0,333.0,514.0,633.0,604.0
15,전통시장,2130314,풍납시장,18609,13223,5386,2483,2828,2575,2441,2896,2981,2405,,3889,2896,3580,6172,2072.0,7572,10656,152.0,2527.0,3441.0,4083.0,4556.0,3468.0
16,전통시장,2130313,방이시장,45595,32634,12961,6612,6527,6638,5997,6860,7262,5699,115.0,7051,9066,9891,14262,5210.0,20649,22517,284.0,6259.0,11202.0,8954.0,8034.0,8430.0
17,전통시장,2130311,새마을시장,28271,19632,8639,3946,3962,3811,3839,4074,4470,4169,85.0,3273,8105,8676,6615,1517.0,13380,13903,138.0,2402.0,3801.0,5638.0,6684.0,8617.0
18,전통시장,2130310,강남개포시장,67285,44780,22505,8308,8330,9748,8856,9538,12311,10194,,9543,14242,15889,21739,5872.0,28700,35848,1480.0,7150.0,8919.0,17784.0,17015.0,12200.0
19,전통시장,2130301,양재시장,34819,27340,7479,5337,5938,5252,5071,5742,4034,3445,,10154,10113,5267,7787,1498.0,14678,11527,42.0,3838.0,6149.0,5505.0,5015.0,5659.0
20,전통시장,2130299,엔터식스 강남점,116382,77830,38552,14794,14090,14596,14726,19624,22119,16433,875.0,30022,23893,22471,31647,7474.0,38611,71214,1575.0,28158.0,26059.0,20079.0,19889.0,14063.0
21,전통시장,2130295,인헌시장(원당종합시장),22583,15248,7335,2927,3044,3037,2857,3383,3771,3564,20.0,2827,4151,5475,8162,1948.0,9948,12635,102.0,3655.0,5139.0,4521.0,5364.0,3802.0
22,전통시장,2130294,관악중부시장,19863,14720,5143,2926,3044,2656,3024,3070,3136,2007,,2768,4933,5267,5445,1450.0,7457,12406,299.0,2039.0,3276.0,4294.0,4395.0,5560.0
23,전통시장,2130290,영림시장,5721,3347,2374,583,571,485,772,936,1431,943,,58,533,933,2761,1436.0,2407,3314,165.0,2219.0,1749.0,912.0,497.0,179.0
24,전통시장,2130289,봉일시장,3580,2290,1290,469,432,488,469,432,645,645,,294,598,809,1068,166.0,1487,1338,9.0,304.0,592.0,461.0,646.0,812.0
25,전통시장,2130279,관악신사시장,9789,6601,3188,1622,691,1397,1340,1551,1736,1452,,974,2243,3159,3271,142.0,4880,4909,14.0,947.0,1289.0,2530.0,2377.0,2632.0
26,전통시장,2130276,신림중앙시장(조원동 펭귄시장),1501,997,504,205,211,228,165,188,252,252,,188,385,330,346,,605,573,16.0,189.0,189.0,252.0,118.0,417.0
27,전통시장,2130274,사당1동먹자골목상점가(사당1동먹자골목),28187,19697,8490,3474,3898,4098,4026,4201,5143,3347,,4266,5184,5782,9553,3402.0,11869,15384,272.0,6230.0,5799.0,4273.0,5200.0,5479.0
28,전통시장,2130273,남성사계시장(남성시장),54446,35105,19341,6868,6421,6737,7098,7981,11952,7389,,1067,7694,12535,24003,9147.0,23709,30589,2931.0,13926.0,11183.0,11270.0,8815.0,6172.0
29,전통시장,2130271,남성역골목시장,112775,72645,40130,14010,14147,14927,14148,15413,22954,17176,,8436,18420,27222,44380,14317.0,46649,65986,2225.0,23509.0,29136.0,29778.0,18965.0,9022.0
30,전통시장,2130268,상도전통시장,37506,25540,11966,4839,4954,6195,4299,5253,6851,5115,22.0,5311,7908,9001,11367,3897.0,15235,21995,359.0,5477.0,7599.0,9873.0,8136.0,5787.0
31,전통시장,2130261,성대전통시장(성대시장),47963,33737,14226,6844,7212,6451,6403,6827,7723,6503,109.0,4660,8524,11636,16494,6540.0,20844,26391,462.0,7739.0,10493.0,8950.0,10537.0,9053.0
32,전통시장,2130260,신대방1동골목상권,19630,12652,6978,2545,2288,2568,2357,2894,4550,2428,,1354,4248,3898,7585,2545.0,8289,11060,165.0,4741.0,5154.0,4549.0,3088.0,1653.0
33,전통시장,2130244,대림중앙시장,3894,2166,1728,469,427,417,354,499,811,917,,542,1354,1321,677,,1778,2116,10.0,189.0,790.0,927.0,1189.0,789.0
34,전통시장,2130238,은행나무시장,27630,18915,8715,3508,3904,3595,3650,4258,5263,3452,,3324,5787,6649,9295,2575.0,10119,17326,229.0,2672.0,3836.0,6480.0,8310.0,5919.0
35,전통시장,2130236,비단길현대시장(현대시장),18822,12508,6314,2449,2568,2474,2517,2500,3593,2721,,3146,3809,4506,5992,1369.0,7198,11497,121.0,2085.0,3606.0,5365.0,4300.0,3218.0
36,전통시장,2130229,남구로시장,4705,2918,1787,613,465,491,736,613,1051,736,,417,1348,1592,1225,123.0,2130,2428,25.0,149.0,248.0,845.0,1340.0,1952.0
37,전통시장,2130227,고척골목시장상점가(그라운드 고척),14349,9900,4449,1880,2013,1868,2013,2126,2396,2053,46.0,2541,2600,3129,4436,1597.0,5722,7848,92.0,1083.0,3083.0,3103.0,3591.0,2620.0
38,전통시장,2130225,개봉중앙시장,27117,18186,8931,3715,3604,3392,3508,3967,5397,3534,66.0,3627,4758,5785,9129,3752.0,11428,15689,221.0,3197.0,5924.0,6824.0,6773.0,4178.0
39,전통시장,2130223,고척근린시장,20345,14140,6205,3023,2520,2890,2723,2984,3700,2505,,2483,4232,5936,6426,1268.0,7971,11507,721.0,1557.0,3078.0,4923.0,5129.0,4071.0
40,전통시장,2130222,오류시장,96598,66620,29978,12486,13359,12765,13381,14629,17807,12171,,11436,16621,21779,35149,11613.0,39506,55090,1234.0,15804.0,23119.0,19264.0,18833.0,16340.0
41,전통시장,2130221,"남부골목시장(남부화곡시장, 남부시장)",5079,3396,1683,934,714,513,659,576,878,805,,394,1153,1373,1958,201.0,2497,2436,18.0,267.0,965.0,1193.0,1268.0,1222.0
42,전통시장,2130219,까치산시장,100600,76899,23701,15115,15087,16267,15093,15337,12265,11436,218.0,13354,11988,16730,38626,19684.0,41170,59430,902.0,22543.0,24426.0,17224.0,19430.0,16075.0
43,전통시장,2130217,화곡본동시장,63316,44798,18518,8607,9526,9313,8271,9081,10542,7976,,10853,9791,13558,21722,7392.0,26720,35963,487.0,11050.0,15851.0,16102.0,10162.0,9033.0
44,전통시장,2130216,화곡중앙시장,15665,10620,5045,2079,1941,1750,2154,2696,3546,1499,14.0,1041,2269,3108,6577,2656.0,6842,8751,48.0,1881.0,4106.0,4411.0,2564.0,2583.0
45,전통시장,2130214,송화벽화시장(송화골목시장),73112,47035,26077,7456,9691,9650,9374,10864,14652,11425,,9169,14019,16987,25291,7646.0,29901,41284,1789.0,9238.0,12835.0,19061.0,15970.0,12292.0
46,전통시장,2130210,목2동시장,7114,5412,1702,1220,1149,1045,987,1011,851,851,27.0,419,1005,1370,2483,959.0,3323,2929,18.0,869.0,1563.0,1145.0,1646.0,1011.0
47,전통시장,2130209,목사랑시장(목4동시장),19037,11667,7370,1907,2097,1673,2633,3357,4485,2885,,1297,4384,6856,6115,385.0,8949,10059,206.0,801.0,2557.0,5018.0,5999.0,4427.0
48,전통시장,2130208,목동깨비시장(목3동시장),7784,5358,2426,1089,1147,922,976,1224,1239,1187,7.0,652,1574,2108,2591,852.0,3767,3798,14.0,577.0,1269.0,1724.0,1949.0,2032.0
49,전통시장,2130207,신정1동 골목시장(신정제일시장),4821,3350,1471,680,671,757,604,638,910,561,,485,928,1292,1775,341.0,2193,2552,26.0,456.0,863.0,891.0,1371.0,1140.0
50,전통시장,2130206,신정3동 골목시장,47219,33701,13518,7314,6755,6777,6241,6614,7523,5995,58.0,6754,8095,9577,17066,5669.0,19329,27505,271.0,5478.0,7423.0,12289.0,11614.0,9760.0
51,전통시장,2130204,경창시장,10096,8308,1788,1763,1686,1373,1648,1838,1598,190,,1691,2695,2940,2656,114.0,3737,6327,5.0,487.0,1842.0,3989.0,2554.0,1188.0
52,전통시장,2130202,신영시장,1801,1204,597,253,318,252,114,267,394,203,,76,609,786,330,,672,901,,50.0,140.0,342.0,419.0,621.0
53,전통시장,2130200,"신월7동 골목시장(약수시장, 우성상가)",5521,4111,1410,902,999,10,1080,1120,1321,89,,734,1060,1328,1972,427.0,2447,2676,,684.0,1021.0,1140.0,892.0,1388.0
54,전통시장,2130198,아현시장,5947,4053,1894,715,863,782,802,891,947,947,,496,2659,1262,583,,1595,3313,,854.0,1060.0,1517.0,1029.0,448.0
55,전통시장,2130195,도화동 상점가,50563,36890,13673,6839,7746,7706,7117,7482,7798,5875,,7485,11215,9371,16312,6180.0,20321,27355,396.0,7872.0,12623.0,11027.0,8685.0,7072.0
56,전통시장,2130192,동진시장,5481,3236,2245,681,676,681,522,676,1111,1134,,143,1273,1352,1179,177.0,1029,3079,40.0,1594.0,1000.0,621.0,623.0,230.0
57,전통시장,2130191,홍대 걷고싶은 거리,13386,7249,6137,1393,1131,1358,1423,1944,3520,2617,,157,2587,4912,5489,241.0,3911,9428,1091.0,6914.0,2367.0,1695.0,1102.0,170.0
58,전통시장,2130185,망원월드컵시장,23740,16325,7415,3169,3072,3314,3088,3682,4343,3072,,4423,5066,6080,7769,402.0,9449,13777,112.0,3701.0,4316.0,6721.0,4678.0,3697.0
59,전통시장,2130184,마포농수산물시장,12930,8164,4766,1384,1629,1607,1607,1937,2352,2414,,3183,3841,3619,2107,180.0,6434,6102,,312.0,1426.0,2978.0,3294.0,4525.0
