,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,7696882730,5248574057,2448308673,907707910,1040021454,1068154002,1098822457,1133868234,1258545021,1189763652,,15933596.0,2729104014,1521744587,3252140285,177960248.0,2677133050,3409554372,31765780.0,1390679290.0,1993595717.0,1356892306.0,868827458.0,444926872.0,13.0
1,관광특구,1001495,잠실 관광특구,877224869,580895314,296329555,108474642,109175020,108411848,122378123,132455681,171735635,124593920,1715386.0,1317501.0,298071270,132289963,373018929,70811820.0,496631994,288108035,3232342.0,173594003.0,301376199.0,166610708.0,99147581.0,40779194.0,22.0
2,관광특구,1001494,종로?청계 관광특구,3294814240,2633603110,661211130,458228167,538432229,515759654,548376693,572806367,409532856,251678274,56471033.0,13145582.0,957038768,285843046,1355280634,627035177.0,1704722483,907413691,20267206.0,596753498.0,805016304.0,527406639.0,381857441.0,280835089.0,43.0
3,관광특구,1001493,동대문패션타운 관광특구,836830280,676280081,160550199,110733280,128602702,149399300,145572780,141972019,121411082,39139117,109870457.0,99584752.0,265966011,84310024,199060554,78038482.0,424197183,330582679,9143862.0,211753070.0,229398727.0,150153058.0,104435076.0,49896069.0,27.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,6510956850,5489222589,1021734261,938842497,1170979666,1113879364,1140136126,1125384936,631152124,390582137,23089523.0,15339738.0,2830868449,600019807,2277447195,764192138.0,2560216937,1394369861,12222011.0,564243340.0,1182501714.0,945907265.0,748538093.0,501174367.0,78.0
5,관광특구,1001491,이태원 관광특구,2039969281,1246763214,793206067,162740430,280669916,225119254,278095804,300137810,538384819,254821248,68626056.0,,362492254,131331539,1011564476,465954956.0,969703754,845121156,18749767.0,741801520.0,615877343.0,202278677.0,123037689.0,113079913.0,15.0
6,전통시장,2130321,장신구 특화거리 상점가,46261113,28054976,18206137,6517530,5339384,3470598,5821088,6906376,8049701,10156436,,34822.0,22483447,8624265,14503389,615190.0,23174084,15797610,191522.0,3998734.0,7231382.0,14741341.0,10394386.0,2414330.0,2.0
7,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),36932610,27493546,9439064,4072744,4638683,5045453,7240993,6495673,4719532,4719532,,,15280368,5320843,11258155,353712.0,16834176,12463303,65689.0,3557334.0,8069692.0,6402191.0,6124275.0,5078297.0,1.0
8,전통시장,2130314,풍납시장,21920046,13296910,8623136,2162219,2750578,2625551,2625551,3133011,4905444,3717692,,,7854592,2897667,8225993,316243.0,13778630,3805947,58836.0,1106851.0,2985922.0,5184913.0,4357532.0,3890523.0,4.0
9,전통시장,2130313,방이시장,224434113,163878919,60555194,29165293,32007754,33692000,34343561,34670311,46761976,13793218,,4623569.0,93350764,31874213,79132773,15452794.0,105688462,79258048,1656349.0,19501000.0,43567452.0,50538839.0,38971006.0,30711863.0,2.0
10,전통시장,2130312,석촌시장,377469289,234651454,142817835,45667505,23855727,55189895,49483454,60454873,73222459,69595376,24325563.0,30475567.0,115520232,51352446,138722587,17072894.0,191407488,105761027,1994625.0,24378995.0,54611804.0,84874016.0,85645677.0,45663398.0,3.0
11,전통시장,2130311,새마을시장,176726535,125748142,50978393,27223798,19250013,25889400,27316865,26068066,31395461,19582932,1615143.0,189907.0,43968976,17595128,82836469,30520912.0,93159512,65718979,768005.0,31454665.0,42945316.0,31128631.0,28642508.0,23939369.0,5.0
12,전통시장,2130310,강남개포시장,71643107,45521314,26121793,384404,12027809,10716031,11162900,11230170,10695039,15426754,,308535.0,37384082,10955524,22696547,298419.0,46557942,17689680,2741410.0,8577780.0,10760794.0,15780810.0,16645214.0,9741616.0,2.0
13,전통시장,2130306,강남언주로,120087152,106262054,13825098,19630599,21151157,22072548,26289178,17118572,6912549,6912549,,55352.0,68130713,7427002,22990807,14570729.0,59990627,11627279,338627.0,9732270.0,16937863.0,23013613.0,12779835.0,8815699.0,3.0
14,전통시장,2130303,영동전통시장,199451467,145199462,54252005,15570575,26967586,31582820,29084229,41994252,35248118,19003887,34587850.0,,2814381,2059006,74969593,85020637.0,121001399,56733427,230377.0,49094385.0,81568026.0,27504712.0,13366648.0,5970677.0,4.0
