기준분기코드,상권코드,상권코드명,총직장인구수
1,1001496,강남 마이스 관광특구,15904
1,1001495,잠실 관광특구,24375
1,1001494,종로?청계 관광특구,32935
1,1001493,동대문패션타운 관광특구,6054
1,1001492,명동 남대문 북창동 다동 무교동 관광특구,104830
1,1001491,이태원 관광특구,5839
1,2130326,고덕 골목형상점가,935
1,2130325,명일전통시장,89
1,2130324,길동복조리시장,154
1,2130323,둔촌역전통시장,171
1,2130322,고분다리전통시장,8
1,2130321,장신구 특화거리 상점가,433
1,2130320,암사종합시장,173
1,2130319,성내전통시장,34
1,2130318,로데오거리상점가,266
1,2130317,마천중앙시장,107
1,2130316,마천시장,18
1,2130315,문정동 로데오거리 상점가(문정동 로데오거리),1372
1,2130314,풍납시장,202
1,2130313,방이시장,3469
1,2130312,석촌시장,619
1,2130311,새마을시장,377
1,2130310,강남개포시장,298
1,2130308,청담삼익시장,48
1,2130307,도곡시장,57
1,2130306,강남언주로,235
1,2130305,논현종합시장,85
1,2130304,신사상가,138
1,2130303,영동전통시장,242
1,2130302,강남시장(강남구 강남시장),58
1,2130301,양재시장,35
1,2130299,엔터식스 강남점,1850
1,2130298,강남터미널지하도상점가2구역,2
1,2130296,남부종합시장,85
1,2130295,인헌시장(원당종합시장),122
1,2130294,관악중부시장,102
1,2130293,봉천중앙시장,154
1,2130290,영림시장,417
1,2130289,봉일시장,36
1,2130288,신림현대종합상가,2
1,2130285,서원동상점가,615
1,2130284,관악종합시장(신원시장),17
1,2130283,신원시장,25
1,2130282,난곡 골목형상점가,20
1,2130281,우림시장,1
1,2130280,신림종합시장,8
1,2130279,관악신사시장,120
1,2130278,미성동 도깨비시장 골목형상점가,75
1,2130277,조원동 펭귄시장(신림중앙시장),98
1,2130276,신림중앙시장(조원동 펭귄시장),43
1,2130275,강남골목시장,168
1,2130274,사당1동먹자골목상점가(사당1동먹자골목),389
1,2130273,남성사계시장(남성시장),141
1,2130272,사당시장,45
1,2130271,남성역골목시장,467
1,2130270,흑석시장,4
1,2130268,상도전통시장,239
1,2130267,본동인정시장(기능상실),59
1,2130266,만양로상점가,129
1,2130265,노량진중앙시장,115
1,2130264,상도약수골목형상점가,65
1,2130263,신노량진시장(기능상실),11
1,2130262,상도도깨비 골목형상점가,18
1,2130261,성대전통시장(성대시장),211
1,2130260,신대방1동골목상권,70
1,2130259,대신시장,12
1,2130257,영등포시장기계공구상가,158
1,2130256,신동시장,2
1,2130255,영등포전통시장,45
1,2130253,영신상가(제일상가),9
1,2130250,삼구시장(로타리상가),1
1,2130249,동남상가,10
1,2130248,영등포역지하도상점가,12
1,2130247,우리시장,21
1,2130246,영등포청과시장(조광시장),237
1,2130245,영일시장,675
1,2130244,대림중앙시장,95
1,2130243,도림시장,6
1,2130242,대림중앙 골목형상점가,68
1,2130241,선유도역 골목형상점가,500
1,2130240,영등포유통상가,1183
1,2130238,은행나무시장,113
1,2130237,박미시장(기능상실),39
1,2130236,비단길현대시장(현대시장),139
1,2130235,대명여울빛거리시장(대명시장),298
1,2130234,푸른터시장(기능상실),3
1,2130233,남문시장,76
1,2130232,독산동 맛나는거리상점가(독산동 맛나는거리),33
1,2130231,독산동 우시장,611
1,2130229,남구로시장,249
1,2130228,구로시장,10
1,2130227,고척골목시장상점가(그라운드 고척),97
1,2130226,고척프라자,2
1,2130225,개봉중앙시장,147
1,2130224,개봉프라자(고척근린시장),5
1,2130223,고척근린시장,42
1,2130222,오류시장,132
1,2130221,"남부골목시장(남부화곡시장, 남부시장)",188
1,2130219,까치산시장,124
1,2130218,신월중앙시장,118
1,2130217,화곡본동시장,36
1,2130216,화곡중앙시장,75
1,2130215,대원종합시장,9
1,2130214,송화벽화시장(송화골목시장),119
1,2130213,방신전통시장,112
1,2130212,공항시장,8
1,2130211,신정2동 골목시장(오목교중앙시장),51
1,2130210,목2동시장,432
1,2130209,목사랑시장(목4동시장),111
1,2130208,목동깨비시장(목3동시장),148
1,2130207,신정1동 골목시장(신정제일시장),38
1,2130206,신정3동 골목시장,20
1,2130205,신곡종합시장(신월6동 골목시장),141
1,2130204,경창시장,100
1,2130203,서서울 골목형상점가,34
1,2130202,신영시장,40
1,2130201,월정로시장,27
1,2130200,"신월7동 골목시장(약수시장, 우성상가)",27
1,2130199,신월3동 골목시장,18
1,2130198,아현시장,203
1,2130197,마포시장,15
1,2130196,공덕시장,3948
1,2130195,도화동 상점가,1055
1,2130194,용강동 상점가,875
1,2130193,신수시장,34
1,2130192,동진시장,10
1,2130191,홍대 걷고싶은 거리,367
1,2130190,홍대소상공인상점가,150
1,2130189,서교시장,24
1,2130187,영진시장,29
1,2130186,망원시장,178
1,2130185,망원월드컵시장,190
1,2130184,마포농수산물시장,77
1,2130183,상암동상점가,816
1,2130182,영천시장,78
1,2130181,아현가구거리상점가,59
1,2130180,포방터시장,59
1,2130179,"이화여대 3,5,7길 상점가",147
1,2130178,이대 앞 스타트업 상점가,32
1,2130177,인왕시장(홍제골목형상점가),44
1,2130176,유진상가,38
1,2130175,신촌 상인회(신촌상점가),13
1,2130173,백련시장,5
1,2130172,모래내시장(서중시장),41
1,2130171,불광먹자골목 골목형상점가,155
1,2130170,제일시장,58
1,2130169,대조시장,67
1,2130168,연서시장,242
1,2130167,연신내상점가(연빛거리),636
1,2130166,응암시장(신응암시장),17
1,2130165,"대림골목시장(대림시장, 양지시장)",214
1,2130164,역촌중앙시장,9
1,2130163,응암오거리상점가,182
1,2130162,증산골목시장,7
1,2130161,증산종합시장,8
1,2130160,수일시장,7
1,2130159,공릉동 도깨비시장,101
1,2130157,상계중앙시장,74
1,2130155,시영B상가(중계 그린아파트 B 상가),12
1,2130153,창동역상점가,229
1,2130152,오!도봉거리 상점가,61
1,2130151,신도봉시장,5
1,2130150,창동골목시장,84
1,2130149,창동신창시장,104
1,2130148,방학동도깨비시장,60
1,2130147,쌍문역동측상점가,69
1,2130146,쌍문시장(쌍문역골목시장),263
1,2130145,쌍문역둘리상점가,244
1,2130144,백운시장,38
1,2130143,방천골목시장,65
1,2130142,강북북부시장,7
1,2130141,강북북부골목시장,43
1,2130140,숭인시장,62
1,2130139,강북종합전통시장(강북종합골목시장),166
1,2130138,수유프라자,142
1,2130137,"수유전통시장(수유시장, 수유골목시장)",89
1,2130136,수유재래시장,29
1,2130135,수유중앙골목시장(수유중앙시장),24
1,2130134,"솔샘시장(미아6,7동골목시장)",73
1,2130133,우이골목시장(우이시장),69
1,2130132,삼양골목시장(삼양시장),57
1,2130131,동북프라자,121
1,2130130,수유북부골목시장,20
1,2130129,장미원골목시장,911
1,2130128,돌곶이시장(석관황금시장),191
1,2130126,새석관시장,3
1,2130125,장위전통시장,40
1,2130123,꿈의숲 장곡 골목형상점가,6
1,2130122,밤나무골시장,17
1,2130121,길음시장,91
1,2130120,돈암시장(돈암제일시장),99
1,2130119,정릉아리랑시장,15
1,2130118,정릉골 골목형상점가,67
1,2130117,정릉시장,119
1,2130116,동성타워프라자,31
1,2130115,우림골목시장,307
1,2130114,유영시장,31
1,2130113,신아타운,148
1,2130112,사가정시장,86
1,2130111,"동원전통종합시장(동원시장, 동원전통시장 상점가)",224
1,2130110,면목골목시장(면목시장),103
1,2130109,묵1동도깨비시장,47
1,2130108,태능엔터피아(태릉시장),3
1,2130107,중랑동부시장(중랑교종합상가),13
1,2130106,중랑동부시장,166
1,2130105,장미제일시장(중화동제일시장),63
1,2130104,전곡시장,93
1,2130103,이경시장,16
1,2130101,답십리현대시장,8
