,기준분기코드,상권구분코드명,상권코드,상권코드명,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수
0,3,발달상권,2120110,목동역 8번출구,71,,6.0,,,,,,,
1,3,전통시장,2130104,전곡시장,6,,1.0,,,,,,,
2,3,골목상권,2110957,언북중학교,7,,,4.0,,,,,,
3,3,골목상권,2110435,서울과학기술대,2,,,,,,,,,
4,3,골목상권,2110055,황학동벼룩시장,5,,1.0,,,,,,,
5,3,골목상권,2110958,역삼역 4번,4,,,,,,,,,
6,3,골목상권,2111052,암사역 3번(천호동자전거거리),10,1.0,,,,,,,,
7,3,전통시장,2130277,조원동 펭귄시장(신림중앙시장),2,,,,,,,,,
8,3,골목상권,2110797,KT대방빌딩,8,,,,,,,,,
9,3,전통시장,2130296,남부종합시장,1,,,,,1.0,,,,
10,3,골목상권,2110367,강북구청,13,1.0,1.0,,,,,,,
11,3,전통시장,2130133,우이골목시장(우이시장),4,,,,,,,,,
12,3,골목상권,2110332,돌곶이역 3번,2,,,,,,,,,
13,3,골목상권,2110328,상월곡역 3번,5,2.0,,,,,,,,
14,3,전통시장,2130109,묵1동도깨비시장,3,,,,,,,,,
15,3,골목상권,2110233,중랑역 1번,13,,,,,1.0,,,,
16,3,골목상권,2110047,다산성곽길,4,1.0,,,,,,,,
17,3,전통시장,2130008,종오지하쇼핑센터,2,,,,,,,,,
18,3,골목상권,2110008,배화여자대학교(박노수미술관),11,,,1.0,,,,,,
19,3,전통시장,2130017,동대문상가C동,1,,,,,,,,,
20,3,발달상권,2120082,상계백병원,24,1.0,1.0,,,,,,,
21,3,골목상권,2110751,난곡중학교,3,,,,,,,,,
22,3,골목상권,2110133,서울교통공사,2,1.0,,,,,,,,
23,3,골목상권,2110160,광진경찰서,2,1.0,,,,,,,,
24,3,골목상권,2110524,연희세브란스병원,4,,,,,,,,,
25,3,골목상권,2110217,자동차부품상가,1,,,,,,,,,
26,3,전통시장,2130090,청량리종합시장,9,,,,,,,,,
27,3,골목상권,2110417,월계역 3번,3,,,,,,,,,
