,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,13829363887,8557116053,5272247834,948371890,1069228271,2028391117,2300950478,2210174297,2902906269,2369341565,,85122069.0,3628505996,2975699504,5683538936,1456497382.0,5378149072,5753134642,120350230.0,2635650032.0,4100572586.0,2388089199.0,1323788650.0,562833016.0,30.0
1,관광특구,1001495,잠실 관광특구,4911903317,3105717214,1806186103,608827302,621841397,548681539,570060111,756306865,1023044464,783141639,470688232.0,311479233.0,1202971625,848097231,1266004814,812662182.0,2144771434,2170778542,44717407.0,1200246315.0,1414745210.0,876273640.0,500891112.0,278676286.0,90.0
2,관광특구,1001494,종로?청계 관광특구,6099348560,4193320231,1906028329,766200404,746785757,817422470,844849476,1018062124,1138553611,767474718,48262115.0,294780621.0,2055493779,1418810459,1849837727,432163859.0,2939110632,2393479579,32068853.0,1033065841.0,1267386888.0,1378774951.0,990970165.0,630323516.0,138.0
3,관광특구,1001493,동대문패션타운 관광특구,4491585804,3171702975,1319882829,540068480,596289527,644688530,675870676,714785762,765517615,554365214,165370077.0,421993375.0,1247567161,914525027,1387386612,354743552.0,1792708522,2340563749,66984857.0,1151765675.0,1125377796.0,824433313.0,633086090.0,331624537.0,105.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,12411615689,10078610090,2333005599,1724134552,2077463780,2041929971,2095210134,2139871653,1391479888,941525711,328708696.0,858883730.0,5536924331,1513546627,3108903180,1064649125.0,4885807374,4772368898,56077405.0,1974914594.0,2903902922.0,2324062099.0,1563911821.0,835307422.0,232.0
5,관광특구,1001491,이태원 관광특구,1884370081,1150794998,733575083,191175725,184958352,241283514,215609337,317768070,456379072,277196011,133535926.0,47001962.0,317458966,275016411,590321633,521035183.0,694167642,921068638,10152997.0,638588154.0,586595069.0,192461677.0,141165016.0,46273367.0,94.0
6,전통시장,2130326,고덕 골목형상점가,596065479,407860605,188204874,72990136,68824506,84785234,89427764,91832965,114629533,73575341,,27169257.0,214427338,136693388,215081055,2694441.0,274844148,321221331,6385262.0,76004205.0,145375349.0,193789188.0,109851211.0,64660264.0,5.0
7,전통시장,2130325,명일전통시장,3000000,1995822,1004178,740571,345452,160628,288091,461080,430225,573953,,31531.0,1199610,876804,892055,,1062225,1558396,,193879.0,1059543.0,664177.0,294923.0,408101.0,3.0
8,전통시장,2130324,길동복조리시장,49182546,32922814,16259732,8594897,4510946,6637618,5968998,7210355,10108559,6151173,25569.0,2294786.0,21774886,9999893,14201459,885953.0,28448985,20733561,45264.0,4457486.0,7707169.0,14231076.0,13796239.0,8945312.0,13.0
9,전통시장,2130323,둔촌역전통시장,51079837,37605245,13474592,11622468,6640038,6522398,6531385,6288956,9157072,4317520,,,3111130,7873472,30126260,9968975.0,31298259,16889615,,1567057.0,6407365.0,9624824.0,14054006.0,16534624.0,10.0
