,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001496,강남 마이스 관광특구,313683,234737,78946,39559,45059,49257,50868,49994,42789,36157,,8065.0,135487,62681,101168,6282.0,105131,158597,4268.0,70336.0,88489.0,52854.0,33738.0,14042.0
1,관광특구,1001495,잠실 관광특구,291067,191881,99186,39343,37164,36836,36237,42301,57767,41419,9297.0,29287.0,88822,74578,74321,14762.0,122750,150241,2776.0,61875.0,89262.0,61668.0,37321.0,20085.0
2,관광특구,1001494,종로?청계 관광특구,381019,280949,100070,51204,54215,56948,56412,62170,61313,38757,2559.0,35719.0,149329,87585,89599,16228.0,176670,165929,2464.0,70273.0,87532.0,81410.0,64117.0,36813.0
3,관광특구,1001493,동대문패션타운 관광특구,411102,300702,110400,52922,58210,60916,63048,65606,65226,45174,12223.0,54348.0,109189,91186,120523,23633.0,160004,233070,6672.0,107117.0,107098.0,75446.0,64184.0,32553.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,744475,632773,111702,111716,131299,130941,131662,127155,68910,42792,2806.0,89984.0,378824,99257,159043,14561.0,332857,339249,4216.0,135958.0,198115.0,168643.0,109761.0,55411.0
5,관광특구,1001491,이태원 관광특구,58464,34006,24458,5922,5713,6660,6235,9476,14904,9554,1893.0,2434.0,13916,15931,16698,7592.0,19906,35120,678.0,23610.0,17747.0,6750.0,4360.0,1877.0
6,전통시장,2130326,고덕 골목형상점가,63018,45337,17681,7313,8927,9532,9677,9888,11051,6630,,3219.0,21814,14769,22889,327.0,27272,35746,808.0,8718.0,15596.0,19026.0,11659.0,7211.0
7,전통시장,2130325,명일전통시장,233,171,62,34,48,15,22,52,33,29,,4.0,111,48,70,,92,130,,17.0,104.0,52.0,30.0,18.0
8,전통시장,2130324,길동복조리시장,4302,3024,1278,755,454,576,588,651,818,460,6.0,249.0,1746,1042,1214,45.0,2401,1901,6.0,483.0,685.0,1354.0,1074.0,700.0
9,전통시장,2130323,둔촌역전통시장,2491,1667,824,505,260,260,261,381,519,305,,,138,490,1497,366.0,1443,941,,108.0,338.0,523.0,614.0,801.0
10,전통시장,2130322,고분다리전통시장,2220,1681,539,236,439,415,323,268,313,226,24.0,14.0,480,470,1093,139.0,957,1053,132.0,504.0,442.0,334.0,348.0,249.0
11,전통시장,2130320,암사종합시장,78011,48740,29271,10041,9178,8154,10328,11039,16246,13025,106.0,3520.0,16358,20974,35538,1515.0,35468,42328,387.0,6383.0,14167.0,19996.0,21677.0,15187.0
12,전통시장,2130319,성내전통시장,8072,5376,2696,1044,1033,1106,1127,1066,1306,1390,6.0,602.0,1471,1747,3545,701.0,4282,3728,,792.0,2094.0,1995.0,1726.0,1405.0
13,전통시장,2130318,로데오거리상점가,152078,98119,53959,18736,17255,19527,19981,22620,28641,25318,8563.0,8120.0,41739,27914,46246,19496.0,83607,68438,4435.0,39227.0,36091.0,30374.0,24522.0,17397.0
14,전통시장,2130316,마천시장,2458,1683,775,65,389,259,646,324,710,65,647.0,130.0,581,259,388,453.0,1359,1035,,582.0,389.0,130.0,841.0,452.0
15,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),8281,6074,2207,1149,1210,1220,1142,1353,1145,1062,,1003.0,2422,1574,2928,354.0,5186,2688,57.0,1943.0,1992.0,1646.0,1249.0,985.0
16,전통시장,2130314,풍납시장,33505,23019,10486,4773,4564,3731,4957,4994,5736,4750,,7132.0,8604,6512,9793,1464.0,15253,17454,265.0,3759.0,6945.0,8112.0,7310.0,6316.0
17,전통시장,2130313,방이시장,37654,27510,10144,4310,6156,6045,5201,5798,3644,6500,64.0,2625.0,11314,8845,13805,1001.0,16037,19330,460.0,5411.0,9362.0,7776.0,8142.0,4217.0
18,전통시장,2130312,석촌시장,58421,37828,20593,6495,7636,7209,8022,8466,11068,9525,1441.0,4993.0,16778,12660,19948,2601.0,28338,27612,255.0,4849.0,13570.0,15448.0,12074.0,9750.0
19,전통시장,2130311,새마을시장,87042,56629,30413,8738,11702,11024,12624,12541,16424,13989,730.0,2331.0,23903,21210,33163,5705.0,44258,41762,1507.0,15666.0,19198.0,22003.0,17164.0,10486.0
20,전통시장,2130310,강남개포시장,240648,158860,81788,30989,31670,32807,28315,35079,41999,39789,5.0,13422.0,73362,56803,81253,15803.0,115807,115944,7623.0,27988.0,34538.0,64345.0,62258.0,35000.0
21,전통시장,2130308,청담삼익시장,1200,1046,154,192,235,236,216,167,77,77,,,1020,77,26,,402,524,,89.0,134.0,371.0,140.0,192.0
22,전통시장,2130307,도곡시장,3494,1884,1610,435,408,423,109,509,933,677,,233.0,1227,1057,977,,1603,1891,30.0,199.0,486.0,1303.0,1018.0,458.0
23,전통시장,2130306,강남언주로,23455,22337,1118,4304,4821,4256,4811,4145,947,171,135.0,36.0,18660,1166,2916,542.0,9587,9321,61.0,4000.0,6683.0,4872.0,2616.0,670.0
24,전통시장,2130303,영동전통시장,54550,42222,12328,6889,8565,8975,8380,9413,8988,3340,9172.0,3093.0,10340,6173,15033,10739.0,30833,19313,154.0,11071.0,17827.0,13303.0,5591.0,2204.0
25,전통시장,2130299,엔터식스 강남점,327623,218627,108996,42990,39047,39198,41718,55674,62819,46177,3163.0,59227.0,89499,55150,92441,28143.0,147256,166180,4729.0,75671.0,71411.0,64297.0,61881.0,35448.0
26,전통시장,2130296,남부종합시장,4656,3715,941,704,812,748,735,716,692,249,,382.0,2112,1045,1117,,2149,2228,60.0,686.0,1117.0,1359.0,831.0,321.0
27,전통시장,2130295,인헌시장(원당종합시장),47735,31231,16504,5170,6514,5268,7102,7177,8901,7603,83.0,3247.0,11016,10424,20007,2958.0,21320,26195,246.0,10490.0,13319.0,10349.0,8462.0,4652.0
28,전통시장,2130294,관악중부시장,5610,3796,1814,597,762,802,811,824,958,856,4.0,54.0,2412,1256,1827,57.0,3205,2392,46.0,932.0,1229.0,1623.0,1155.0,611.0
29,전통시장,2130293,봉천중앙시장,15429,11069,4360,2247,1999,2415,2080,2328,2376,1984,215.0,3040.0,3869,2560,4564,1181.0,8364,6591,291.0,3325.0,3466.0,3061.0,2710.0,2101.0
30,전통시장,2130292,봉천현대시장,2884,1808,1076,380,409,199,387,433,655,421,,53.0,690,748,1393,,1326,1558,6.0,250.0,595.0,708.0,867.0,458.0
31,전통시장,2130291,봉천제일종합시장,3243,2242,1001,426,500,371,408,537,445,556,,,742,584,1908,9.0,1305,1911,65.0,970.0,942.0,614.0,521.0,103.0
32,전통시장,2130290,영림시장,27710,21415,6295,4067,4310,4531,4242,4265,2940,3355,559.0,3423.0,6840,3486,10142,3260.0,14331,12007,418.0,7589.0,6495.0,4279.0,4950.0,2605.0
33,전통시장,2130289,봉일시장,6739,3209,3530,718,507,549,732,703,1392,2138,7.0,366.0,978,2117,2892,379.0,3817,2922,216.0,1105.0,1126.0,2265.0,1392.0,635.0
34,전통시장,2130285,서원동상점가,99079,68211,30868,13149,13730,14263,12423,14646,17924,12944,1782.0,2584.0,17289,19877,40937,16610.0,48374,50542,3560.0,31848.0,28873.0,16394.0,12583.0,5660.0
35,전통시장,2130284,관악종합시장(신원시장),6893,4341,2552,956,35,1117,1116,1117,1311,1241,,1027.0,1311,1524,2216,815.0,3112,3710,90.0,1068.0,1627.0,853.0,1482.0,1703.0
36,전통시장,2130283,신원시장,18083,10819,7264,2331,905,2277,2436,2870,3928,3336,12.0,590.0,2881,3648,9231,1721.0,8807,9129,106.0,3806.0,4857.0,3728.0,3332.0,2108.0
37,전통시장,2130281,우림시장,7006,4665,2341,954,747,933,967,1064,1273,1068,513.0,1577.0,1273,1074,2052,517.0,3660,3072,186.0,1050.0,940.0,1284.0,2135.0,1137.0
38,전통시장,2130279,관악신사시장,31576,20626,10950,4123,3246,4570,4427,4260,5288,5662,,7876.0,7984,7202,8270,244.0,16261,15027,45.0,3271.0,6029.0,7852.0,8689.0,5400.0
39,전통시장,2130278,미성동 도깨비시장 골목형상점가,2332,1740,592,257,384,363,378,358,261,331,,44.0,1055,592,641,,1207,1012,,337.0,416.0,518.0,598.0,351.0
40,전통시장,2130277,조원동 펭귄시장(신림중앙시장),2369,1804,565,365,220,403,452,364,413,152,,39.0,624,565,1065,76.0,1181,1025,10.0,515.0,507.0,416.0,605.0,153.0
41,전통시장,2130274,사당1동먹자골목상점가(사당1동먹자골목),9180,5901,3279,978,1118,1172,1215,1418,1731,1548,21.0,3215.0,2182,1279,1989,494.0,4907,3886,22.0,1624.0,2654.0,1622.0,1680.0,1189.0
42,전통시장,2130273,남성사계시장(남성시장),66323,40858,25465,3424,9064,8403,9251,10716,15494,9971,565.0,20354.0,22801,12107,9173,1323.0,29138,35783,483.0,4914.0,13662.0,18958.0,14977.0,11925.0
43,전통시장,2130271,남성역골목시장,35434,25544,9890,5308,3655,4866,5601,6114,6035,3855,16.0,5858.0,9346,5551,12810,1853.0,14553,20647,201.0,5861.0,8358.0,8594.0,7758.0,4426.0
44,전통시장,2130269,강남시장(동작구 강남시장),11593,9458,2135,1465,2171,2333,1808,1681,1502,633,,326.0,5444,2062,3454,307.0,4761,6723,184.0,1875.0,1833.0,2465.0,3763.0,1364.0
45,전통시장,2130268,상도전통시장,5947,4501,1446,822,907,1023,898,851,911,535,,254.0,1790,1169,2451,283.0,2397,3371,233.0,1828.0,765.0,1325.0,1233.0,384.0
46,전통시장,2130266,만양로상점가,16906,11781,5125,2586,969,2753,2656,2817,3033,2092,,1617.0,4575,3632,6389,693.0,9112,7667,123.0,5000.0,4136.0,3004.0,2861.0,1655.0
47,전통시장,2130265,노량진중앙시장,38509,25900,12609,3947,5205,5511,5204,6033,6613,5996,,160.0,12106,7509,17380,1354.0,16948,21561,2532.0,15257.0,8359.0,4784.0,6227.0,1350.0
48,전통시장,2130264,상도약수골목형상점가,2759,1632,1127,392,112,240,384,504,592,535,,,312,584,1311,552.0,1527,1232,,336.0,748.0,862.0,550.0,263.0
49,전통시장,2130262,상도도깨비 골목형상점가,1949,1324,625,285,288,261,265,225,303,322,,32.0,397,330,1076,114.0,993,930,10.0,353.0,419.0,475.0,495.0,171.0
