,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,4085317793,2920052453,1165265340,495354714,538024641,589791949,643075720,653805429,631667550,533597790,579620.0,621382005,1421519885,1133741089,848812117,59283077.0,1276719394,2075179079,46524249.0,866438709.0,1198270733.0,664452237.0,408094810,168117733.0,52.0
1,관광특구,1001495,잠실 관광특구,7999444528,4898424466,3101020062,914742907,917142215,958782627,978180302,1129576415,1713999724,1387020338,148950723.0,808729025,2169768017,2171840772,2059219718,640936273.0,3067401845,4367308231,92613433.0,2238808785.0,2262502381.0,1201122764.0,957035776,682626934.0,103.0
2,관광특구,1001494,종로?청계 관광특구,7302124595,5458448231,1843676364,904425039,1073832106,1108979853,1135783918,1235427315,1158643602,685032762,60422729.0,771709983,2696293104,1660446548,1615121271,498130960.0,2915545460,3342671349,54328674.0,1738901066.0,1805956020.0,1117127664.0,918282109,623621275.0,150.0
3,관광특구,1001493,동대문패션타운 관광특구,2079781385,1579672372,500109013,286955439,317536647,340555586,344479951,290144749,225816875,274292138,156296253.0,279206662,502189147,405827781,461685608,274575934.0,819859479,1115578300,20423743.0,588757055.0,618327364.0,382625873.0,229381935,95921804.0,90.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,26794771322,21634847288,5159924034,3636216058,4343119457,4457954264,4401978467,4795579042,3277893359,1882030675,17734150.0,4260405697,11081390210,6064771598,4441116686,929352981.0,9895166330,12408493173,249824964.0,5465488331.0,7019596786.0,5003568430.0,3011653401,1553527604.0,365.0
5,관광특구,1001491,이태원 관광특구,5496648138,3346283170,2150364968,561821337,585137010,658494480,697048875,843781468,1244407588,905957380,63654894.0,439309945,1657723275,1610264665,1456107824,269587535.0,1872987039,2787744995,41985211.0,1735321081.0,1401189725.0,622373190.0,625400288,234462538.0,103.0
6,전통시장,2130324,길동복조리시장,35396151,23957006,11439145,4840867,4949435,5284428,3226277,5655999,6799159,4639986,,5905067,11983148,9395508,6771872,1340556.0,14587960,19976222,295557.0,7211138.0,10498298.0,7708978.0,6961204,1889007.0,3.0
7,전통시장,2130323,둔촌역전통시장,56668641,23083435,33585206,1725014,2517299,8429024,5523836,4888262,6371972,27213234,7148710.0,32014,12282479,24406735,8086571,4712132.0,29746803,26256279,81736.0,11763729.0,25531920.0,5502967.0,3499653,9623076.0,5.0
8,전통시장,2130322,고분다리전통시장,10449577,8010295,2439282,1593864,1091941,1938723,1755709,1630058,1219641,1219641,,2018622,3212311,2805994,1193009,,2763655,6466281,,2172272.0,2601810.0,2114909.0,1182081,1158864.0,3.0
9,전통시장,2130321,장신구 특화거리 상점가,92569815,57798507,34771308,3666653,8965027,5500146,16129927,23536754,17372076,17399232,,134614,32947338,34751969,24735894,,16223339,50979753,346780.0,20962232.0,28340223.0,5355148.0,10382903,1815806.0,8.0
