,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001496,강남 마이스 관광특구,152432,109442,42990,18807,20619,22697,22983,24336,23520,19470,,19445.0,47707,33101,45635,6544.0,71500,68913,2992.0,43927.0,46903.0,26325.0,13203.0,7060.0
1,관광특구,1001495,잠실 관광특구,536112,346615,189497,67292,64636,69496,66938,78253,101029,88468,,39713.0,155997,133974,179036,27392.0,243621,283825,38728.0,135335.0,128266.0,131779.0,58053.0,35286.0
2,관광특구,1001494,종로?청계 관광특구,49616,38547,11069,6707,7873,7821,8451,7695,7006,4063,,4210.0,20496,9054,13691,2165.0,27236,20376,919.0,14169.0,12732.0,7748.0,7024.0,5017.0
3,관광특구,1001493,동대문패션타운 관광특구,200260,143078,57182,22929,27904,29099,31370,31776,31818,25364,21258.0,16995.0,53365,34813,52661,21168.0,106674,89954,3267.0,63343.0,55850.0,34752.0,27384.0,12035.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,160400,130278,30122,23503,25663,26704,27960,26448,16910,13212,,35455.0,60723,25447,37015,1760.0,73820,75455,1535.0,41511.0,52505.0,29607.0,15956.0,8163.0
5,관광특구,1001491,이태원 관광특구,225738,121398,104340,23482,21048,19980,23746,33142,56675,47665,40708.0,7712.0,36395,34925,66420,39578.0,149153,73718,4137.0,97812.0,68635.0,25390.0,18831.0,8070.0
6,전통시장,2130324,길동복조리시장,5539,3371,2168,715,560,489,691,916,1144,1024,,18.0,766,952,2978,825.0,3234,2279,99.0,1239.0,1023.0,1227.0,1255.0,669.0
7,전통시장,2130323,둔촌역전통시장,719,466,253,37,67,134,86,142,117,136,6.0,,12,74,479,148.0,435,259,6.0,63.0,155.0,173.0,179.0,118.0
8,전통시장,2130318,로데오거리상점가,4982,3292,1690,573,688,579,625,827,944,746,34.0,,1429,938,1539,1042.0,3233,1749,154.0,1411.0,1415.0,1012.0,633.0,357.0
9,전통시장,2130317,마천중앙시장,4115,2377,1738,440,545,407,570,415,869,869,,,260,635,2002,349.0,1718,1528,73.0,501.0,674.0,798.0,847.0,353.0
10,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),38579,26711,11868,5454,5195,5296,4742,6024,6366,5502,759.0,2105.0,12513,7174,12953,3075.0,21235,15776,820.0,8674.0,10532.0,7703.0,5496.0,3783.0
11,전통시장,2130314,풍납시장,7677,5300,2377,1247,857,1083,1000,1113,1252,1125,,283.0,1137,1471,3856,930.0,4446,3134,83.0,876.0,1988.0,1702.0,1760.0,1171.0
12,전통시장,2130313,방이시장,11181,7118,4063,1374,1297,1150,1457,1840,2167,1896,,109.0,1784,1989,5097,2202.0,6326,4485,129.0,1858.0,3368.0,2396.0,1941.0,1119.0
13,전통시장,2130310,강남개포시장,10205,7952,2253,1457,1550,1684,1764,1497,2005,248,,725.0,3920,2428,3122,10.0,4785,5081,493.0,2202.0,1955.0,2622.0,1727.0,867.0
14,전통시장,2130307,도곡시장,8618,5760,2858,1117,1239,1239,997,1168,1298,1560,,,1228,1320,3885,946.0,3976,3121,323.0,1187.0,886.0,2355.0,1761.0,584.0
