,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001495,잠실 관광특구,341501236,227598579,113902657,33629389,39232224,48834454,51661609,54240903,64560823,49341834,5945400.0,,4346811.0,23305281,171915834,135987910,206912138,106787459,2986106.0,74914013.0,84189323.0,65122151.0,58287402.0,28200597.0,12.0
1,관광특구,1001494,종로?청계 관광특구,1336880320,998022078,338858242,173867395,186010517,197940285,212386825,227817056,202274605,136583637,19818470.0,60353913.0,90944010.0,97843207,783441395,284479325,733755452,399005813,5554451.0,284831278.0,332860731.0,222574418.0,179086377.0,107854010.0,28.0
2,관광특구,1001493,동대문패션타운 관광특구,75216527,56488527,18728000,11039839,9466633,11817275,13131897,11032883,11568595,7159405,450993.0,,1279217.0,3435131,37195100,32856086,42295533,25494367,332975.0,16340901.0,19792260.0,9888543.0,13636419.0,7798803.0,12.0
3,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,696847248,584270884,112576364,100822966,122302882,107686240,143682750,109776046,72744610,39831754,1408621.0,565872.0,17499925.0,27808264,374402870,275161696,359570260,196381034,4464891.0,116006803.0,144204395.0,150022736.0,108601797.0,32650672.0,20.0
4,관광특구,1001491,이태원 관광특구,152493956,97290374,55203582,15821842,14326171,20071996,26607598,20462767,28010179,27193403,10983088.0,,1281896.0,3858429,71827531,64543012,96157586,43085787,3387066.0,49040987.0,38162551.0,24368707.0,17575573.0,6708492.0,8.0
5,전통시장,2130324,길동복조리시장,143757836,92279668,51478168,17113932,19768723,17863087,14141446,23392480,27355375,24122793,6153838.0,,3632730.0,16602533,87971351,29397384,84049916,57012756,1619206.0,15983259.0,26170292.0,38447750.0,30885716.0,27956449.0,3.0
6,전통시장,2130323,둔촌역전통시장,157449131,91293964,66155167,24621617,938284,21966083,21756899,22011081,31739326,34415841,,,20102586.0,40801711,94492525,2052309,78262368,79186763,,6556249.0,18232538.0,37996964.0,50599223.0,44064157.0,4.0
7,전통시장,2130322,고분다리전통시장,54904496,36703090,18201406,5793830,5515305,5168246,6339947,13885762,9223346,8978060,2695125.0,7436430.0,2869006.0,5821358,24846388,11236189,27376415,19190829,442538.0,3396698.0,7517082.0,10511196.0,13511909.0,11187823.0,6.0
8,전통시장,2130320,암사종합시장,172712209,113081333,59630876,20087405,23343854,14471045,21693233,33485796,32884113,26746763,2413139.0,,2004369.0,17402707,87930108,62961886,87207672,80366462,661017.0,10721317.0,31549001.0,58602172.0,33709710.0,32330916.0,5.0
9,전통시장,2130319,성내전통시장,89067302,57670947,31396355,11212205,12929247,9102891,12737033,11689571,17556679,13839676,,5890958.0,12968793.0,24241682,38349675,7616194,39164132,49431892,665780.0,6962061.0,11198273.0,17772795.0,19830887.0,32166228.0,5.0
10,전통시장,2130318,로데오거리상점가,123056579,85127673,37928906,16666233,16220198,17046494,13661749,21532999,22054113,15874793,1288170.0,,334019.0,6328749,70294238,44811403,86536405,36271507,1724358.0,27090323.0,27885034.0,25174306.0,27004983.0,13928908.0,8.0
11,전통시장,2130317,마천중앙시장,43560512,27887509,15673003,6510533,4875939,4732763,4629358,7138916,8614424,7058579,,254536.0,7130961.0,11954404,21623557,2597054,26380822,17179690,461527.0,4780030.0,5493260.0,12465990.0,11543013.0,8816692.0,2.0
12,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),76379418,54820209,21559209,11613983,14037083,7596489,9083175,12489479,12710504,8848705,1782738.0,,1199837.0,4824795,49699696,18872352,45326958,27005139,1001739.0,12010773.0,17732099.0,14006473.0,14215750.0,13365261.0,5.0
13,전통시장,2130314,풍납시장,18583383,11258337,7325046,769557,1738629,1738629,3505761,3505761,6127957,1197089,,,,4588842,4189811,4560340,7781079,4560340,,,,,6983021.0,5358398.0,4.0
14,전통시장,2130313,방이시장,267718316,182123200,85595116,27307857,37652071,36356213,43176180,37630879,48489483,37105633,25681579.0,3845281.0,5670514.0,13118912,126423044,92978986,163528105,100079029,3310093.0,40373589.0,70993367.0,55697476.0,59424182.0,33808430.0,6.0
15,전통시장,2130312,석촌시장,134322681,82972912,51349769,20384010,12395164,19454335,12713374,18026029,26705412,24644357,2640843.0,,424592.0,7642396,79838208,43776642,74484700,44502460,1002613.0,9919273.0,24523853.0,34342591.0,35066425.0,14132405.0,7.0
16,전통시장,2130311,새마을시장,366940035,241471546,125468489,38912217,53609344,45354076,49936997,53658912,65088561,60379928,2005358.0,6214863.0,34613730.0,61743058,189667738,72695288,220183568,127789059,504208.0,31462019.0,65891113.0,90266047.0,80109678.0,79739565.0,9.0
17,전통시장,2130310,강남개포시장,219387528,142167641,77219887,21809080,28589026,25403049,27852151,38514335,40895251,36324636,447025.0,170380.0,12136906.0,25477130,141022475,40133612,128481332,79593483,6120984.0,26704729.0,25725936.0,44606576.0,70985400.0,33931189.0,4.0
18,전통시장,2130303,영동전통시장,46534993,35495329,11039664,5689334,6173116,6071507,6722019,10839353,7378621,3661043,206565.0,,,4756962,28935577,12635889,25073381,21035296,426111.0,6089160.0,10365831.0,12418552.0,8408312.0,8400710.0,3.0
19,전통시장,2130301,양재시장,39418805,34635434,4783371,8382839,9310818,5291456,5825490,5824831,4745763,37608,,,,18804,21463489,17936512,15625683,8131993,336592.0,7050761.0,3579348.0,7644311.0,4179197.0,967467.0,2.0
20,전통시장,2130295,인헌시장(원당종합시장),123246370,79862588,43383782,14820296,16003074,17843714,15240115,15955389,21315180,22068602,,,14620210.0,26493767,66606168,15526225,67610224,55636146,230182.0,16968971.0,31499390.0,26354545.0,25576030.0,22617252.0,6.0
21,전통시장,2130294,관악중부시장,76808922,50408914,26400008,9204629,9965265,9527727,9345926,12365367,14874905,11525103,71898.0,2010001.0,12570246.0,16858173,38485151,6813453,36513845,40295077,582796.0,6665196.0,12468380.0,20538523.0,21804623.0,14749404.0,4.0
22,전통시장,2130293,봉천중앙시장,94092010,61775183,32316827,15649486,10891025,12460215,10937677,11836780,15674934,16641893,4610025.0,,72098.0,7006220,45387753,37015914,66461059,25896360,201219.0,15513448.0,19142583.0,13139030.0,27989088.0,16372051.0,2.0
23,전통시장,2130290,영림시장,146129908,106015494,40114414,15675529,16475739,21651217,20210651,32002358,26057659,14056755,2996823.0,,,8990723,91397812,42744550,87070178,55079890,580980.0,27828649.0,40305775.0,27910313.0,27690363.0,17833987.0,6.0
24,전통시장,2130289,봉일시장,22959281,16828239,6131042,1882404,2862665,4019323,3721969,4341878,3374215,2756827,,,115918.0,1892484,15941215,5009664,15119407,7461881,,1829351.0,4593714.0,7125233.0,5686462.0,3346528.0,2.0
25,전통시장,2130285,서원동상점가,198731924,123740950,74990974,24384760,24867053,24729555,18700194,31059388,39399706,35591268,145874.0,,181471.0,8906017,126334586,63163976,124394581,74337343,10820738.0,94358960.0,44725643.0,20101168.0,19589634.0,9135781.0,7.0
26,전통시장,2130284,관악종합시장(신원시장),6289359,4292961,1996398,688120,152915,911830,1260138,1279958,942980,1053418,,560691.0,869353.0,1350754,3007338,501223,3188572,2806283,33981.0,605999.0,911830.0,1115717.0,1829323.0,1498005.0,1.0
27,전통시장,2130283,신원시장,27631612,19867589,7764023,2584230,3222731,3961730,3944351,6154547,4726420,3037603,,,782070.0,5374745,21081873,392924,17074767,10556845,158681.0,7390614.0,8681419.0,4566635.0,4352166.0,2482097.0,3.0
28,전통시장,2130281,우림시장,169775821,118418697,51357124,22464888,21107865,23760227,27855964,23229753,29262335,22094789,1529734.0,,,1073281,100518339,66654467,106717148,63058673,776174.0,15597259.0,26139554.0,44275087.0,57073444.0,25914303.0,2.0
29,전통시장,2130279,관악신사시장,32719348,21366492,11352856,4226930,3881495,3788494,3945932,5523641,5440603,5912253,,,2381510.0,5540248,22426046,2371544,18287179,14432169,,6949859.0,6376733.0,8087982.0,6150775.0,5153999.0,2.0
30,전통시장,2130278,미성동 도깨비시장 골목형상점가,37828658,25751794,12076864,5553572,3115135,5852067,5225211,6005809,8980356,3096508,,,1639939.0,4250401,23605520,8332798,19385233,18443425,916791.0,7233756.0,6780301.0,8358416.0,8751202.0,5788192.0,4.0
31,전통시장,2130277,조원동 펭귄시장(신림중앙시장),32257231,19970746,12286485,2292943,4822015,4271126,3038003,5546659,6870377,5416108,672577.0,,162892.0,3225145,18483732,9712885,18673478,13583753,,3448241.0,6046819.0,4888371.0,8780767.0,9093033.0,8.0
32,전통시장,2130274,사당1동먹자골목상점가(사당1동먹자골목),26849312,16961528,9887784,4126934,3117061,3613340,2172255,3931938,5730100,4157684,,,,646847,13787268,12415197,19722607,2804859,415572.0,3024663.0,5366305.0,4084017.0,7139511.0,2497396.0,3.0
33,전통시장,2130273,남성사계시장(남성시장),174468207,121002664,53465543,21862862,23552627,24518808,21307497,29760870,27774672,25690871,,6759779.0,38239447.0,53173728,67178883,9116370,68222889,104925524,506295.0,7546420.0,17092522.0,27187251.0,50369299.0,70446626.0,7.0
34,전통시장,2130271,남성역골목시장,156976547,106465097,50511450,18226932,19224326,16334767,23162820,29516252,26155887,24355563,6428539.0,723381.0,7330753.0,17954212,86659631,37880031,84368952,61862655,1311494.0,18636143.0,25913888.0,45691454.0,35145191.0,19533439.0,6.0
35,전통시장,2130269,강남시장(동작구 강남시장),24869577,17320714,7548863,2709358,3448502,2951534,3572114,4639206,4625079,2923784,,,1886964.0,4038809,13778872,5164932,12603387,12266190,317338.0,5452183.0,4799890.0,7059454.0,6325793.0,914919.0,2.0
36,전통시장,2130268,상도전통시장,30086866,20939923,9146943,3434579,3434579,3028932,5535337,5506496,3898595,5248348,310842.0,,1061647.0,1196746,16040558,8042494,14104617,10654876,28693.0,5708961.0,3847241.0,7226658.0,5225705.0,2722237.0,3.0
37,전통시장,2130264,상도약수골목형상점가,64605501,43244909,21360592,4735241,6842807,11786089,8936805,10943967,12003178,9357414,,443222.0,4947805.0,7987043,40811711,10415720,40291391,24314110,,4931872.0,14545625.0,14190885.0,21897577.0,9039542.0,3.0
38,전통시장,2130262,상도도깨비 골목형상점가,10593159,7632204,2960955,1774434,1822536,844460,1811847,1378927,1833226,1127729,117583.0,,,823081,5526400,4126095,6980154,3051813,,929975.0,1726332.0,2789924.0,2966298.0,1619439.0,2.0
39,전통시장,2130261,성대전통시장(성대시장),311172329,216175886,94996443,38397588,37106386,44564053,42363377,53744482,49884680,45111763,7899768.0,,6779284.0,34147188,183676311,78669778,186990477,124181852,3798024.0,54565426.0,77012326.0,65473714.0,66491223.0,43831616.0,6.0
40,전통시장,2130260,신대방1동골목상권,16159623,10994237,5165386,1128009,2106976,1996353,2903787,2859112,3096439,2068947,,,335052.0,2673717,10503886,2646968,9358345,6801278,2490359.0,2976567.0,1722558.0,2543205.0,3029428.0,3397506.0,3.0
41,전통시장,2130253,영신상가(제일상가),5724265,4102941,1621324,253676,1014706,1014706,386029,1433824,1069853,551471,,,,386029,3209559,1113971,3716912,992647,,,,,1731618.0,2977941.0,1.0
42,전통시장,2130244,대림중앙시장,7446669,5157227,2289442,925349,1088881,1507681,598286,1037030,1240447,1048995,,,263246.0,1826768,3972619,1384036,5229021,2217648,,374926.0,1750985.0,1172641.0,2696276.0,1451841.0,1.0
43,전통시장,2130238,은행나무시장,64066687,41084028,22982659,5983062,8111396,9339254,8191182,9459134,13152196,9830463,215086.0,,921824.0,5444268,40715785,16769724,39580714,20676959,,3082671.0,9396811.0,16802436.0,20997022.0,9978732.0,4.0
44,전통시장,2130235,대명여울빛거리시장(대명시장),204693205,140366345,64326860,24691298,24834753,30820367,32184953,27834974,29268056,35058804,854712.0,,4108600.0,24018578,121443668,54267647,126943318,73513321,6120666.0,39959916.0,34085017.0,53581856.0,43990378.0,22718805.0,3.0
