,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001495,잠실 관광특구,18272,12264,6008,2264,2393,2283,2209,3115,3116,2892,3957.0,,241.0,856,5846,7372,10712,6435,180.0,5100.0,4902.0,3174.0,2432.0,1360.0
1,관광특구,1001494,종로?청계 관광특구,63120,46006,17114,7109,8499,8924,9433,12041,9933,7181,5734.0,1684.0,5060.0,4530,24827,21285,35150,21467,433.0,15054.0,16439.0,10811.0,8429.0,5455.0
2,관광특구,1001493,동대문패션타운 관광특구,4013,2904,1109,553,540,618,603,590,615,494,350.0,,232.0,236,1327,1868,2428,1353,38.0,1041.0,877.0,725.0,628.0,472.0
3,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,34979,29187,5792,4500,5619,6040,6388,6640,3728,2064,1640.0,,1093.0,1041,13127,18078,17713,11147,195.0,6488.0,8056.0,7208.0,5050.0,1866.0
4,관광특구,1001491,이태원 관광특구,9826,4439,5387,808,485,501,815,1830,3014,2373,3049.0,134.0,,74,2352,4217,6221,3546,15.0,4407.0,3232.0,795.0,964.0,350.0
5,전통시장,2130326,고덕 골목형상점가,3075,2020,1055,103,393,475,415,634,508,547,,,,283,1959,833,1869,1117,16.0,244.0,579.0,989.0,709.0,449.0
6,전통시장,2130324,길동복조리시장,9680,6208,3472,1238,1283,852,969,1866,2063,1409,261.0,,315.0,987,6206,1911,5117,4563,55.0,925.0,1666.0,2728.0,2253.0,2053.0
7,전통시장,2130322,고분다리전통시장,1849,1347,502,186,222,269,239,431,222,280,18.0,45.0,256.0,244,913,373,1115,683,19.0,177.0,358.0,410.0,479.0,354.0
8,전통시장,2130320,암사종합시장,3614,2377,1237,487,540,245,474,631,663,574,207.0,,182.0,465,1946,814,2459,1142,19.0,434.0,578.0,807.0,1166.0,596.0
9,전통시장,2130319,성내전통시장,6029,4188,1841,741,924,694,608,1221,1118,723,,300.0,684.0,1111,3276,658,3025,2945,22.0,417.0,843.0,1049.0,1419.0,2220.0
