,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,3429657035,2518852649,910804386,411172680,460173144,544721819,563192485,539592521,492231134,418573252,,468492769,1288714384,975505702,658235230,38708950.0,1109060261,1740541284,25223149.0,703122985.0,1053542609.0,589677826.0,343676524,134358453.0,51.0
1,관광특구,1001495,잠실 관광특구,8832909921,5388532067,3444377854,1004716633,1033087548,1053561705,1064789838,1232376343,1819768501,1624609353,74354298.0,989003105,2445903207,2406560230,2229493937,687595144.0,3426576968,4981169450,79890543.0,2536868604.0,2634548263.0,1411985840.0,1080566386,663886783.0,96.0
2,관광특구,1001494,종로?청계 관광특구,7125743370,5399613696,1726129674,954672733,1118663203,1073898022,1063483009,1188896729,1056549203,669580471,35156077.0,811662508,2703833147,1631347999,1537377743,406365896.0,2856503485,3323662187,30543468.0,1749094939.0,1840097161.0,1159190472.0,848189041,553050597.0,152.0
3,관광특구,1001493,동대문패션타운 관광특구,2184122886,1637171771,546951115,315289189,338969071,341275620,335398087,306239804,284892120,262058995,135386335.0,264134510,546701233,481721534,533644890,222534384.0,834990698,1185028941,20967460.0,597532628.0,670213861.0,390164283.0,233322697,107818703.0,93.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,23605383817,19735181886,3870201931,3644903164,4087288740,3895943245,3928316364,4178730373,2451441701,1418760230,13998044.0,4190239742,10554290059,5004020049,3125578190,717257733.0,9111682271,10537413592,99326022.0,4183392534.0,6491835762.0,4695739446.0,2777405198,1401396895.0,366.0
5,관광특구,1001491,이태원 관광특구,6517725599,3894198302,2623527297,682814421,750486001,750396610,794023337,916477933,1456668851,1166858446,23984469.0,431962452,1757544545,2054701808,1907517574,342014751.0,2248018229,3545851509,52193097.0,2236414512.0,1858462585.0,703454160.0,653709781,289635615.0,96.0
6,전통시장,2130324,길동복조리시장,50180592,31898745,18281847,6112914,5974157,6927468,5849912,7034294,10127617,8154230,,7013393,17424333,14143481,10503833,1095552.0,20752959,28541669,529957.0,9379593.0,13901613.0,13865719.0,9327769,2289978.0,3.0
7,전통시장,2130323,둔촌역전통시장,17255651,3823000,13432651,402958,710143,1271482,821034,617383,1484367,11948284,82127.0,78216,1829249,2130428,12577188,558443.0,13481449,3524180,17599.0,693369.0,11827370.0,1444739.0,2048211,974340.0,4.0
8,전통시장,2130322,고분다리전통시장,10337583,8557290,1780293,1866338,1180033,2036377,2181149,1293393,1761172,19121,,1112427,3861740,2564934,2798482,,3447910,6141226,,1635521.0,1980380.0,2633906.0,2007695,1331634.0,3.0
9,전통시장,2130321,장신구 특화거리 상점가,86774919,49379862,37395057,4595677,9367944,10110489,11741774,13563978,18209011,19186046,,243173,28543857,40842901,16722330,422658.0,18019221,57414871,,25650251.0,25797761.0,4655677.0,18155795,1174608.0,7.0
