,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001496,강남 마이스 관광특구,423492,307440,116052,50799,57194,65016,67170,67261,60773,55279,,73792,154338,113359,77682,4321.0,138359,242795,3929.0,97090.0,140711.0,77022.0,46626,15775.0
1,관광특구,1001495,잠실 관광특구,844485,537975,306510,102796,104928,103728,105853,120670,160423,146087,7237.0,121488,219829,223461,210437,62033.0,349060,465811,9824.0,255587.0,258640.0,132924.0,101100,56792.0
2,관광특구,1001494,종로?청계 관광특구,930606,728152,202454,136619,150988,142866,141594,156085,124943,77511,254.0,189993,333543,207814,164748,34254.0,410074,462085,4664.0,260511.0,261940.0,158267.0,121175,65602.0
3,관광특구,1001493,동대문패션타운 관광특구,350638,274925,75713,54294,59869,57365,55592,47805,37731,37982,24215.0,55378,82988,65803,80742,41512.0,143664,195842,3235.0,97136.0,118376.0,67919.0,37137,15700.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,3037462,2616426,421036,500420,553356,513706,510595,538349,270686,150350,905.0,876894,1226772,580153,306255,46483.0,1360878,1422793,13699.0,617253.0,945384.0,665858.0,378816,162667.0
5,관광특구,1001491,이태원 관광특구,530369,330874,199495,61458,63599,63701,65684,76432,111214,88281,1072.0,52930,143571,171046,143374,18376.0,207789,295984,5064.0,188965.0,161879.0,64768.0,56647,26442.0
6,전통시장,2130324,길동복조리시장,12378,8040,4338,1545,1544,1683,1503,1765,2393,1945,,2206,4140,3361,2468,203.0,5044,7067,110.0,2488.0,3259.0,3282.0,2409,563.0
7,전통시장,2130323,둔촌역전통시장,876,511,365,49,90,170,105,97,191,174,8.0,8,279,289,250,42.0,375,478,4.0,114.0,166.0,198.0,269,104.0
8,전통시장,2130322,고분다리전통시장,1782,1482,300,322,238,341,341,240,293,7,,225,614,437,506,,534,1119,,300.0,377.0,416.0,368,191.0
9,전통시장,2130321,장신구 특화거리 상점가,5023,2909,2114,260,594,434,752,869,869,1245,,14,1810,2201,984,14.0,1287,3664,,1795.0,1725.0,439.0,889,102.0
10,전통시장,2130318,로데오거리상점가,123489,77669,45820,14751,14837,15254,14202,18625,25438,20382,235.0,8756,27940,30626,40988,14944.0,59936,63553,5001.0,48124.0,32514.0,17745.0,14233,5872.0
11,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),26186,17375,8811,3337,3626,3498,3379,3535,4778,4033,992.0,2695,5919,6488,6628,3464.0,11796,14107,609.0,8666.0,7300.0,4031.0,4040,1260.0
12,전통시장,2130314,풍납시장,15780,10913,4867,1873,2272,2153,1971,2644,2639,2228,,1151,4342,4277,5520,490.0,5742,9817,488.0,4774.0,4581.0,2094.0,2424,1198.0
13,전통시장,2130313,방이시장,127799,90040,37759,17129,18411,18140,17003,19357,19795,17964,,29273,35251,28716,25641,8918.0,66304,59215,2988.0,31815.0,41141.0,24202.0,17737,7637.0
14,전통시장,2130312,석촌시장,2566,1330,1236,70,70,266,504,420,661,575,,98,1137,827,434,,875,1551,28.0,732.0,579.0,619.0,353,113.0
15,전통시장,2130311,새마을시장,87890,58615,29275,12045,11377,11590,10954,12649,15646,13629,,16687,21338,24526,21219,4120.0,41260,46630,3787.0,26229.0,22312.0,18741.0,12767,4054.0
16,전통시장,2130310,강남개포시장,95371,65215,30156,13251,12509,12802,12187,14466,15555,14601,,20506,27701,23365,20289,3510.0,43724,47845,4103.0,19087.0,18388.0,24065.0,18302,7628.0
17,전통시장,2130306,강남언주로,33727,28353,5374,5367,6175,5246,5593,5972,3167,2207,63.0,4552,16866,5917,4995,1334.0,16042,15302,196.0,8718.0,12962.0,5858.0,2420,1187.0
18,전통시장,2130303,영동전통시장,12078,8518,3560,1614,1614,1717,1763,1810,1958,1602,,183,1661,2427,4933,2874.0,5747,5861,68.0,2347.0,3435.0,2897.0,1878,984.0
19,전통시장,2130299,엔터식스 강남점,259539,165803,93736,30140,30687,32084,33036,39856,50743,42993,6.0,35498,74548,72044,70105,7338.0,85234,158615,2996.0,72412.0,70562.0,43812.0,35599,18466.0
