,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,1842714083,1263897841,578816242,219527910,228174586,262453898,266998927,286742520,320857665,257958577,,113634722.0,616192505,376811437,648312003,87763416.0,798828597,759783488,27421322.0,469607064.0,543766061.0,300326060.0,142008152.0,75483425.0,14.0
1,관광특구,1001495,잠실 관광특구,5250232020,3285117441,1965114579,639587803,612439120,621460916,629258862,782370740,1050219185,914895394,,337869278.0,1618800129,1273219530,1784866852,235476231.0,2453889216,2522331502,319572099.0,1170387856.0,1258986595.0,1360098661.0,543893638.0,323281867.0,45.0
2,관광특구,1001494,종로?청계 관광특구,387425956,296082999,91342957,53558089,57438957,64648776,64535011,55902166,57387335,33955622,,26235494.0,165445990,68856430,108380147,18507895.0,200291954,140035750,6335937.0,99556063.0,91359315.0,60643897.0,50395215.0,32037276.0,24.0
3,관광특구,1001493,동대문패션타운 관광특구,1846334084,1288674184,557659900,196305580,250920403,259957020,293333163,288158018,312521214,245138686,220463089.0,155448928.0,462980632,314041879,508513829,184885727.0,969165627,804609291,24564432.0,573709327.0,523983932.0,314300686.0,244961652.0,92254889.0,26.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,1618619876,1275695864,342924012,222932443,244342359,252843422,283544466,272033174,189372383,153551629,,197112406.0,677619126,275288476,442219830,26380038.0,672275396,639026083,12335369.0,360692888.0,463405551.0,266218312.0,138799452.0,69849903.0,69.0
5,관광특구,1001491,이태원 관광특구,3405928024,1691493298,1714434726,327710481,282206608,269011641,328291229,484273339,931723884,782710842,581573882.0,105538449.0,533501282,522695384,1077134604,585484423.0,2269285425,1053860332,49270491.0,1496952362.0,1040888339.0,347133874.0,282776734.0,106123959.0,37.0
6,전통시장,2130324,길동복조리시장,83607416,50628899,32978517,11263800,7784149,7499361,9667317,14414272,17310996,15667521,,342072.0,11783328,14493031,44300178,12688807.0,46898477,36035027,958711.0,17060292.0,14867627.0,19665064.0,19579600.0,10802210.0,3.0
7,전통시장,2130323,둔촌역전통시장,20301583,13510008,6791575,1155490,2649636,3827253,1947122,3930507,2998127,3793448,190533.0,,330667,2431445,13590524,3758414.0,11291892,7712839,165333.0,2101805.0,3804141.0,5031131.0,4906752.0,2995568.0,2.0
8,전통시장,2130318,로데오거리상점가,147086130,90666336,56419794,15488716,17759339,16343816,17380496,23693969,32943107,23476687,2384037.0,,25215558,21078763,50499337,47908435.0,98771796,48314334,3337257.0,41382111.0,46004511.0,30698058.0,17896344.0,7767849.0,6.0
9,전통시장,2130317,마천중앙시장,70500058,39118440,31381618,7222823,9786321,6655154,8617623,6836519,15690809,15690809,,,4683739,9947353,33463633,6714524.0,28497271,26311978,1021402.0,7653751.0,11002451.0,14651092.0,14905889.0,5574664.0,2.0
