,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001496,강남 마이스 관광특구,130541,93824,36717,17076,17278,18677,20322,20471,18939,17778,,20048.0,41322,28169,38967,2035.0,64676,56159,1602.0,36059.0,41497.0,22973.0,11447.0,7256.0
1,관광특구,1001495,잠실 관광특구,362648,236134,126514,45979,47543,50465,47458,44689,63262,63252,,23344.0,108071,93541,124059,13633.0,174385,184435,14991.0,107488.0,90760.0,86923.0,36136.0,22519.0
2,관광특구,1001494,종로?청계 관광특구,39681,31422,8259,6111,5959,6189,6851,6312,5113,3146,,2923.0,16017,8047,10964,1730.0,21884,16172,542.0,11831.0,10205.0,5967.0,5667.0,3844.0
3,관광특구,1001493,동대문패션타운 관광특구,165891,120334,45557,21275,23599,25786,24431,25243,24716,20841,17602.0,14173.0,44306,28903,45633,15274.0,90297,71301,2241.0,46010.0,48987.0,31145.0,22506.0,10706.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,149568,121037,28531,23629,23381,23740,26615,23672,15299,13232,,28185.0,59274,21996,38178,1935.0,67914,69389,1197.0,41964.0,45561.0,26101.0,15521.0,6961.0
5,관광특구,1001491,이태원 관광특구,205294,125276,80018,23858,26033,22588,23622,29175,43956,36062,6337.0,9671.0,39827,37491,72303,39665.0,137682,63367,2194.0,75536.0,71103.0,24929.0,18092.0,9192.0
6,전통시장,2130324,길동복조리시장,6264,3881,2383,675,702,888,717,899,1114,1269,,9.0,1016,1065,3159,1015.0,3550,2714,140.0,1460.0,1214.0,1280.0,1522.0,648.0
7,전통시장,2130323,둔촌역전통시장,664,336,328,55,62,55,84,80,118,210,,,30,116,414,49.0,261,317,6.0,43.0,36.0,243.0,180.0,69.0
8,전통시장,2130322,고분다리전통시장,402,256,146,33,33,72,85,33,59,87,,,46,39,218,99.0,283,119,7.0,14.0,98.0,66.0,152.0,65.0
9,전통시장,2130318,로데오거리상점가,5086,3541,1545,678,654,711,752,746,729,816,,,1690,1273,1746,377.0,3181,1673,134.0,1580.0,1089.0,1025.0,635.0,393.0
10,전통시장,2130317,마천중앙시장,4124,2537,1587,391,472,609,521,544,708,879,,,359,723,2490,552.0,2490,1634,32.0,747.0,788.0,1200.0,929.0,428.0
11,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),35527,26135,9392,5075,4822,4843,5749,5646,5140,4252,444.0,2060.0,12156,6773,11735,2359.0,20423,13388,880.0,7689.0,10017.0,7176.0,5773.0,2272.0
12,전통시장,2130314,풍납시장,9315,5723,3592,1213,972,1279,852,1407,1809,1783,,335.0,968,1712,4711,1589.0,5400,3683,16.0,971.0,1755.0,2760.0,1803.0,1778.0
13,전통시장,2130313,방이시장,17703,12095,5608,2538,2274,2584,2349,2350,2817,2791,,196.0,4231,3274,7392,2610.0,9754,7374,300.0,3000.0,5022.0,4104.0,3081.0,1624.0
14,전통시장,2130310,강남개포시장,10436,7993,2443,1708,1630,1617,1523,1515,1777,666,,722.0,4003,2408,3258,45.0,5103,5220,555.0,2058.0,2508.0,2095.0,2229.0,879.0
15,전통시장,2130307,도곡시장,8194,5365,2829,1198,1137,1137,876,1017,1350,1479,,,1409,1308,3313,1027.0,4042,2863,484.0,956.0,614.0,2015.0,2273.0,563.0
16,전통시장,2130303,영동전통시장,454,289,165,32,43,49,94,71,60,105,43.0,,66,76,204,65.0,235,148,,33.0,65.0,115.0,98.0,71.0
17,전통시장,2130302,강남시장(강남구 강남시장),1922,1346,576,107,362,107,428,342,341,235,,,727,319,769,,705,833,,705.0,363.0,321.0,129.0,21.0
18,전통시장,2130299,엔터식스 강남점,140037,96110,43927,18486,18305,19042,18349,21928,23624,20303,105.0,19388.0,40336,30893,41655,7660.0,65236,68768,1945.0,41106.0,33336.0,25062.0,21497.0,11056.0
19,전통시장,2130295,인헌시장(원당종합시장),9769,6490,3279,494,1636,1385,1445,1530,1331,1948,,335.0,2326,1594,5305,209.0,4872,4897,284.0,3408.0,2727.0,1558.0,1211.0,581.0
20,전통시장,2130294,관악중부시장,15196,10018,5178,2134,1617,1957,2153,2157,2532,2646,88.0,468.0,4439,4107,5202,892.0,7823,7240,227.0,3074.0,3133.0,3505.0,2785.0,2340.0
21,전통시장,2130293,봉천중앙시장,12787,8472,4315,1495,1641,1762,1629,1945,1970,2345,,60.0,1678,1981,6248,2820.0,7655,5132,134.0,3548.0,3095.0,2357.0,2176.0,1477.0
22,전통시장,2130290,영림시장,6201,4189,2012,779,902,845,619,1044,1035,977,,,789,780,3382,1250.0,3760,2441,38.0,2262.0,1744.0,801.0,932.0,424.0
23,전통시장,2130285,서원동상점가,27134,18664,8470,3520,3594,3863,4047,3640,4421,4049,1153.0,1726.0,4893,5068,9694,4600.0,14475,12659,1042.0,10394.0,7005.0,3426.0,3463.0,1804.0
24,전통시장,2130278,미성동 도깨비시장 골목형상점가,3704,2592,1112,540,556,264,641,591,556,556,,58.0,609,821,1380,836.0,2343,1361,726.0,853.0,811.0,647.0,541.0,126.0
25,전통시장,2130273,남성사계시장(남성시장),7800,5174,2626,1232,907,972,1053,1010,1405,1221,,5.0,1264,1804,3609,1118.0,3916,3884,355.0,1791.0,1808.0,1622.0,1678.0,546.0
26,전통시장,2130271,남성역골목시장,20348,13407,6941,3036,2312,2623,2739,2697,3325,3616,,2265.0,5355,4198,7832,698.0,8824,11288,491.0,5347.0,6401.0,3880.0,3105.0,889.0
27,전통시장,2130269,강남시장(동작구 강남시장),2514,1617,897,302,296,311,335,373,421,476,,,330,492,1334,358.0,1519,995,87.0,743.0,500.0,369.0,602.0,213.0
28,전통시장,2130262,상도도깨비 골목형상점가,2151,1366,785,293,304,265,228,276,402,383,,,295,343,1064,449.0,1360,784,22.0,481.0,570.0,348.0,400.0,322.0
29,전통시장,2130261,성대전통시장(성대시장),983,639,344,121,137,128,118,135,162,182,,,106,105,630,142.0,581,402,,92.0,218.0,269.0,260.0,144.0
30,전통시장,2130260,신대방1동골목상권,1059,639,420,83,111,123,133,189,213,207,,,184,173,658,44.0,603,456,6.0,130.0,141.0,264.0,293.0,225.0
31,전통시장,2130248,영등포역지하도상점가,272298,184670,87628,36801,36005,34765,38073,39026,46533,41095,2768.0,30026.0,62818,49968,93257,33461.0,153689,118609,4642.0,84474.0,77456.0,43320.0,40142.0,22264.0
32,전통시장,2130235,대명여울빛거리시장(대명시장),6080,4402,1678,966,839,853,843,901,1113,565,,182.0,1437,1335,2568,558.0,2668,3372,91.0,1358.0,1433.0,1154.0,1426.0,577.0
33,전통시장,2130232,독산동 맛나는거리상점가(독산동 맛나는거리),469,292,177,42,48,80,54,68,91,86,,,42,79,196,152.0,244,225,,30.0,42.0,90.0,210.0,97.0
34,전통시장,2130229,남구로시장,2417,1597,820,368,304,266,343,316,448,372,,183.0,750,965,519,,679,1738,,101.0,408.0,479.0,669.0,760.0
