,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001496,강남 마이스 관광특구,4022336273,3032862515,989473758,545563637,582929726,626366159,610209620,667793373,523460202,466013556,,117603133.0,2027720284,721519615,1011377953,144115288.0,1344856315,1455390199,35856683.0,608665778.0,820236270.0,627865439.0,465946759.0,241675590.0,39.0
1,관광특구,1001495,잠실 관광특구,29461506520,19450422608,10011083912,3380323389,3319802120,3787692340,3991344090,4971260669,5447901800,4563182112,1469786357.0,389657173.0,5122771495,2981203309,12852079502,6646008684.0,15060792231,9992910316,145601307.0,6414898935.0,7230256843.0,4494894160.0,3568634654.0,3199416650.0,253.0
2,관광특구,1001494,종로?청계 관광특구,37390246286,28126855695,9263390591,4518417276,5046497397,5813096621,5938282109,6810562292,5741057398,3522333193,969264828.0,514907937.0,10035853287,4339085755,15585681656,5945452823.0,19758486154,10703971292,94178755.0,6117215921.0,7556657091.0,5634500305.0,5413791542.0,5646113850.0,462.0
3,관광특구,1001493,동대문패션타운 관광특구,10095348751,8034726566,2060622185,1268764895,1587935462,1648406717,1684045662,1845573830,1226139274,834482911,392767064.0,560563775.0,3796331796,1050189948,3066965624,1228530544.0,4826777664,3820175744,40353492.0,1433583308.0,2059391967.0,1838796055.0,1795510964.0,1479317619.0,159.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,72436595122,61970759830,10465835292,9719584266,12474041619,12958252860,13422988673,13395892412,6114861203,4350974089,406707877.0,1232706289.0,28491577378,6587423962,25259619708,10458559908.0,28651827923,17337624790,113962332.0,6258803895.0,12909663304.0,11718960016.0,8848192300.0,6139870862.0,596.0
5,관광특구,1001491,이태원 관광특구,9718051080,5883184654,3834866426,1100319779,933898867,1026350775,1126976573,1695638660,2146637499,1688228927,1680418983.0,425463738.0,1437140576,696550145,3275544277,2202933361.0,4799116927,3573530876,65828063.0,3295582908.0,2936433811.0,980803805.0,700978026.0,393021192.0,113.0
6,전통시장,2130326,고덕 골목형상점가,527582385,338794548,188787837,64838260,58858419,55865658,69282548,89949663,86055132,102732705,7770410.0,6028117.0,89015110,32056170,301252723,91459855.0,318772334,184547265,2514752.0,50313807.0,110795775.0,127979635.0,127728901.0,83986731.0,8.0
7,전통시장,2130325,명일전통시장,206843309,150689053,56154256,7833194,33958908,35820970,31327638,41748343,35092403,21061853,773040.0,5060474.0,11873277,19938349,113333672,55864497.0,123998537,67690831,61838.0,15321601.0,22813727.0,43421967.0,55059481.0,55010755.0,6.0
8,전통시장,2130324,길동복조리시장,843097804,559370559,283727245,76221429,83584633,107678624,129788266,162097607,151406162,132321083,,30852677.0,169474871,167417371,411052387,64300498.0,477529671,309503613,312057.0,32780553.0,83533733.0,159203958.0,254201983.0,257000998.0,14.0
9,전통시장,2130323,둔촌역전통시장,1507630690,1045225486,462405204,184954471,170753312,189886767,213363110,286267826,279707857,182697347,28696672.0,18333762.0,164178397,163874344,800849369,331698146.0,902283385,448869532,3410938.0,104609636.0,223276957.0,303727972.0,387806382.0,328321035.0,42.0
10,전통시장,2130322,고분다리전통시장,602771383,421468065,181303318,77799858,71132809,84924174,93755377,93855847,102914134,78389184,17229358.0,7326695.0,71722351,63357520,300362875,142772584.0,386187193,203757153,1612842.0,57475722.0,83908147.0,101747679.0,183139339.0,162060616.0,28.0
11,전통시장,2130321,장신구 특화거리 상점가,260318490,188361802,71956688,36952794,33260605,34474570,29921098,53752735,34905017,37051671,,1474261.0,37824022,11851827,142075301,67093079.0,158061716,88423923,803622.0,22261320.0,55014379.0,87498292.0,56210618.0,24697408.0,4.0
12,전통시장,2130320,암사종합시장,1641921784,1116469533,525452251,201731265,194034352,200398976,237120463,283184477,316249696,209202555,1789901.0,51272221.0,326339542,344541411,800304732,117673977.0,896684098,715202969,4524598.0,104485152.0,246075466.0,383574470.0,445850260.0,427377122.0,25.0
13,전통시장,2130319,성내전통시장,330085390,244848954,85236436,43218098,49724196,44597110,49538194,57771356,47717184,37519252,164039.0,4640753.0,35139613,19810801,205775985,64554199.0,228459303,84599476,,19231067.0,49247310.0,55821519.0,91051469.0,97707415.0,18.0
14,전통시장,2130318,로데오거리상점가,3699708464,2457880944,1241827520,418191974,437581097,460612331,467689864,673805678,683476857,558350663,382544969.0,53435129.0,383178739,221179143,1544598317,1114772167.0,2244023179,1345526865,34168472.0,1187725049.0,992399196.0,552824377.0,479316571.0,343116377.0,63.0
15,전통시장,2130317,마천중앙시장,1895872383,1247839482,648032901,219819235,187908684,227461707,248757796,363892060,341864290,306168611,30278886.0,50152656.0,294285311,332216896,917869665,271068969.0,1139949523,666909031,2195440.0,103851143.0,253812497.0,388591126.0,574319012.0,484089337.0,44.0
16,전통시장,2130316,마천시장,384772910,258863196,125909714,47213966,38563880,43616295,64693586,64775469,64165695,61744019,,14451654.0,70524772,79920525,167426644,52449315.0,225906115,158866795,563052.0,21511347.0,65058746.0,66063758.0,121787975.0,109788032.0,8.0
