,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001496,강남 마이스 관광특구,228056,178368,49688,31552,34448,37434,38639,36295,26990,22698,,25468.0,121670,38322,41947,649.0,82120,115895,2278.0,47363.0,62203.0,40634.0,33754.0,11784.0
1,관광특구,1001495,잠실 관광특구,593600,387821,205779,68913,72802,77290,77925,90891,113267,92512,25729.0,14660.0,169169,72053,215870,96119.0,308033,228271,6745.0,155123.0,144116.0,91639.0,76395.0,62289.0
2,관광특구,1001494,종로?청계 관광특구,1187062,870656,316406,155826,172192,172808,175415,194415,199218,117188,22642.0,27715.0,462695,188160,369056,116794.0,653368,406853,5143.0,205866.0,245228.0,202161.0,198172.0,203634.0
3,관광특구,1001493,동대문패션타운 관광특구,371889,299527,72362,56382,58837,60281,61747,62280,42896,29466,13974.0,18979.0,169705,52355,89077,27799.0,180420,151719,2185.0,58067.0,81968.0,66053.0,72562.0,51307.0
4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,1695228,1411906,283322,247967,287982,293736,295179,287042,180217,103105,8247.0,45762.0,948086,172219,403187,117727.0,800722,545149,6920.0,217956.0,351929.0,327403.0,252345.0,189334.0
5,관광특구,1001491,이태원 관광특구,203427,120793,82634,23467,21489,21651,22852,31334,51154,31480,34117.0,7734.0,58325,23957,51052,28242.0,106397,77917,1393.0,65175.0,62511.0,22571.0,19770.0,12893.0
6,전통시장,2130326,고덕 골목형상점가,24798,16706,8092,3233,3291,3003,3272,3907,4508,3584,176.0,462.0,6487,3011,12433,2229.0,14541,9213,209.0,2144.0,5012.0,6006.0,6101.0,4282.0
7,전통시장,2130325,명일전통시장,7184,4948,2236,434,758,1499,892,1365,1529,707,78.0,72.0,635,974,3704,1721.0,4143,2649,26.0,546.0,1335.0,1532.0,2042.0,1313.0
8,전통시장,2130324,길동복조리시장,45638,28909,16729,4955,5480,5473,5978,7023,9185,7544,,1831.0,11149,13289,18308,1061.0,24567,19565,21.0,1832.0,4187.0,8179.0,14702.0,15209.0
9,전통시장,2130323,둔촌역전통시장,54953,36781,18172,7434,6011,7222,7575,8539,10188,7984,339.0,958.0,8736,10214,27837,6869.0,31504,21271,135.0,3601.0,8161.0,11719.0,15614.0,13545.0
10,전통시장,2130322,고분다리전통시장,17944,12476,5468,2360,2287,2652,2329,2848,2985,2483,320.0,166.0,3993,2625,7953,2887.0,10946,6331,31.0,1753.0,2833.0,3727.0,4757.0,4176.0
11,전통시장,2130321,장신구 특화거리 상점가,6382,4581,1801,964,838,985,902,892,857,944,,,1646,396,3200,1140.0,3261,2764,75.0,761.0,1263.0,1261.0,1711.0,955.0
12,전통시장,2130320,암사종합시장,96134,65287,30847,11846,12436,11947,13286,15772,20039,10808,43.0,3893.0,20397,21894,46654,3253.0,49442,45571,413.0,6578.0,15345.0,21067.0,26530.0,25078.0
13,전통시장,2130319,성내전통시장,9268,6584,2684,1142,1335,1166,1323,1618,1807,877,80.0,274.0,1704,1243,4867,1100.0,6131,2957,9.0,630.0,1187.0,1501.0,2838.0,2924.0
14,전통시장,2130318,로데오거리상점가,103834,67449,36385,12043,12147,13215,13217,16827,20313,16072,8996.0,2997.0,19135,10415,38827,23464.0,60651,40994,1157.0,31261.0,25235.0,17338.0,15154.0,11502.0
15,전통시장,2130317,마천중앙시장,59395,36802,22593,7190,6268,7140,7297,8907,12951,9642,313.0,1440.0,10981,12877,28258,5526.0,34007,24435,113.0,3164.0,7956.0,13476.0,18369.0,15364.0
16,전통시장,2130316,마천시장,14653,9442,5211,1899,1585,1846,1864,2248,2701,2510,,750.0,3554,3241,6237,871.0,8307,6346,34.0,462.0,1779.0,2704.0,4961.0,4713.0
17,전통시장,2130315,문정동 로데오거리 상점가(문정동 로데오거리),23490,19015,4475,3610,4078,3518,4018,3791,2663,1812,653.0,67.0,11128,2824,6794,2024.0,12757,8022,222.0,3817.0,4743.0,4360.0,3961.0,3671.0
18,전통시장,2130314,풍납시장,33925,24299,9626,4065,4535,5523,4688,5488,5958,3668,374.0,1294.0,9116,5127,14739,3275.0,19197,13113,42.0,2481.0,5229.0,6718.0,8674.0,9165.0
