,상권구분코드명,상권코드,상권코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
0,관광특구,1001495,잠실 관광특구,6259329450,3804120772,2455208678,678858762,664808178,735005647,733834998,991613187,1439194965,1016013713,2068561932.0,86294467.0,11971033.0,27222011.0,1125314111,2939965896,3445519140,2478501354,108364586.0,2799803807.0,1659874595.0,673670151.0,493257645.0,189049710.0,53.0
1,관광특구,1001494,종로?청계 관광특구,7031312800,4936895001,2094417799,709125524,940809928,958564243,1049559304,1278836002,1483053978,611363821,981662179.0,24134266.0,44174293.0,93032303.0,1848430508,4039879251,4043160776,1942526194,30352480.0,1909401157.0,1868916564.0,978035547.0,783549344.0,415431872.0,82.0
2,관광특구,1001493,동대문패션타운 관광특구,1026380263,723394242,302986021,124024911,136965203,151167590,145754082,165482456,175956655,127029366,186846091.0,43249643.0,127495367.0,55478048.0,262097598,351213516,576329690,375208347,9415101.0,283685251.0,290515810.0,169647528.0,128360024.0,69914325.0,21.0
3,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,7261769762,6145442935,1116326827,896109124,1291788472,1298022281,1354983628,1304539430,791932230,324394597,488226696.0,4960046.0,715019537.0,173534636.0,1948064553,3931964294,3350024513,1628248277,19991528.0,969268284.0,1324443668.0,1280600689.0,905647477.0,478321137.0,61.0
4,관광특구,1001491,이태원 관광특구,5061467806,1396699351,3664768455,360622510,156152380,185082286,206791285,488050890,1862987943,1801780512,3125212001.0,75239544.0,22952936.0,33762720.0,451747122,1352553483,3692843342,1313276244,25888932.0,2111502700.0,2168408423.0,397875382.0,233881125.0,68563020.0,66.0
5,전통시장,2130326,고덕 골목형상점가,125012666,77135243,47877423,15186919,17274268,12092752,15219678,17361626,27817477,20059946,34226396.0,,,480478.0,27495886,62809906,81970369,40143597,935708.0,21192561.0,30897651.0,38440325.0,20394462.0,10253259.0,2.0
6,전통시장,2130323,둔촌역전통시장,39036444,33075364,5961080,10644462,9807484,3033898,3349159,6240361,3852653,2108427,2173310.0,,3096059.0,1564675.0,18838745,13363655,31996146,1089594,,573345.0,2164656.0,5431393.0,12945740.0,11970606.0,4.0
7,전통시장,2130322,고분다리전통시장,114942599,77712203,37230396,18519717,11493389,12764711,16972513,17961873,19232477,17997919,29987041.0,288803.0,155759.0,5852729.0,26368148,52290119,74089119,37745038,434204.0,12693956.0,29558195.0,18280082.0,28997596.0,21870122.0,5.0
8,전통시장,2130320,암사종합시장,14019257,8119487,5899770,1263857,3053437,1181548,923996,1696649,3353470,2546300,3725193.0,,,,1253237,9040827,7055621,6793705,,1440844.0,6487277.0,4940614.0,858454.0,122137.0,3.0
9,전통시장,2130319,성내전통시장,104693749,50917419,53776330,9294927,10952695,5947512,9782057,14940228,36721059,17055271,,1963801.0,7097738.0,7644797.0,65065738,22921675,68330833,34146626,,9845046.0,10592557.0,25243870.0,29927221.0,26868766.0,2.0
10,전통시장,2130318,로데오거리상점가,3898823623,2275222678,1623600945,411481381,401580854,412333721,424357727,625468995,928367282,695233663,1151705787.0,13879505.0,37668946.0,31521927.0,895309485,1768737973,2464849483,1433974140,42357406.0,1733197352.0,1303004700.0,458351378.0,278567346.0,83345441.0,45.0
