,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수
0,관광특구,1001495,잠실 관광특구,120525,72327,48198,13871,12590,13983,13847,18036,28038,20160,38854.0,1946.0,340.0,688.0,23855,54842,65106,52623,2337.0,58903.0,31914.0,12370.0,9236.0,2968.0
1,관광특구,1001494,종로?청계 관광특구,125660,87638,38022,13234,16287,17265,18091,22761,26014,12008,17546.0,358.0,2100.0,2698.0,34588,68370,75017,38104,554.0,36189.0,33131.0,18281.0,15706.0,9261.0
2,관광특구,1001493,동대문패션타운 관광특구,31791,23059,8732,4183,4528,4802,4612,4934,4940,3792,5088.0,1703.0,6276.0,2513.0,8141,8070,17809,11773,311.0,8803.0,9095.0,5182.0,4064.0,2123.0
3,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,131920,113505,18415,17084,23699,23683,25192,23847,12030,6385,5953.0,309.0,35253.0,3908.0,29100,57397,69965,37088,570.0,23319.0,29888.0,25206.0,19182.0,8891.0
4,관광특구,1001491,이태원 관광특구,139807,36947,102860,10534,3860,3896,5592,13065,51410,51450,86428.0,2437.0,1749.0,2250.0,12189,34754,104419,34883,840.0,59362.0,61096.0,10275.0,5920.0,1807.0
5,전통시장,2130326,고덕 골목형상점가,3036,1919,1117,388,400,311,361,459,682,435,737.0,,,15.0,698,1586,1946,1046,16.0,498.0,801.0,968.0,474.0,234.0
6,전통시장,2130323,둔촌역전통시장,810,707,103,168,205,104,95,135,58,45,29.0,,62.0,36.0,417,266,726,36,,11.0,44.0,100.0,294.0,314.0
7,전통시장,2130322,고분다리전통시장,2980,2006,974,402,308,416,401,479,459,515,746.0,13.0,13.0,134.0,647,1427,1976,961,6.0,330.0,630.0,550.0,680.0,738.0
8,전통시장,2130320,암사종합시장,281,155,126,21,37,32,27,38,79,47,47.0,,,,32,202,126,151,,31.0,114.0,94.0,32.0,5.0
9,전통시장,2130319,성내전통시장,4186,1917,2269,406,265,252,321,673,1374,895,,14.0,323.0,407.0,2743,699,2567,1605,,267.0,619.0,1181.0,1095.0,1009.0
